ตาราง 19.1 โครงสร้างงบประมาณ ปีงบประมาณ 2566 - 2567,,,,,
Table 19.1 Budget Structure: Fiscal Years 2023 - 2024,,,,,
                           ,,,,,
โครงสร้างงบประมาณ,2566 (2023) _จำนวน Number,2566 (2023) _เพิ่ม/ลด (%) + / - ,2567 (2024) _จำนวน Number,2567 (2024) _เพิ่ม/ลด (%) + / - ,Budget structure
งบประมาณรายจ่าย,3185000.0,2.7,3480000.0,9.3,Expenditures
รายจ่ายประจำ,2402539.7,1.2,2532826.9,5.4,Current expenditures
(สัดส่วนต่องบประมาณ),75.4,,72.8,,(% of the total budget)
รายจ่ายเพื่อชดใช้เงินคงคลัง,-,-100.0,118361.1,100.0,Expenditures for replenishment of treasury account balance
(สัดส่วนต่องบประมาณ),-,,3.4,,(% of the total budget)
รายจ่ายลงทุน,689479.9,12.7,717722.2,4.1,Capital expenditures
(สัดส่วนต่องบประมาณ),21.7,,20.6,,(% of the total budget)
รายจ่ายชำระคืนต้นเงินกู้,100000.0,-,118320.0,18.3,Principal repayment
(สัดส่วนต่องบประมาณ),3.1,,3.4,,(% of the total budget)
รายรับ,3185000.0,2.7,3480000.0,9.3,Receipts
รายได้,2490000.0,3.8,2787000.0,11.9,Revenues
เงินกู้,695000.0,-0.7,693000.0,-0.3,Domestic borrowing
ผลิตภัณฑ์มวลรวมในประเทศ,18047700.0,3.9,19022200.0,5.4,Gross Domestic Product
,,,,,
หมายเหตุ:,"1. ปีงบประมาณ 2567 รายจ่ายลงทุน จำนวน 717,722.2 ล้านบาท รวมรายจ่ายชำระคืนต้นเงินกู้ที่เป็นรายจ่ายลงทุน กรณีการกู้เพื่อการลงทุนของรัฐวิสาหกิจ จำนวน 7,230.2 ล้านบาท (จากรายจ่ายชำระคืนต้นเงินกู้รวม จำนวน 118,320 ล้านบาท)",,,,
Note:,"1. In FY 2024, capital expenditures of 717,722.2 million baht include 7,230.2 million baht of principal repayments for state enterprises' investment borrowings (out of total principal repayments of 118,320 million baht)",,,,
,2. ผลิตภัณฑ์มวลรวมในประเทศ (GDP) ตามแถลงภาวะเศรษฐกิจไทยไตรมาสที่สามของปี 2566 และแนวโน้มปี 2566 - 2567 ของสำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ ณ วันที่ 20 พฤศจิกายน 2566,,,,
,"2. Gross Domestic Product (GDP) is according to the National Economic and Social Development Council's announcement on Thai Economic Performance in Third Quarter of 2023 and Outlook for 2023 - 2024 as of November 20, 2023.",,,,
ที่มา:,สำนักงบประมาณ  สำนักนายกรัฐมนตรี,,,,
Source:,"Budget Bureau, Office of the Prime Minister",,,,
,,,,,
,    ,,,,
