ตาราง  19.2  ประมาณการรายได้ จำแนกตามหน่วยงานที่จัดเก็บ ปีงบประมาณ 2565 - 2567,,,,,,,
Table   19.2  Revenue Estimates by Departments: Fiscal Years 2022 - 2024,,,,,,,
,,,,,,,
                           ,,,,,,,(ล้านบาท  Million Baht)
หน่วยงานที่จัดเก็บ,จำนวน  (Number) _2565 (2022),จำนวน  (Number) _25666 (2023),จำนวน  (Number) _2567 (2024),การเปลี่ยนแปลง (Change) _2565 (2022),การเปลี่ยนแปลง (Change) _25666 (2023),การเปลี่ยนแปลง (Change) _2567 (2024),Department
รายได้สุทธิ,2400000,2490000,2787000,-10.3,3.8,11.9,Total (Net)
รายได้รวม,2885700,3002800,3337400,-8.6,4.1,11.1,Total (Gross)
รายได้ กรมสรรพากร,1876100,2029100,2276700,-10.0,8.2,12.2,Total The Revenue Department
รายได้ กรมสรรพสามิต,597000,567000,598000,-5.8,-5.0,5.5,Total The Excise Department
รายได้ กรมศุลกากร,100000,105500,114200,-4.6,5.5,8.2,Total The Customs Department
รายได้ ส่วนราชการอื่น,169800,151600,173500,-1.8,-10.7,14.4,Total Others
รายได้ รัฐพาณิชย์,142800,149600,175000,-10.6,4.8,17.0,Total State enterprises
หัก การคืนภาษีของกรมสรรพากร,336200,345500,375500,5.9,2.8,8.7,Deductions Tax rebates of the Revenue Department
หัก อากรถอนคืนกรมศุลกากร,8300,8000,8700,-7.8,-3.6,8.8,Deductions Duty rebates of the Customs Department
หัก การกันเงินเพื่อชดเชยภาษีสำหรับสินค้าส่งออก,12900,13500,14800,-8.5,4.7,9.6,Deductions Export duties compensation
หัก การจัดสรรภาษีมูลค่าเพิ่มให้องค์การบริหารส่วนจังหวัด,17300,21700,25600,-4.9,25.4,18.0,Deductions Allocation of value added tax to provincial administrative organizations
หัก การจัดสรรภาษีมูลค่าเพิ่มให้ อปท. ตาม พ.ร.บ. กระจายอำนาจฯ,111000,124100,125800,-8.3,11.8,1.4,Deductions Allocation of value added tax to local administrative organizations
,,,,,,,
ที่มา:  สำนักงบประมาณ  สำนักนายกรัฐมนตรี,,,,,,,
"Source:  Budget Bureau, Office of the Prime Minister",,,,,,,
