ตาราง 19.6 หนี้รัฐบาลคงค้างต่างประเทศ-หนี้เงินกู้โดยตรงของรัฐบาล จำแนกตามสกุลเงิน และแหล่งเงินกู้ ปีงบประมาณ 2562 - 2566,,,,,,,,,,,,,
Table 19.6 External Government Debt-Direct Government Loans by Currency and Source of Fund: Fiscal Years 2019 - 2023,,,,,,,,,,,,,
,,,,,,,,,,,,,
สกุลเงิน ,แหล่งเงินกู้,2562 (2019)_พันดอลลาร์สหรัฐ (Thousand U.S.$),2562 (2019)_ล้านบาท (Million Baht),2563 (2020)_พันดอลลาร์สหรัฐ (Thousand U.S.$),2563 (2020)_ล้านบาท (Million Baht),2564 (2021)_พันดอลลาร์สหรัฐ (Thousand U.S.$),2564 (2021)_ล้านบาท (Million Baht),2565 (2022) r_พันดอลลาร์สหรัฐ (Thousand U.S.$),2565 (2022) r_ล้านบาท (Million Baht),2566 (2023)_พันดอลลาร์สหรัฐ (Thousand U.S.$),2566 (2023)_ล้านบาท (Million Baht),Currency,source of fund
รวมยอด,รวม,2637516,84041,2700859,86761,3646064,119904,3923693,131643,3504279,117172, Total, Total
ดอลลาร์สหรัฐ,รวม,1206746,38472,1084288,34589,1956204,62916,2331671,73463,1917699,60554,U.S. Dollar, Total
ดอลลาร์สหรัฐ,ธนาคารพัฒนาเอเซีย (ADB),279589,8863,247536,7862,1206404,37939,1665271,53022,1334699,42344,U.S. Dollar,Asian Development Bank
ดอลลาร์สหรัฐ,ธนาคารโลก (IBRD),927157,29609,836752,26727,749800,24977,666400,20440,583000,18209,U.S. Dollar,International Bank for Reconstruction and Development
เยนญี่ปุ่น,รวม,1425695,45412,1612056,52028,1685647,56844,1588599,58050,1583607,56508,Japanese Yen, Total
เยนญี่ปุ่น,เงินกู้รัฐบาลญี่ปุ่น( GOJP),1425695,45412,1612056,52028,1685647,56844,1588599,58050,1583607,56508,Japanese Yen,Government of Japan
ดอลลาร์แคนาดา,รวม,5074,156,4514,144,4213,144,3423,130,2973,109,Canadian Dollar, Total
ดอลลาร์แคนาดา,เงินกู้รัฐบาลแคนาดา (GOCA),5074,156,4514,144,4213,144,3423,130,2973,109,Canadian Dollar,Government of Canada
,,,,,,,,,,,,,
ที่มา: สำนักงานบริหารหนี้สาธารณะ กระทรวงการคลัง   ,,,,,,,,,,,,,
"Source: Public Debt Management Office,  Ministry of Finance",,,,,,,,,,,,,
