ตาราง 19.8 หนี้รัฐบาลคงค้างภายในประเทศ-หนี้เงินกู้โดยตรงของรัฐบาล จำแนกตามประเภทเงินกู้ ปีงบประมาณ 2562 - 2566,,,,,,,,
Table 19.8 Domestic Government Debt-Direct Government Loans by Type of Debt: Fiscal Years 2019 - 2023,,,,,,,,
,,,,,,,,
รายการ,ประเภทเงินกู้,2562 (2019),2563 (2020),2564 (2021),2565 (2022),2566 (2023),Item,Type of debt
จำนวน (ล้านบาท),รวมยอด,5580135.2,6648121.0,8083794.6,9031230.0,9662615.2,Number (Million Baht),Total
จำนวน (ล้านบาท),พันธบัตรเงินกู้,5043045.3,5563461.9,6336625.4,7289382.5,8069529.6,Number (Million Baht),Bond
จำนวน (ล้านบาท),ตั๋วสัญญาใช้เงิน,403542.0,513421.7,958195.3,963524.7,987375.6,Number (Million Baht),Promissory note
จำนวน (ล้านบาท),ตั๋วเงินคลัง,-,330000.0,540000.0,540000.0,490000.0,Number (Million Baht),Treasury  bill
จำนวน (ล้านบาท),เงินกู้ระยะสั้น,80000.0,161422.0,60000.0,50000.0,-,Number (Million Baht),Short-term contract  loan
จำนวน (ล้านบาท),เงินกู้ระยะยาว,53547.9,79815.4,188973.9,188322.8,115710.0,Number (Million Baht),Long-term loan
ร้อยละ ,รวมยอด,100.0,100.0,100.0,100.0,100.0,Percent,Total
ร้อยละ ,พันธบัตรเงินกู้,90.4,83.7,78.4,80.7,83.5,Percent,Bond
ร้อยละ ,ตั๋วสัญญาใช้เงิน,7.2,7.7,11.9,10.7,10.2,Percent,Promissory note
ร้อยละ ,ตั๋วเงินคลัง,-,5.0,6.7,6.0,5.1,Percent,Treasury  bill
ร้อยละ ,เงินกู้ระยะสั้น,1.4,2.4,0.7,0.6,-,Percent,Short-term contract  loan
ร้อยละ ,เงินกู้ระยะยาว,1.0,1.2,2.3,2.1,1.2,Percent,Long-term loan
,,,,,,,,
ที่มา:  สำนักงานบริหารหนี้สาธารณะ  กระทรวงการคลัง,,,,,,,,
"Source:  Public Debt Management Office,  Ministry of Finance",,,,,,,,
