ตาราง 2.11  ผู้มีงานทำที่อยู่ในแรงงานในระบบและนอกระบบ จำแนกตามกลุ่มอายุ และเพศ พ.ศ. 2565 - 2566,,,,,,,,
Table 2.11  Formal and Informal Employment by Age Group and Sex: 2022 - 2023,,,,,,,,
,,,,,,,,
ปี (Year),กลุ่มอายุ (ปี) Age group (year),ผู้มีงานทำ (Employed persons)_รวมยอด (Total),ผู้มีงานทำ (Employed persons)_แรงงานในระบบ (Formal employment)_รวมยอด (Total),ผู้มีงานทำ (Employed persons)_แรงงานในระบบ (Formal employment)_ชาย (Male),ผู้มีงานทำ (Employed persons)_แรงงานในระบบ (Formal employment)_หญิง (Female),ผู้มีงานทำ (Employed persons)_แรงงานนอกระบบ (Informal employment)_รวมยอด (Total),ผู้มีงานทำ (Employed persons)_แรงงานนอกระบบ (Informal employment)_ชาย (Male),ผู้มีงานทำ (Employed persons)_แรงงานนอกระบบ (Informal employment)_หญิง (Female)
2565 (2022),รวม (Total),39565991,19379014,10044619,9334395,20186976,11158267,9028709
2565 (2022),กลุ่มอายุ 15 - 19 ปี (Age group 15 - 19 year),534470,232543,154692,77852,301927,227381,74546
2565 (2022),กลุ่มอายุ 20 - 24 ปี (Age group 20 - 24 year),3060122,1755697,878009,877687,1304426,836580,467845
2565 (2022),กลุ่มอายุ 25 - 29 ปี (Age group 25 - 29 year),4505183,2988048,1488256,1499792,1517135,901073,616061
2565 (2022),กลุ่มอายุ 30 - 34 ปี (Age group 30 - 34 year),4369800,2836957,1430593,1406364,1532842,901719,631124
2565 (2022),กลุ่มอายุ 35 - 39 ปี (Age group 35 - 39 year),4268565,2712773,1375068,1337705,1555791,881355,674436
2565 (2022),กลุ่มอายุ 40 - 49 ปี (Age group 40 - 49 year),9346706,4892563,2536892,2355671,4454143,2352936,2101207
2565 (2022),กลุ่มอายุ 50 - 59 ปี (Age group 50 - 59 year),8737082,3312877,1823425,1489453,5424205,2840730,2583475
2565 (2022),กลุ่มอายุ 60 ขึ้นไป (Age group 60 year and over ),4744063,647555,357684,289871,4096508,2216493,1880015
2566 (2023),รวม (Total),40091326,19133659,9935301,9198358,20957666,11534974,9422692
2566 (2023),กลุ่มอายุ 15 - 19 ปี (Age group 15 - 19 year),522306,246166,160501,85665,276140,207965,68175
2566 (2023),กลุ่มอายุ 20 - 24 ปี (Age group 20 - 24 year),3049799,1724585,881419,843166,1325215,853278,471936
2566 (2023),กลุ่มอายุ 25 - 29 ปี (Age group 25 - 29 year),4520083,2936028,1464311,1471716,1584055,970852,613203
2566 (2023),กลุ่มอายุ 30 - 34 ปี (Age group 30 - 34 year),4497158,2852894,1419974,1432921,1644264,961402,682862
2566 (2023),กลุ่มอายุ 35 - 39 ปี (Age group 35 - 39 year),4249125,2628252,1324678,1303574,1620873,917916,702957
2566 (2023),กลุ่มอายุ 40 - 49 ปี (Age group 40 - 49 year),9244167,4823738,2494027,2329712,4420429,2343852,2076577
2566 (2023),กลุ่มอายุ 50 - 59 ปี (Age group 50 - 59 year),8899218,3247250,1812346,1434905,5651967,2891940,2760028
2566 (2023),กลุ่มอายุ 60 ขึ้นไป (Age group 60 year and over ),5109470,674747,378046,296700,4434723,2387770,2046953
,,,,,,,,
ที่มา:  การสำรวจแรงงานนอกระบบ  สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,
"Source:  Informal Labour Survey,  National Statistical Office,  Ministry of Digital Economy and Society",,,,,,,,
