ตาราง 2.13 กำลังคนภาครัฐในฝ่ายพลเรือน จำแนกตามประเภทกำลังคน ปีงบประมาณ 2561 - 2565,,,,,,,,
Table 2.13 Civilian Workforce by Type of Workforce: Fiscal Years 2018 - 2022,,,,,,,,
,,,,,,,,
รูปแบบของการปกครอง,ประเภทกำลังคน,2561 (2018),2562 (2019),2563 (2020),2564 (2021),2565 (2022),Type of governance,Type of workforce
รวม,รวม,2092307,2199232,2117018,2089429,2163723,Total,Total
รวม,ข้าราชการ,1334893,1338989,1361662,1356273,1374865,Total,Government officials
รวม,ลูกจ้างประจำ,138723,129513,119000,106182,94446,Total,Permanent employees
รวม,ลูกจ้างชั่วคราว,229630,333776,228543,213694,371677,Total,Temporary employees
รวม,พนักงานราชการ,145374,151411,149537,152635,157742,Total,Government employees
รวม,พนักงานจ้าง,243687,245543,258276,260645,164993,Total,Local temporary employees
ส่วนกลางและส่วนภูมิภาค,รวมยอด,1532191,1635206,1541516,1524546,1677167,Central and provincial administration,Total
ส่วนกลางและส่วนภูมิภาค,ข้าราชการ,1087803,1086100,1110992,1110130,1112775,Central and provincial administration,Government officials
ส่วนกลางและส่วนภูมิภาค,ลูกจ้างประจำ,89317,80341,72756,64598,54128,Central and provincial administration,Permanent employees
ส่วนกลางและส่วนภูมิภาค,ลูกจ้างชั่วคราว,209697,317354,208231,197183,352522,Central and provincial administration,Temporary employees
ส่วนกลางและส่วนภูมิภาค,พนักงานราชการ,145374,151411,149537,152635,157742,Central and provincial administration,Government employees
ส่วนท้องถิ่น,รวมยอด,560116,564026,575502,564883,486556,Local administration,Total
ส่วนท้องถิ่น,ข้าราชการ,247090,252889,250670,246143,262090,Local administration,Government officials
ส่วนท้องถิ่น,ลูกจ้างประจำ,49406,49172,46244,41584,40318,Local administration,Permanent employees
ส่วนท้องถิ่น,ลูกจ้างชั่วคราว,19933,16422,20312,16511,19155,Local administration,Temporary employees
ส่วนท้องถิ่น,พนักงานจ้าง,243687,245543,258276,260645,164993,Local administration,Local temporary employees
,,,,,,,,
ที่มา:  สำนักงานคณะกรรมการข้าราชการพลเรือน  สำนักนายกรัฐมนตรี   ,,,,,,,,
"Source:  Office of the Civil Service Commission,  Office of the Prime Minister   ",,,,,,,,
