ตาราง 2.14 ข้าราชการในฝ่ายพลเรือน และข้าราชการพลเรือนสามัญ จำแนกตามส่วนราชการ ปีงบประมาณ 2564 - 2565,,,,,,,
Table 2.14 Government Officials and Ordinary Civil Servants by Ministry: Fiscal Years 2021 - 2022,,,,,,,
,,,,,,,
ส่วนราชการ,การจำแนก,ข้าราชการในฝ่ายพลเรือน (Government officials)_2564 (2021),ข้าราชการในฝ่ายพลเรือน (Government officials)_2565 (2022),ข้าราชการฝ่ายพลเรือน (Ordinary Civil Servants)_2564 (2021),ข้าราชการฝ่ายพลเรือน (Ordinary Civil Servants)_2565 (2022),Ministry,Classification
รวมยอด,,1356273,1374865,426108,423508,Total,
กระทรวง,รวมยอด,851485,854347,423941,421222,Ministry,Total
กระทรวง,สำนักนายกรัฐมนตรี,6938,6715,6938,6715,Ministry,Office of the Prime Minister
กระทรวง,กระทรวงการคลัง,28636,28593,28636,28593,Ministry,Ministry of Finance
กระทรวง,กระทรวงการต่างประเทศ,1468,1508,1468,1508,Ministry,Ministry of Foreign Affairs
กระทรวง,กระทรวงการท่องเที่ยวและกีฬา,1591,1598 (1),714,689,Ministry,Ministry of Tourism and Sports
กระทรวง,กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,3066,3076,3066,3076,Ministry,Ministry of Social Development and Human Security
กระทรวง,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,13647,12696 (2),1099,1188,Ministry,"Ministry of Higher Education, Science, Research and Innovation"
กระทรวง,กระทรวงเกษตรและสหกรณ์,33024,32981,33024,32981,Ministry,Ministry of Agricultures and Cooperatives
กระทรวง,กระทรวงคมนาคม,13295,13068,13295,13068,Ministry,Ministry of Transport
กระทรวง,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2111,2060,2111,2060,Ministry,Ministry of Digital Economy and Society
กระทรวง,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,9671,9570,9671,9570,Ministry,Ministry of Natural Resource and Environment
กระทรวง,กระทรวงพลังงาน,1386,1380,1386,1380,Ministry,Ministry of Energy
กระทรวง,กระทรวงพาณิชย์,3627,3528,3627,3528,Ministry,Ministry of Commerce
กระทรวง,กระทรวงมหาดไทย,40776,39134,40776,39134,Ministry,Ministry of Interior
กระทรวง,กระทรวงยุติธรรม,18074,18534,18074,18534,Ministry,Ministry of Justice
กระทรวง,กระทรวงแรงงาน,5956,6008,5956,6008,Ministry,Ministry of Labour
กระทรวง,กระทรวงวัฒนธรรม,4709,4650 (3),3662,3594,Ministry,Ministry of Culture
กระทรวง,กระทรวงศึกษาธิการ,413826,420564 (4),2936,2974,Ministry,Ministry of Education
กระทรวง,กระทรวงสาธารณสุข,246678,245725 (5),244496,243663,Ministry,Ministry of Public Health
กระทรวง,กระทรวงอุตสาหกรรม,3006,2959,3006,2959,Ministry,Ministry of Industry
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,รวมยอด,221935,221048,2167,2286,Independent Public Agencies,Total
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,สำนักงานพระพุทธศาสนาแห่งชาติ,949,926,949,926,Independent Public Agencies,National office of Buddhism
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,สำนักงาน กปร ,130,123,130,123,Independent Public Agencies,Office of the Royal Development Project Board
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,สำนักงานราชบัณฑิตยสภา,60,57,60,57,Independent Public Agencies,Office of the Royal Society
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,สำนักงานป้องกันและปราบปรามการฟอกเงิน,504,507,504,507,Independent Public Agencies,Anti-Money Laundering Office
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตในภาครัฐ,524,520,524,520,Independent Public Agencies,Office of Public Sector Anti-Corruption Commission
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,ศูนย์อำนวยการบริหารจังหวัดชายแดนภาคใต้,-,153,-,153,Independent Public Agencies,Southern Border Provinces Administration
ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง,สำนักงานตำรวจแห่งชาติ,219768,218762,-,-,Independent Public Agencies,Royal Thai Police
ส่วนราชการอิสระตามรัฐธรรมนูญ,รวมยอด,33533,34231,-,-,Autonomous Organizations Established by Constitution,Total
ส่วนราชการอิสระตามรัฐธรรมนูญ,สำนักงานการตรวจเงินแผ่นดิน,3231,3227,-,-,Autonomous Organizations Established by Constitution,Office of the Auditor General of Thailand
ส่วนราชการอิสระตามรัฐธรรมนูญ,สำนักงาน ปปช ,2545,2562,-,-,Autonomous Organizations Established by Constitution,Office of the National Counter Corruption Commission
ส่วนราชการอิสระตามรัฐธรรมนูญ,สำนักงานศาลรัฐธรรมนูญ,160,180 (6),-,-,Autonomous Organizations Established by Constitution,Office of the Constitutional Court
ส่วนราชการอิสระตามรัฐธรรมนูญ,สำนักงานศาลยุติธรรม,15480,15601 (7),-,-,Autonomous Organizations Established by Constitution,Office of the Judiciary
ส่วนราชการอิสระตามรัฐธรรมนูญ,สำนักงานศาลปกครอง,2547,2642 (8),-,-,Autonomous Organizations Established by Constitution,Office of the Administrative Court
ส่วนราชการอิสระตามรัฐธรรมนูญ,สำนักงานคณะกรรมการสิทธิมนุษยชนแห่งชาติ,144,168,-,-,Autonomous Organizations Established by Constitution,Office of the National Human  Rights Commission
ส่วนราชการอิสระตามรัฐธรรมนูญ,สำนักงานอัยการสูงสุด,9426,9851 (9),-,-,Autonomous Organizations Established by Constitution,Office of the Attorney General
ส่วนราชการสังกัดรัฐสภา,รวมยอด,3177,3149,-,-,  Parliamentary Agencies,Total
ส่วนราชการสังกัดรัฐสภา,สำนักงานเลขาธิการสภาผู้แทนราษฎร,2116,2069,-,-,  Parliamentary Agencies,The Secretariat of the House of Representatives
ส่วนราชการสังกัดรัฐสภา,สำนักงานเลขาธิกาวุฒิสภา,1061,1080,-,-,  Parliamentary Agencies,The Secretariat of the Senate
ส่วนท้องถิ่น,รวมยอด,246143,262090,-,-,Local Administration,Total
ส่วนท้องถิ่น,กรุงเทพมหานคร,34286,34113 (10),-,-,Local Administration,Bangkok Metropolitan Admin.
ส่วนท้องถิ่น,องค์การบริหารส่วนจังหวัด,10893,18228,-,-,Local Administration,Provincial Admin. Org.
ส่วนท้องถิ่น,องค์การบริหารส่วนตำบล,78390,82995,-,-,Local Administration,Sub-district Admin. Org.
ส่วนท้องถิ่น,เทศบาล,66566,71013,-,-,Local Administration,Municipality
ส่วนท้องถิ่น,สถานศึกษาส่วนท้องถิ่น,56008,55741,-,-,Local Administration,Local Educational Institute
,,,,,,,
(1) รวมข้าราชการครู และบุคลากรทางการศึกษา จำนวน 909 คน,,,,,,,
(1) Including 909 government teachers and education personnel,,,,,,,
"(2) รวมข้าราชการครูและบุคลากรทางการศึกษา จำนวน 316 คน และข้าราชการพลเรือนในสถาบันอุดมศึกษา จำนวน 11,192 คน",,,,,,,
"(2) Including 316 government teachers and education personnel and 11,192 university offcial positions",,,,,,,
"(3) รวมข้าราชการครูและบุคลากรทางการศึกษา จำนวน 1,056 คน",,,,,,,
"(3) Including 1,056 government teachers and education personnel",,,,,,,
"(4) รวมข้าราชการครูและบุคลากรทางการศึกษา จำนวน 417,590 คน",,,,,,,
"(4) Including 417,590 government teachers and education personnel",,,,,,,
"(5) รวมข้าราชการครูและบุคลากรทางการศึกษา จำนวน 2,062 คน",,,,,,,
"(5) Including 2,062 government teachers and education personnel",,,,,,,
(6) รวมตุลาการศาลรัฐธรรมนูญ จำนวน 9 คน,,,,,,,
(6) Including 9 justice of the constitutional court,,,,,,,
"(7) รวมข้าราชการตุลาการ จำนวน 5,159 คน",,,,,,,
"(7) Including 5,159 judge positions",,,,,,,
(8) รวมตุลาการศาลปกครอง จำนวน 259 คน,,,,,,,
(8) Including 259 court justice positions,,,,,,,
"(9) รวมข้าราชการอัยการ จำนวน 4,224 คน",,,,,,,
"(9) Including 4,224 public prosecutor justice of the consitutional court",,,,,,,
"(10) รวมข้าราชการครูกรุงเทพมหานคร จำนวน 13,914 คน",,,,,,,
"(10) Including 13,914 bangkok metropolitan administration government teachers",,,,,,,
ที่มา: สำนักงานคณะกรรมการข้าราชการพลเรือน  สำนักนายกรัฐมนตรี   ,,,,,,,
"Source: Office of the Civil Service Commission,  Office of the Prime Minister   ",,,,,,,
