ตาราง 2.15 ข้าราชการในฝ่ายพลเรือน จำแนกตามประเภทข้าราชการ เพศ และระดับการศึกษา ปีงบประมาณ 2565,,,,,,,,,,
"Table 2.15 Government Officials by Type of Official, Sex and Level of Education: Fiscal Year 2022",,,,,,,,,,
,,,,,,,,,,
ระดับการปกครอง,ประเภทข้าราชการ,รวมยอด (Toal),เพศ  (Sex)_ชาย (Male),เพศ  (Sex)_หญิง (Female),ระดับการศึกษา (Level of education)_ต่ำกว่าปริญญาตรี (Lower than bachelor degree),ระดับการศึกษา (Level of education)_ปริญญาตรี (bachelor degree),ระดับการศึกษา (Level of education)_ปริญญาโท (Master degree),ระดับการศึกษา (Level of education)_ปริญญาเอก (Doctorate degree),Administration level,Type of official
รวมยอด,,1374865,572649,802216,260705,828642,265654,19864,Total,
ส่วนกลางและส่วนภูมิภาค,รวม,1112775,468488,644287,214077,666055,213279,19364,Central and provincial administration,Total
ส่วนกลางและส่วนภูมิภาค,ข้าราชการพลเรือนสามัญ,423508,127680,295828,65200,296578,51587,10143,Central and provincial administration,Ordinary civil servants
ส่วนกลางและส่วนภูมิภาค,ข้าราชการครูและบุคลากรทางการศึกษา,421933,121827,300106,2045,280892,135245,3751,Central and provincial administration,Teachers and educational  personnel
ส่วนกลางและส่วนภูมิภาค,ข้าราชการพลเรือนในสถาบันอุดมศึกษา,11192,4810,6382,300,1403,4468,5021,Central and provincial administration,University officials
ส่วนกลางและส่วนภูมิภาค,ข้าราชการรัฐสภาสามัญ,3149,1100,2049,573,1296,1253,27,Central and provincial administration,Legislative body officials
ส่วนกลางและส่วนภูมิภาค,ข้าราชการตำรวจ,218762,199554,19208,140785,69576,8193,208,Central and provincial administration,Police officials
ส่วนกลางและส่วนภูมิภาค,ข้าราชการอัยการ,4224,2932,1292,- ,2197,1994,33,Central and provincial administration,Public prosecutors
ส่วนกลางและส่วนภูมิภาค,ข้าราชการตุลาการ,5159,3409,1750,- ,2477,2609,73,Central and provincial administration,Judges
ส่วนกลางและส่วนภูมิภาค,ข้าราชการองค์กรอิสระตามรัฐธรรมนูญ,24848,7176,17672,5174,11636,7930,108,Central and provincial administration,Autonomous organization officials by constitution
ส่วนท้องถิ่น,รวม,262090,104161,157929,46628,162587,52375,500,Local administration,Total
ส่วนท้องถิ่น,ข้าราชการกรุงเทพมหานคร,34113,10131,23982,4736,21964,7124,289,Local administration,Bangkok civil servants
ส่วนท้องถิ่น,ข้าราชการองค์การบริหารส่วนจังหวัด,18228,7978,10250,4808,10445,2965,10,Local administration,Provincial admin. org.  officials
ส่วนท้องถิ่น,พนักงานส่วนตำบล,82995,40628,42367,22295,42072,18552,76,Local administration,Sub-district admin. org.   officials
ส่วนท้องถิ่น,พนักงานเทศบาล,71013,35339,35674,14789,36009,20127,88,Local administration,Municipal officials
ส่วนท้องถิ่น,ครูส่วนท้องถิ่น,55741,10085,45656,- ,52097,3607,37,Local administration,Teacher in local education institute
,,,,,,,,,,
ที่มา: สำนักงานคณะกรรมการข้าราชการพลเรือน สำนักนายกรัฐมนตรี,,,,,,,,,,
"Source: Office of the Civil Service Commission, Office of the Prime Minister",,,,,,,,,,
