ตาราง   2.16  ข้าราชการพลเรือนสามัญ จำแนกตามส่วนราชการ ประเภทตำแหน่ง ระดับตำแหน่ง และการศึกษา ปีงบประมาณ 2565,,,,,,,,,,,,,,,,,,,, 
"Table    2.16  Ordinary Civil Servants by Ministry, Position Category, Level and Education: Fiscal Year 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ส่วนราชการ,รวมยอด (Total),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_ทั่วไป (General positions)_ปฏิบัติงาน (Operational level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_ทั่วไป (General positions)_ชำนาญงาน (Experienced level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_ทั่วไป (General positions)_อาวุโส (Senior level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_ทั่วไป (General positions)_ทักษะพิเศษ (High skilled level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_วิชาการ (Knowledge worker positions)_ปฏิบัติการ (Practitioner level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_วิชาการ (Knowledge worker positions)_ชำนาญการ (Professional level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_วิชาการ (Knowledge worker positions)_ชำนาญการพิเศษ (Senior professional level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_วิชาการ (Knowledge worker positions)_เชี่ยวชาญ (Expert level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_วิชาการ (Knowledge worker positions)_ทรงคุณวุฒิ (Advisory level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_อำนวยการ (Managerial positions)_ต้น (Primary level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_อำนวยการ (Managerial positions)_สูง (Higher level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_บริหาร (Executive positions)_ต้น (Primary level),ประเภทตำแหน่ง/ระดับตำแหน่ง (Position category/Level)_บริหาร (Executive positions)_สูง (Higher level),ระดับการศึกษา (Level of education)_ต่ำกว่าปริญญาตรี (Lower than bachelor degree),ระดับการศึกษา (Level of education)_ปริญญาตรีขึ้นไป (Bachelordegree & higher),ระดับการศึกษา (Level of education)_% ปริญญาตรีขึ้นไป (% Bach.& higher),Ministry,,
รวมยอด,423508,25278,59990,7106,6,109642,176572,34047,3219,168,1745,4687,567,481,65200,358308,84.60,Total,,
สำนักนายกรัฐมนตรี,6715,328,1282,151,-,1432,1747,1249,111,35,100,193,17,70,1225,5490,81.76,Office of the Prime Minister,,
กระทรวงการคลัง,28593,2391,6480,336,-,4677,11328,2644,126,28,4,537,23,19,8096,20497,71.69,Ministry of Finance,,
กระทรวงการต่างประเทศ,1508,48,209,9,-,294,547,172,1,-,57,8,82,81,169,1339,88.79,Ministry of Foreign Affairs,,
กระทรวงการท่องเที่ยวและกีฬา,689,35,45,3,-,169,215,117,9,-,13,74,3,6,50,639,92.74,Ministry of Tourism and Sports,,
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,3076,276,417,14,-,832,884,418,11,1,100,99,11,13,498,2578,83.81,Ministry of Social Development and Human Security,,
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,1188,48,116,5,-,438,306,221,18,1,3,19,4,9,89,1099,92.51,"Ministry of Higher Education, Science, Research and Innovation",,
กระทรวงเกษตรและสหกรณ์,32981,2930,4690,2209,1,9207,8344,4569,146,1,313,510,42,19,5859,27122,82.24,Ministry of Agricultures and Cooperatives,,
กระทรวงคมนาคม,13068,1349,5797,993,-,1858,1754,787,122,9,216,151,15,17,3878,9190,70.32,Ministry of Transport,,
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,2060,197,569,170,-,401,387,206,13,-,47,56,5,9,344,1716,83.30,Ministry of Digital Economy and Society,,
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,9570,433,2283,732,-,2233,2258,1349,32,1,32,180,25,12,1009,8561,89.46,Ministry of Natural Resource and Environment,,
กระทรวงพลังงาน,1380,95,125,53,-,352,355,259,12,-,9,99,9,12,127,1253,90.80,Ministry of Energy,,
กระทรวงพาณิชย์,3528,218,353,25,-,760,1243,665,33,1,67,125,21,17,306,3222,91.33,Ministry of Commerce,,
กระทรวงมหาดไทย,39134,3107,9098,693,-,7678,12367,4167,35,3,360,1370,192,64,6043,33091,84.56,Ministry of Interior,,
กระทรวงยุติธรรม,18534,3438,4761,166,-,2887,5502,1145,54,1,267,269,26,18,5099,13435,72.49,Ministry of Justice,,
กระทรวงแรงงาน,6008,261,762,23,-,1414,2457,678,10,1,75,303,10,14,293,5715,95.12,Ministry of Labour,,
กระทรวงวัฒนธรรม,3594,237,376,169,5,1045,1245,368,19,1,11,98,8,12,251,3343,93.02,Ministry of Culture,,
กระทรวงศึกษาธิการ,2974,171,250,42,-,982,684,719,35,2,-,28,25,36,203,2771,93.17,Ministry of Education,,
กระทรวงสาธารณสุข,243663,9541,21841,1269,-,71718,122907,13497,2402,83,24,330,27,24,31298,212365,87.16,Ministry of Public Health,,
กระทรวงอุตสาหกรรม,2959,154,408,35,-,757,825,576,23,-,6,145,15,15,228,2731,92.29,Ministry of Industry,,
