ตาราง  2.17  อัตราค่าจ้างขั้นต่ำ พ.ศ. 2556 - 2567,,,,,,,,,,,,,,
Table   2.17  Minimum Wage Rate: 2013 - 2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(บาท/วัน  Baht/day)
ภาค,จังหวัด,ค่าจ้าง (Wage)_2556 (2013)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2560 (2017)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2561 (2018)_เม.ย. (Apr.),ค่าจ้าง (Wage)_2563 (2020)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2565 (2022)_ต.ค. (Oct.),ค่าจ้าง (Wage)_2567 (2024)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2560 (2017)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2561 (2018)_เม.ย. (Apr.),อัตราการเปลี่ยนแปลง (Percent change)_2563 (2020)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2565 (2022)_ต.ค. (Oct.),อัตราการเปลี่ยนแปลง (Percent change)_2567 (2024)_ม.ค. (Jan.),Region,Province
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,300.00,310.00,325.00,331.00,353.00,363.00,3.33,4.84,1.85,6.65,2.83,Bangkok and Vicinities,Bangkok
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,300.00,310.00,325.00,331.00,353.00,363.00,3.33,4.84,1.85,6.65,2.83,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,300.00,310.00,325.00,331.00,353.00,363.00,3.33,4.84,1.85,6.65,2.83,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,300.00,310.00,325.00,331.00,353.00,363.00,3.33,4.84,1.85,6.65,2.83,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,300.00,310.00,325.00,331.00,353.00,363.00,3.33,4.84,1.85,6.65,2.83,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,300.00,310.00,325.00,331.00,353.00,363.00,3.33,4.84,1.85,6.65,2.83,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,300.00,308.00,320.00,325.00,343.00,350.00,2.67,3.90,1.56,5.54,2.04,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,300.00,305.00,315.00,320.00,335.00,341.00,1.67,3.28,1.59,4.69,1.79,Central Region,Ang Thong
