ตาราง 2.18 คนต่างด้าวที่ได้รับอนุญาตทำงานคงเหลือ จำแนกตามประเภทการอนุญาต และภาค ณ เดือนธันวาคม พ.ศ. 2565 - 2566,,,,,,,,,,
Table 2.18 Migrant Workers Granted Work Permits by Type of Permission and Region as of December: 2022 - 2023,,,,,,,,,,
,,,,,,,,,,
ปี,ประเภทการอนุญาต,ทั่วราชอาณาจักร (Whole Kingdom),กรุงเทพมหานคร (Bangkok),ปริมณฑล (Vicinities) (1/),ภาคกลาง (Central Region),ภาคเหนือ (Northern Region),ภาคตะวันออกเฉียงเหนือ (Northeastern Region),ภาคใต้ (Southern Region),Year,Type of  permission
2565,รวมยอด,2994453,685294,839557,747723,289507,70301,362071,2022,Total
2565,ตลอดชีพ,68,1,-,-,2,1,64,2022,Permanent
2565,ทั่วไป,114749,56887,13598,15834,8101,4285,16044,2022,General
2565,นำเข้าตาม MOU,564357,130766,191703,162586,16898,22990,39414,2022,Under the law on immigration according to MOU
2565,ส่งเสริมการลงทุน,49538,33352,949,13266,1005,367,599,2022,Under BOI and other laws
2565,ชนกลุ่มน้อย,91908,8143,9666,10410,61447,779,1463,2022,Minority group
2565,มติ ครม 13 กรกฎาคม 2564,880749,182173,234608,184092,91594,14881,173401,2022,Cabinet resolution dated 13 July 2021
2565,มติ ครม 28 กันยายน 2564,342505,69859,119516,100421,19273,5249,28187,2022,Cabinet resolution dated 28 September 2021
2565,มติ ครม 5 กรกฎาคม 2565,514948,119790,166258,119429,40595,10232,58644,2022,Cabinet resolution dated 5 July 2022
2565,คนต่างด้าวทำงาน ไป-กลับหรือตามฤดูกาล,22448,-,-,14560,6846,381,661,2022,Commuting or seasonal migrant workers
2565,มติ ครม 29 ธันวาคม 2563,413183,84323,103259,127125,43746,11136,43594,2022,Cabinet resolution dated 29 December 2020
2566,รวมยอด,261373,607540,731410,626996,249383,60222,337822,2023,Total
2566,ตลอดชีพ,5,1,-,-,2,1,1,2023,Permanent
2566,ทั่วไป,122973,58007,13493,17289,8469,4609,21106,2023,General
2566,นำเข้าตาม MOU,592529,155417,169119,189419,16500,29524,32550,2023,Under the law on  immigration according to MOU
2566,ส่งเสริมการลงทุน,52013,34652,642,14533,1090,310,786,2023,Under BOI and other laws
2566,ชนกลุ่มน้อย,89148,8059,10455,9614,58775,844,1401,2023,Minority group
2566,มติ ครม 7 กุมภาพันธ์ 2566,1717236,351404,537701,362530,160069,24193,281339,2023,Cabinet resolution dated7 February 2023
2566,คนต่างด้าวทำงาน ไป-กลับ หรือตามฤดูกาล,39469,-,-,33611,4478,741,639,2023,Commuting or seasonal migrant workers
,,,,,,,,,,
1/ รวมจังหวัดสมุทรปราการ นนทบุรี ปทุมธานี นครปฐม และสมุทรสาคร,,,,,,,,,,
"1/ Including Samut Prakan, Nonthaburi, Pathum Thani, Nakhon Patom and Samut Sakhon",,,,,,,,,,
ที่มา: สำนักบริหารแรงงานต่างด้าว กรมการจัดหางาน กระทรวงแรงงาน,,,,,,,,,,
"Source: Office of Foreign Workers Administration, Department of Employment, Ministry of Labour",,,,,,,,,,
