ตาราง  2.2  ประชากรอายุ 15 ปีขึ้นไป จำแนกตามสถานภาพแรงงาน ภาค และจังหวัด ไตรมาส 3 พ.ศ. 2566,,,,,,,,,,,,,
"Table    2.2   Population Aged 15 Years and Over by Labour Force Status, Region and Province: 3rd Quarter, 2023",,,,,,,,,,,,,
,,,,,,,,,,,,,
ภาค,จังหวัด,รวมยอด (Total),กำลังแรงงานรวม  (Total labour force),กำลังแรงงานปัจจุบัน (Current labour force)_รวม  (Total),กำลังแรงงานปัจจุบัน (Current labour force)_ผู้มีงานทำ (Employed),กำลังแรงงานปัจจุบัน (Current labour force)_ผู้ว่างงาน (Unemployed),กำลังแรงงานที่รอฤดูกาล (Seasonally inactive labour force),ผู้ไม่อยู่ในกำลังแรงงาน (Persons not in labour force)_รวม (Total),ผู้ไม่อยู่ในกำลังแรงงาน (Persons not in labour force)_ทำงานบ้าน (Household work),ผู้ไม่อยู่ในกำลังแรงงาน (Persons not in labour force)_เรียนหนังสือ (Studies),ผู้ไม่อยู่ในกำลังแรงงาน (Persons not in labour force)_อื่น ๆ (Others),Region,Province
ทั่วราชอาณาจักร,,58961617,40531795,40492522,40091326,401196,39273,18429822,5036960,4558201,8834662,Whole Kingdom,
กรุงเทพมหานคร,,7878305,5709620,5708840,5652257,56582,780,2168685,545776,485769,1137141,Bangkok,
ภาคกลาง,รวม,18787855,13344400,13341354,13208476,132878,3047,5443455,1645936,1234202,2563317,Central Region,Total
ภาคกลาง,สมุทรปราการ,2114104,1519291,1519291,1506480,12811,-,594813,202746,119867,272200,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี,1671467,1183742,1183742,1170279,13462,-,487725,123708,118738,245279,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,1673187,1160068,1160068,1136472,23596,-,513119,155928,118341,238850,Central Region,Pathum Thani
ภาคกลาง,พระนครศรีอยุธยา,789948,525621,525621,514895,10726,-,264327,75154,58232,130941,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,208240,127818,127818,126936,883,-,80422,26234,12622,41566,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,659335,459074,459074,453365,5709,-,200261,52410,45217,102634,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,156554,107228,107228,104902,2326,-,49326,13019,10594,25713,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,244922,169201,169123,167285,1838,78,75721,17799,15292,42629,Central Region,Chai Nat
ภาคกลาง,สระบุรี,656375,424582,424582,420184,4399,-,231793,78225,46900,106667,Central Region,Saraburi
ภาคกลาง,ชลบุรี,1682869,1196537,1196537,1187709,8827,-,486332,121509,109199,255625,Central Region,Chon Buri
ภาคกลาง,ระยอง,931353,693110,692235,687035,5199,875,238243,90439,60187,87617,Central Region,Rayong
ภาคกลาง,จันทบุรี,475120,363015,362684,361246,1438,331,112105,30436,30208,51461,Central Region,Chanthaburi
ภาคกลาง,ตราด,231299,173892,173892,172609,1284,-,57407,19350,11870,26187,Central Region,Trat
ภาคกลาง,ฉะเชิงเทรา,769434,557718,557718,553739,3979,-,211716,82142,54055,75518,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,551411,395764,395764,391886,3878,-,155647,60376,34281,60990,Central Region,Prachin Buri
ภาคกลาง,นครนายก,219799,148485,148485,147798,687,-,71314,23616,13812,33886,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,557454,370667,369916,367568,2348,751,186787,75462,30863,80462,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,681818,485437,485437,475831,9607,-,196381,49707,43296,103377,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,698976,476161,475934,471957,3978,226,222815,63394,48806,110616,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,710050,482257,482257,479985,2272,-,227793,53565,52035,122193,Central Region,Suphan Buri
ภาคกลาง,นครปฐม,1126870,863690,862906,858208,4697,785,263180,72743,84849,105587,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,999323,781295,781295,776206,5089,-,218028,77970,44474,95584,Central Region,Samut Sakhon
ภาคกลาง,สมุทรสงคราม,147566,101557,101557,101063,494,-,46009,16783,9574,19653,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,423409,295439,295439,293268,2171,-,127970,30634,32490,64847,Central Region,Phetchaburi
ภาคกลาง,ประจวบคีรีขันธ์,406972,282751,282751,281571,1180,-,124221,32586,28401,63233,Central Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,9502886,6298745,6286700,6221813,64887,12046,3204141,865248,708603,1630289,Northern Region,Total
ภาคเหนือ,เชียงใหม่,1524043,1041413,1041413,1035726,5687,-,482630,105707,118366,258558,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,328592,235147,235147,232643,2504,-,93445,19339,24619,49486,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,585341,375676,375676,370135,5541,-,209665,49573,43378,116714,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,338412,214441,214441,213056,1384,-,123971,45737,25514,52720,Northern Region,Uttaradit
ภาคเหนือ,แพร่,308335,203325,203139,201658,1481,185,105010,27026,23634,54349,Northern Region,Phrae
ภาคเหนือ,น่าน,370355,256403,256403,253827,2575,-,113952,35363,30288,48301,Northern Region,Nan
ภาคเหนือ,พะเยา,303275,179137,178980,176562,2418,156,124138,33928,29513,60697,Northern Region,Phayao
ภาคเหนือ,เชียงราย,961236,608268,600421,599777,644,7847,352968,108466,79071,165431,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,207154,147276,147250,145839,1411,26,59878,12763,10750,36365,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,762553,505500,505500,504155,1345,-,257053,65374,56096,135583,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,229261,147269,147060,145453,1607,209,81992,24973,14803,42216,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,664122,450187,447774,434562,13212,2413,213935,53714,54064,106158,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,455728,292298,291089,287977,3112,1209,163430,49855,26772,86803,Northern Region,Tak
ภาคเหนือ,สุโขทัย,514219,360631,360631,350543,10088,-,153588,37033,38306,78249,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,760352,513326,513326,508711,4615,-,247026,84481,50479,112066,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,426363,284205,284205,280280,3925,-,142158,41882,30915,69361,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,763545,484245,484245,480907,3338,-,279300,70034,52035,157231,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,14987523,9799273,9776552,9712273,64279,22721,5188250,1202887,1444708,2540655,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,2052606,1271428,1271428,1257419,14008,-,781178,167385,191934,421859,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,973157,664391,664391,659922,4469,-,308766,79754,84987,144025,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,848845,518994,512083,506485,5597,6911,329851,86978,62394,180480,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,757247,560501,560501,558431,2069,-,196746,46147,65963,84636,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,1420578,900334,900334,900334,-,-,520244,135535,132884,251825,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,364878,280175,280175,279742,433,-,84703,5900,28894,49909,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,752568,491491,491491,487838,3653,-,261077,63471,64038,133568,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,230838,151560,151560,150471,1089,-,79278,22490,21638,35150,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,292505,182469,179741,177987,1754,2728,110036,21134,30492,58410,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,385294,265975,265828,263050,2778,147,119319,8077,28526,82716,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,1403961,964922,964922,961207,3715,-,439039,74284,181342,183413,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,1024445,652046,652046,644541,7506,-,372399,87595,108877,175926,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,439681,272194,270681,270681,-,1513,167487,32771,46233,88483,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,374675,223375,223375,221076,2299,-,151300,46931,34270,70100,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,627410,420380,420380,415735,4646,-,207030,39273,72199,95558,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,853669,589245,589079,582415,6664,166,264424,53638,83617,127169,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,640807,403482,402187,401275,912,1295,237325,88485,62481,86360,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,745234,457020,447953,447633,320,9068,288214,74063,79844,134307,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,443628,289378,289378,288086,1293,-,154250,42867,37610,73773,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,355497,239912,239020,237945,1074,893,115585,26107,26487,62991,Northeastern Region,Mukdahan
ภาคใต้,รวม,7805048,5379757,5379076,5296507,82570,680,2425291,777112,684919,963260,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,1213464,849155,848941,834170,14772,214,364309,123166,95905,145237,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,346162,252189,252189,250358,1831,-,93973,35238,23890,34845,Southern Region,Krabi
ภาคใต้,พังงา,197497,126800,126522,124602,1921,278,70697,29168,14308,27220,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,495547,352187,352187,347471,4717,-,143360,31522,40765,71073,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,939780,644074,644074,640185,3889,-,295706,112630,84215,98861,Southern Region,Surat Thani
ภาคใต้,ระนอง,232665,147825,147636,147142,493,189,84840,36963,17743,30134,Southern Region,Ranong
ภาคใต้,ชุมพร,401305,288075,288075,287151,924,-,113230,47922,30804,34504,Southern Region,Chumphon
ภาคใต้,สงขลา,1359388,924026,924026,907481,16545,-,435362,94362,154067,186933,Southern Region,Songkhla
ภาคใต้,สตูล,238658,157305,157305,153709,3596,-,81353,29823,18304,33226,Southern Region,Satun
ภาคใต้,ตรัง,504114,374909,374909,372491,2419,-,129205,40595,39797,48813,Southern Region,Trang
ภาคใต้,พัทลุง,389480,282510,282510,279684,2826,-,106970,23619,34844,48508,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,516794,343791,343791,338015,5776,-,173003,57356,45676,69971,Southern Region,Pattani
ภาคใต้,ยะลา,383574,266750,266750,264400,2351,-,116824,35386,42246,39193,Southern Region,Yala
ภาคใต้,นราธิวาส,586620,370160,370160,349649,20511,-,216460,79362,42356,94742,Southern Region,Narathiwat
,,,,,,,,,,,,,
ที่มา:  การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,,
"Source: Labour Force Survey Provincial Level, National Statistical Office, Ministry of Digital Economy and Society  ",,,,,,,,,,,,,
