ตาราง   2.6  อัตราการว่างงาน จำแนกตามระดับการศึกษาที่สำเร็จ เพศ และไตรมาส พ.ศ. 2565 - 2566,,,,,,,,,,,
"Table    2.6   Unemployment Rate by Level of Educational Attainment, Sex and Quarter: 2022 - 2023",,,,,,,,,,,
,,,,,,,,,,,
เพศ,ระดับการศึกษาที่สำเร็จ,2565 (2022)_ไตรมาสที่ 1 (Quarter 1),2565 (2022)_ไตรมาสที่ 2 (Quarter 2),2565 (2022)_ไตรมาสที่ 3 (Quarter 3),2565 (2022)_ไตรมาสที่ 4 (Quarter 4),2566 (2023)_ไตรมาสที่ 1 (Quarter 1),2566 (2023)_ไตรมาสที่ 2 (Quarter 2),2566 (2023)_ไตรมาสที่ 3 (Quarter 3),2566 (2023)_ไตรมาสที่ 4 (Quarter 4),Sex,Level of educational attainment
รวม,รวม,1.53,1.37,1.23,1.15,1.05,1.06,0.99,0.81,Total,Total
รวม,ไม่มีการศึกษา,0.97,0.70,0.45,1.04,0.66,0.25,0.22,0.25,Total,No schooling
รวม,ต่ำกว่าประถมศึกษา,0.29,0.29,0.19,0.38,0.31,0.17,0.23,0.12,Total,Incomplete primary
รวม,ประถมศึกษา,0.81,0.60,0.63,0.58,0.49,0.37,0.52,0.43,Total,Primary education
รวม,มัธยมศึกษาตอนต้น ,1.49,1.27,1.02,0.88,1.03,0.94,1.09,0.77,Total,Lower secondary education
รวม,มัธยมศึกษาตอนปลาย สายสามัญ,1.60,1.52,1.46,1.33,1.11,1.03,0.85,0.81,Total,Upper secondary education (General/Academic)
รวม,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,1.98,1.74,1.82,1.32,1.10,1.57,1.16,0.59,Total,Upper secondary education (Vocational)
รวม,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,-,-,-,-,-,-,-,-,Total,Upper secondary education (Teacher training)
รวม,อุดมศึกษา สายวิชาการ,3.02,2.66,2.47,2.38,2.24,2.27,1.96,1.70,Total,Higher education (Academic)
รวม,อุดมศึกษา สายวิชาชีพ,2.42,2.41,1.70,1.42,1.06,2.04,1.25,1.37,Total,Higher education (Higher technical education)
รวม,อุดมศึกษา สายวิชาการศึกษา,3.52,3.40,2.58,2.02,1.97,3.12,3.18,1.91,Total,Higher education (Teacher training)
รวม,อื่นๆ(1),-,0.16,0.80,1.16,0.91,-,0.98,0.23,Total,Others (1)
ชาย ,รวม,1.49,1.32,1.13,1.04,1.06,0.95,0.89,0.80,Male,Total
ชาย ,ไม่มีการศึกษา,0.45,0.76,0.58,0.57,0.48,0.20,0.24,0.26,Male,No schooling
ชาย ,ต่ำกว่าประถมศึกษา,0.42,0.35,0.23,0.38,0.41,0.19,0.16,0.06,Male,Incomplete primary
ชาย ,ประถมศึกษา,0.94,0.67,0.74,0.72,0.66,0.44,0.63,0.56,Male,Primary education
ชาย ,มัธยมศึกษาตอนต้น ,1.67,1.38,1.00,0.80,1.10,0.99,1.07,0.78,Male,Lower secondary education
ชาย ,มัธยมศึกษาตอนปลาย สายสามัญ,1.39,1.42,1.54,1.23,1.08,0.94,0.91,0.89,Male,Upper secondary education (General/Academic)
ชาย ,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,1.62,2.17,1.63,0.84,0.98,1.48,1.12,0.39,Male,Upper secondary education (Vocational)
ชาย ,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,-,-,-,-,-,-,-,-,Male,Upper secondary education (Teacher training)
ชาย ,อุดมศึกษา สายวิชาการ,3.14,2.46,2.21,2.18,2.40,1.92,1.59,1.57,Male,Higher education (Academic)
ชาย ,อุดมศึกษา สายวิชาชีพ,2.32,2.08,1.27,1.36,1.01,1.92,1.12,1.43,Male,Higher education (Higher technical education)
ชาย ,อุดมศึกษา สายวิชาการศึกษา,3.48,4.22,2.54,3.43,2.05,2.68,2.66,3.42,Male,Higher education (Teacher training)
ชาย ,อื่นๆ(1),-,0.06,-,1.18,0.58,-,0.21,-,Male,Others (1)
หญิง,รวม,1.58,1.44,1.33,1.28,1.03,1.19,1.10,0.82,Female,Total
หญิง,ไม่มีการศึกษา,1.49,0.64,0.32,1.49,0.83,0.30,0.20,0.23,Female,No schooling
หญิง,ต่ำกว่าประถมศึกษา,0.16,0.24,0.15,0.38,0.21,0.16,0.31,0.19,Female,Incomplete primary
หญิง,ประถมศึกษา,0.64,0.49,0.49,0.39,0.25,0.27,0.37,0.26,Female,Primary education
หญิง,มัธยมศึกษาตอนต้น ,1.22,1.11,1.04,1.01,0.92,0.86,1.13,0.76,Female,Lower secondary education
หญิง,มัธยมศึกษาตอนปลาย สายสามัญ,1.86,1.64,1.37,1.46,1.15,1.14,0.78,0.72,Female,Upper secondary education (General/Academic)
หญิง,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,2.51,1.08,2.13,2.07,1.27,1.70,1.22,0.89,Female,Upper secondary education (Vocational)
หญิง,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,-,-,-,-,-,-,-,-,Female,Upper secondary education (Teacher training)
หญิง,อุดมศึกษา สายวิชาการ,2.93,2.80,2.65,2.53,2.12,2.52,2.21,1.79,Female,Higher education (Academic)
