ตาราง 20.4 อันดับดัชนีชี้วัดความสามารถในการแข่งขันของประเทศไทย เทียบกับประเทศอื่นในอาเซียน พ.ศ. 2565 - 2566,,,,,,,,,,,,,,,,,,,,,
Table  20.4 Competitiveness Index Rankings of Thailand and Other Countries in ASEAN: 2022 - 2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
รายการ,ปัจจัยย่อย,2565 (2022)_ไทย (Thai),2565 (2022)_สิงคโปร์ (Singapore),2565 (2022)_เวียดนาม (Viet Nam),2565 (2022)_ลาว(Lao PDR),2565 (2022)_กัมพูชา (Cambodia),2565 (2022)_มาเลเซีย (Malaysia),2565 (2022)_อินโดนีเซีย (Indonesia),2565 (2022)_บูรไน ดารุสลาม (Brunei Darussalam),2565 (2022)_ฟิลิปปินส์ (Philippines),2566 (2023)_ไทย (Thai),2566 (2023)_สิงคโปร์ (Singapore),2566 (2023)_เวียดนาม (Viet Nam),2566 (2023)_ลาว(Lao PDR),2566 (2023)_กัมพูชา (Cambodia),2566 (2023)_มาเลเซีย (Malaysia),2566 (2023)_อินโดนีเซีย (Indonesia),2566 (2023)_บูรไน ดารุสลาม (Brunei Darussalam),2566 (2023)_ฟิลิปปินส์ (Philippines),Item,Sub-Factor
อันดับโดยรวม,,33,3,-    ,-    ,-    ,32,44,-    ,48,30,4,-    ,-    ,-    ,27,34,-    ,52,Overall ranking,
สมรรถนะทางเศรษฐกิจ,ภาพรวม,34,2,-    ,-    ,-    ,12,42,-    ,53,16,3,-    ,-    ,-    ,7,29,-    ,40,Economic performance,Overall
สมรรถนะทางเศรษฐกิจ,เศรษฐกิจในประเทศ,51,1,-    ,-    ,-    ,50,44,-    ,48,44,10,-    ,-    ,-    ,16,28,-    ,30,Economic performance,Domestic economy
สมรรถนะทางเศรษฐกิจ,การค้าระหว่างประเทศ,37,1,-    ,-    ,-    ,23,51,-    ,59,29,2,-    ,-    ,-    ,14,49,-    ,60,Economic performance,International trade
สมรรถนะทางเศรษฐกิจ,การลงทุนระหว่างประเทศ,33,5,-    ,-    ,-    ,25,38,-    ,42,22,4,-    ,-    ,-    ,29,34,-    ,46,Economic performance,International investment
สมรรถนะทางเศรษฐกิจ,การจ้างงาน,4,3,-    ,-    ,-    ,16,29,-    ,19,3,2,-    ,-    ,-    ,21,31,-    ,9,Economic performance,Employment
สมรรถนะทางเศรษฐกิจ,ระดับราคา,31,54,-    ,-    ,-    ,4,13,-    ,58,27,51,-    ,-    ,-    ,1,12,-    ,39,Economic performance,Prices
ประสิทธิภาพของภาครัฐ,ภาพรวม,31,4,-    ,-    ,-    ,38,35,-    ,48,24,7,-    ,-    ,-    ,29,31,-    ,52,Government efficiency,Overall
ประสิทธิภาพของภาครัฐ,ฐานะการคลัง,29,6,-    ,-    ,-    ,35,26,-    ,51,25,9,-    ,-    ,-    ,33,21,-    ,55,Government efficiency,Public finance
ประสิทธิภาพของภาครัฐ,นโยบายภาษี,7,11,-    ,-    ,-    ,9,8,-    ,13,8,12,-    ,-    ,-    ,10,9,-    ,14,Government efficiency,Tax policy
ประสิทธิภาพของภาครัฐ,กรอบการบริหารด้านสถาบัน,41,6,-    ,-    ,-    ,36,48,-    ,53,34,7,-    ,-    ,-    ,29,39,-    ,56,Government efficiency,Institutional framework
ประสิทธิภาพของภาครัฐ,กฎหมายด้านธุรกิจ,38,2,-    ,-    ,-    ,50,47,-    ,52,31,6,-    ,-    ,-    ,45,46,-    ,57,Government efficiency,Business legislation
ประสิทธิภาพของภาครัฐ,กรอบการบริหารด้านสังคม,44,22,-    ,-    ,-    ,45,43,-    ,50,47,20,-    ,-    ,-    ,39,44,-    ,53,Government efficiency,Societal framework
ประสิทธิภาพของภาคธุรกิจ,ภาพรวม,30,9,-    ,-    ,-    ,38,31,-    ,39,23,8,-    ,-    ,-    ,32,20,-    ,40,Business efficiency,Overall
