ตาราง 21.1 คุณภาพอากาศบริเวณริมถนนในกรุงเทพมหานคร พ.ศ. 2566,,,,,,,
Table 21.1  Air Quality on Road Side in Bangkok: 2023,,,,,,,
,,,,,,,
สารมลพิษทางอากาศ,ช่วงค่าที่วัดได้ (Measures),ค่าเฉลี่ย (Average),จำนวนครั้งที่เกินมาตรฐาน/จำนวนครั้งที่ตรวจวัด (No. of above standard/No. of measurement),Air pollution,,,
ฝุ่นรวม 24 ชั่วโมง (มก./ลบ.ม.),0.03-1.16,0.16,'5/58,Total suspended particulate matter 24 hrs. (mg./cu.m.),,,
ฝุ่นละอองขนาดเล็กไม่เกิน 10 ไมครอน เฉลี่ย 24 ชั่วโมง (มคก./ลบ.ม.),23-155,62,5/509,Particulate matter less than 10 microns average 24 hrs. (microgramme/cu.m.),,,
ฝุ่นละอองขนาดไม่เกิน 2.5 ไมครอน เฉลี่ย 24 ชั่วโมง (มคก./ลบ.ม.),6-137,30,"290/1,755",Particulate matter less than 2.5 microns average 24 hrs. (microgramme/cu.m.),,,
ก๊าซคาร์บอนมอนอกไซด์ เฉลี่ย 1 ชั่วโมง (ส่วนในล้านส่วน),0.00-4.50,1.1,"0/7,740",Carbonmonoxide average 1 hr. (ppm),,,
ก๊าซคาร์บอนมอนอกไซด์ เฉลี่ย 8 ชั่วโมง (ส่วนในล้านส่วน),0.00-3.66,1.1,"0/7,998",Carbonmonoxide average 8 hrs. (ppm),,,
สารตะกั่วเฉลี่ย 24 ชั่วโมง (มคก./ลบ.ม.),0.01-0.18,0.03,0/57,Lead average 24 hrs. (microgramme/cu.m),,,
ก๊าซโอโซนเฉลี่ย 1 ชั่วโมง (ส่วนในพันล้านส่วน),-,-,-,Ozone average 1 hr. (ppb),,,
ก๊าซโอโซนเฉลี่ย 8 ชั่วโมง (ส่วนในพันล้านส่วน),-,-,-,Ozone average 8 hr. (ppb),,,
ก๊าซซัลเฟอร์ไดออกไซด์ เฉลี่ย 1 ชั่วโมง (ส่วนในพันล้านส่วน),-,-,-,Sulfurdioxide average 1 hr. (ppb),,,
ก๊าซซัลเฟอร์ไดออกไซด์ เฉลี่ย 24 ชั่วโมง (ส่วนในพันล้านส่วน),-,-,-,Sulfurdioxide average 24 hr. (ppb),,,
ก๊าซไนโตรเจนไดออกไซด์ เฉลี่ย 1 ชั่วโมง (ส่วนในพันล้านส่วน),5-126,25,"0/7,180",Nitrogendioxide average 1 hr. (ppb),,,
,,,,,,,
หมายเหตุ:,1. ค่ามาตรฐานฝุ่นรวมเฉลี่ย 1 ปี = 0.1 มก./ลบ.ม. ,,,,,,
  Note: ,1. Standard of total suspended particulate matter average 1 year = 0.1 mg./cu.m.,,,,,,
,2. ค่ามาตรฐานฝุ่นขนาดเล็กเฉลี่ย =  50 มคก./ลบ.ม. ,,,,,,
,2. Standard of suspended particulate matter average = 50 microgramme/cu.m,,,,,,
,3. ค่ามาตรฐานฝุ่นละอองขนาดไม่เกิน 2.5 ไมครอนเฉลี่ย = 25 มคก./ลบ.ม.,,,,,,
,3. Standard of particulate matter less than 2.5 microns average = 25 microgramme/cu.m.,,,,,,
,4. ค่ามาตรฐานก๊าซไนโตรเจนไดออกไซด์เฉลี่ย = 30 (ppb),,,,,,
,4. Standard of nitrogendioxide average = 30 ppb,,,,,,
ที่มา: กรมควบคุมมลพิษ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม ,,,,,,,
"Source: Pollution Control Department, Ministry of Natural Resource and Environment",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,, 
