ตาราง  21.11  อุตุนิยมสังเขป จำแนกตามสถานีตรวจอากาศ พ.ศ. 2565 - 2566,,,,,,,,,,,,,,
Table 21.11 Summary of Meteorology by Meteorological Station: 2022 - 2023,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ภาค,สถานีตรวจอากาศ,ความสูงของสถานีเหนือระดับน้ำทะเลปานกลาง (เมตร) (Elevation of station above mean sea-leve (Metre)),2565 (2022)_อุณหภูมิเฉลี่ยสูงสุด(องศาเซลเซียส) (Temperature Mean maximum (Degrees Celsius))   ,2565 (2022)_อุณหภูมิเฉลี่ย(องศาเซลเซียส) (Temperature Mean (Degrees Celsius)),2565 (2022)_อุณหภูมิเฉลี่ยต่ำสุด(องศาเซลเซียส) (Temperature Mean minimum (Degrees Celsius)),2565 (2022)_ความกดอากาศเฉลี่ย (Mean atmospheric pressure)  (hPa),2565 (2022)_ความชื้นสัมพัทธ์ เฉลี่ย (Mean relative humidity %),2566 (2023)_อุณหภูมิเฉลี่ยสูงสุด(องศาเซลเซียส) (Temperature Mean maximum (Degrees Celsius)),2566 (2023)_อุณหภูมิเฉลี่ย(องศาเซลเซียส) (Temperature Mean (Degrees Celsius)) ,2566 (2023)_อุณหภูมิเฉลี่ยต่ำสุด (Temperature Mean minimum (Degrees Celsius)),2566 (2023)_ความกดอากาศเฉลี่ย (Mean atmospheric pressure)  (hPa),2566 (2023)_ความชื้นสัมพัทธ์เฉลี่ย (Mean relative humidity %),Region,Meteorological station
ภาคกลาง,รวม,,32.9,28.0,24.0,1008.91,76.0,33.8,28.7,24.5,1009.60,72.7,Central Part,Tatal
ภาคกลาง,กาญจนบุรี,28,34.0,28.6,22.5,1008.85,71.5,34.9,29.4,23.3,1009.55,67.2,Central Part,Kanchanaburi
ภาคกลาง,ทองผาภูมิ,97,33.7,27.0,22.7,1009.36,79.0,34.2,27.6,22.9,1010.16,75.8,Central Part,Thong Pha Phum
ภาคกลาง,นครปฐม,7,33.3,27.9,23.6,1008.73,79.4,34.2,28.6,24.1,1009.52,76.5,Central Part,Nakhonpathom
ภาคกลาง,กรุงเทพมหานคร,3,34.1,29.0,25.9,1008.51,74.0,34.6,29.6,26.7,1009.22,71.0,Central Part,Bangkok 
ภาคกลาง,บางนา (สกษ),1,33.4,28.9,25.4,1008.74,74.0,34.2,29.6,26.0,1009.51,71.9,Central Part,Bangna Agromet.
ภาคกลาง,ท่าเรือคลองเตย,3,33.7,30.1,25.5,1008.63,69.5,34.4,30.7,26.6,1009.43,66.8,Central Part,Bangkok Port (Khlong Toei)
ภาคกลาง,สนามบินดอนเมือง,12,32.9,28.6,25.4,1008.93,73.9,33.8,29.5,26.1,1009.68,67.1,Central Part,Don Muang Airport
ภาคกลาง,สนามบินสุวรรณภูมิ,1,32.6,28.2,24.6,1009.10,77.2,33.4,28.9,25.3,1009.83,73.5,Central Part,Suvarnabhumi Airport
ภาคกลาง,นำร่อง,14,30.8,28.9,26.7,1008.76,77.5,31.2,29.3,27.2,1009.44,76.8,Central Part,Pilot Station
ภาคกลาง,สมุทรปราการ,1,32.3,28.6,25.8,1008.53,76.6,32.9,29.2,26.5,1009.41,73.0,Central Part,Samut Prakarn
ภาคกลาง,นครสวรรค์,34,34.0,28.3,23.7,1008.84,75.9,35.3,29.4,24.4,1009.48,70.9,Central Part,Nakhon Sawan
ภาคกลาง,ตากฟ้า (สกษ),87,33.3,27.8,23.6,1009.43,73.5,34.5,28.9,24.4,1010.12,68.2,Central Part,Takfa Agromet.
ภาคกลาง,ชัยนาท (สกษ),15,33.4,27.9,23.8,1009.03,75.2,34.3,28.6,24.4,1009.66,72.0,Central Part,Chainat Agromet.
ภาคกลาง,ราชบุรี,5,33.1,27.6,23.8,1009.63,78.5,34.0,28.3,24.3,1010.30,74.7,Central Part,Ratchaburi
ภาคกลาง,สมุทรสงคราม,4,32.0,28.5,24.7,1008.62,77.3,32.7,28.9,20.5,1009.37,75.2,Central Part,Samutsongkram
ภาคกลาง,พระนครศรีอยุธยา,8,34.0,28.3,23.4,1009.01,76.1,34.6,28.9,23.7,1009.78,72.2,Central Part,Ayutthaya
ภาคกลาง,ปทุมธานี,6,34.4,28.8,24.6,1008.85,76.1,35.3,29.6,25.3,1009.55,73.0,Central Part,Pathumthani
ภาคกลาง,นครนายก,1267,24.2,19.9,17.4,1008.73,89.5,25.5,21.0,18.0,1009.01,88.1,Central Part,Nakornnayok
ภาคกลาง,ลพบุรี,10,33.8,28.5,24.7,1008.80,72.8,34.8,29.3,25.3,1009.44,68.9,Central Part,Lop Buri
ภาคกลาง,บัวชุม,49,33.9,27.7,23.3,1009.07,76.5,35.2,28.7,23.8,1009.61,72.3,Central Part,Bua Chum
ภาคกลาง,สุพรรณบุรี,7,33.9,28.6,24.7,1008.98,75.4,34.9,29.3,25.0,1009.63,73.7,Central Part,Suphan Buri
