ตาราง 21.12 ปริมาณฝน จำแนกตามสถานีตรวจอากาศ พ.ศ. 2564 - 2566,,,,,,,,,
Table 21.12 Annual Rainfall Data by Meteorological Station: 2021 - 2023,,,,,,,,,
,,,,,,,,,
ภาค,สถานีตรวจอากาศ,2564 (2021)_จำนวนวันที่ฝนตก (No. of rainy day),2564 (2021)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2565 (2022)_จำนวนวันที่ฝนตก (No. of rainy day),2565 (2022)ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2566 (2023)_จำนวนวันที่ฝนตก (No. of rainy day),2566 (2023)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),Region,Meteorological station
ภาคกลาง,กาญจนบุรี,117,1144.1,123,1553.3,102,1146.9,Central Part,Kanchanaburi
ภาคกลาง,ทองผาภูมิ,164,2093.6,163,1690.1,143,1565.2,Central Part,Thong Pha Phum
ภาคกลาง,นครปฐม,106,1014.2,121,1326.7,92,613.0,Central Part,Nakhonpathom
ภาคกลาง,กรุงเทพมหานคร,119,1696.3,152,2564.8,111,1410.7,Central Part,Bangkok 
ภาคกลาง,บางนา (สกษ),135,1888.5,158,2495.3,106,1403.8,Central Part,Bangna Agromet.
ภาคกลาง,ท่าเรือคลองเตย,103,1622.3,134,2304.7,96,1114.9,Central Part,Bangkok Port (Khlong Toei)
ภาคกลาง,สนามบินดอนเมือง,120,1092.5,139,1664.7,110,840.5,Central Part,Don Muang Airport
ภาคกลาง,สนามบินสุวรรณภูมิ,137,1393.7,148,1751.4,98,1022.9,Central Part,Suvarnabhumi Airport
ภาคกลาง,นำร่อง,87,1135.6,110,1156.1,65,562.6,Central Part,Pilot Station
ภาคกลาง,สมุทรปราการ,117,1796.5,133,1817.0,92,1270.4,Central Part,Samut Prakarn
ภาคกลาง,นครสวรรค์,114,1288.3,127,1692.9,91,706.8,Central Part,Nakhon Sawan
ภาคกลาง,ตากฟ้า (สกษ),121,1532.9,129,1522.9,89,993.2,Central Part,Takfa Agromet.
ภาคกลาง,ชัยนาท (สกษ),93,1169.0,127,1316.9,79,625.1,Central Part,Chainat Agromet.
ภาคกลาง,ราชบุรี,124,1269.3,129,1035.0,105,900.0,Central Part,Ratchaburi
