ตาราง 21.2 การปล่อยก๊าซคาร์บอนไดออกไซด์ จำแนกตามสาขา พ.ศ. 2561 - 2565,,,,,,,,
Table 21.2 Estimated CO2  Emissions by Sector: 2018 - 2022,,,,,,,,
,,,,,,,,
การจัดจำแนก,สาขา,2561 (2018),2562 (2019),2563 (2020),2564 (2021),2565 (2022),Classification,Sector
ปริมาณ (พันตัน),รวมยอด,238026,242414,236411,224890,238278,Quantity (Thousand tons),Total
ปริมาณ (พันตัน),การขนส่ง,79605,81673,81084,75683,82041,Quantity (Thousand tons),Transportation
ปริมาณ (พันตัน),ไฟฟ้า,91594,92907,88977,88539,81665,Quantity (Thousand tons),Power
ปริมาณ (พันตัน),อุตสาหกรรมการผลิต,50730,51562,52440,46931,60932,Quantity (Thousand tons),Manufacturing
ปริมาณ (พันตัน),บ้านอยู่อาศัยและธุรกิจการค้า,6739,6615,6334,6418,6518,Quantity (Thousand tons),Residential and commercial
ปริมาณ (พันตัน),อื่นๆ(1),9358,9657,7576,7319,7122,Quantity (Thousand tons),Others(1)
อัตราเพิ่ม,รวมยอด,0.9,1.8,-2.5,-4.9,6.0,Growth rate,Total
อัตราเพิ่ม,การขนส่ง,1.5,2.6,-0.7,-6.7,8.4,Growth rate,Transportation
อัตราเพิ่ม,ไฟฟ้า,-5.7,1.4,-4.2,-0.5,-7.8,Growth rate,Power
อัตราเพิ่ม,อุตสาหกรรมการผลิต,11.0,1.6,1.7,-10.5,29.8,Growth rate,Manufacturing
อัตราเพิ่ม,บ้านอยู่อาศัยและธุรกิจการค้า,0.6,-1.8,-4.2,1.3,1.6,Growth rate,Residential and commercial
อัตราเพิ่ม,อื่นๆ(1),7.3,3.2,-21.5,-3.4,-2.7,Growth rate,Others(1)
,,,,,,,,
(1) รวมเกษตรกรรม ก่อสร้าง และเหมืองแร่,,,,,,,,
"(1) Including agriculture, construction and mining",,,,,,,,
หมายเหตุ: ไม่รวมปริมาณการปล่อยมลพิษจากพลังงานหมุนเวียน น้ำมันเตาที่ใช้ระหว่างประเทศ น้ำมันดีเซล และน้ำมันเครื่องบิน,,,,,,,,
"Note: Excluding emission from renewable energy and international bunker oil,diesel and jet fuel",,,,,,,,
ที่มา: กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน  กระทรวงพลังงาน,,,,,,,,
"Source: Department of Alternative Energy Development and Efficiency, Ministry of Energy",,,,,,,,
