ตาราง 21.4 เนื้อที่จังหวัด และเนื้อที่ป่าไม้ จำแนกตามภาค และจังหวัด พ.ศ. 2566,,,,,,,,,,,,
Table 21.4 Province Area and Forest Area by Region and Province: 2023,,,,,,,,,,,,
,,,,,,,,,,,,
ภาค,จังหวัด,เนื้อที่จังหวัด ตร.กม. (Province area Sq.km.),เนื้อที่จังหวัด ไร่ (Province area Rai),เนื้อที่ป่า ตร.กม. (Forest area Sq.km.),เนื้อที่ป่า ไร่ (Forest area Rai),ร้อยละของเนื้อที่ป่า (Percentage of forest area),Region,Province,,,,
ทั่วราชอาณาจักร,รวม,517645.92,323528699.70,162909.05,101818155.80,31.47,Whole Kingdom,Tatal,,,,
กรุงเทพมหานคร,กรุงเทพมหานคร,1563.99,977490.79,5.98,3739.37,0.38,Bangkok,Bangkok,,,,
ปริมณฑล,รวม,6113.30,3820815.59,72.34,45214.44,1.18,Vicinity,Tatal,,,,
ปริมณฑล,สมุทรปราการ,947.20,592001.82,27.18,16985.63,2.87,Vicinity,Samut Prakan,,,,
ปริมณฑล,นนทบุรี,636.82,398013.70,-,-, -,Vicinity,Nonthaburi,,,, 
ปริมณฑล,ปทุมธานี,1520.42,950264.31,-,-, -,Vicinity,Pathum Thani,,,,
ปริมณฑล,นครปฐม,2142.41,1339004.62,7.85,4904.10,0.37,Vicinity,Nakhon Pathom,,,,
ปริมณฑล,สมุทรสาคร,866.45,541531.14,37.32,23324.71,4.31,Vicinity,Samut Sakhon,,,,
ภาคกลาง,รวม,16813.66,10508537.16,1901.25,1188279.34,11.31,Central Region,Tatal,,,,
ภาคกลาง,พระนครศรีอยุธยา,2547.79,1592367.35,0.15,91.86,-,Central Region,Phra Nakhon Si Ayutthaya,,,,
ภาคกลาง,อ่างทอง,950.40,593996.89,-,-,-,Central Region,Ang Thong,,,,
ภาคกลาง,ลพบุรี,6492.95,4058095.84,985.64,616023.37,15.18,Central Region,Lop Buri,,,,
ภาคกลาง,สิงห์บุรี,817.15,510716.51,0.50,310.95,0.06,Central Region,Sing Buri,,,,
ภาคกลาง,ชัยนาท,2506.19,1566366.39,64.83,40515.63,2.59,Central Region,Chai Nat,,,,
ภาคกลาง,สระบุรี,3499.19,2186994.18,850.14,531337.53,24.30,Central Region,Saraburi,,,,
ภาคตะวันออก,รวม,36623.02,22889386.44,8167.90,5104934.94,22.30,Eastern Region,Tatal,,,,
ภาคตะวันออก,ชลบุรี,4508.02,2817515.03,545.36,340848.52,12.10,Eastern Region,Chon Buri,,,,
ภาคตะวันออก,ระยอง,3665.61,2291003.80,289.76,181099.19,7.90,Eastern Region,Rayong,,,,
ภาคตะวันออก,จันทบุรี,6415.36,4009602.07,2063.39,1289619.56,32.16,Eastern Region,Chanthaburi,,,,
ภาคตะวันออก,ตราด,2866.52,1791577.83,887.37,554607.26,30.96,Eastern Region,Trat,,,,
ภาคตะวันออก,ฉะเชิงเทรา,5169.40,3230873.49,799.94,499959.87,15.47,Eastern Region,Chachoengsao,,,,
ภาคตะวันออก,ปราจีนบุรี,5025.57,3140982.59,1436.14,897589.05,28.58,Eastern Region,Prachin Buri,,,,
ภาคตะวันออก,นครนายก,2141.60,1338502.89,642.53,401581.42,30.00,Eastern Region,Nakhon Nayok,,,,
