ตาราง 21.5 การเกิดไฟไหม้ป่า ปีงบประมาณ 2564 - 2566,,,,,,,,,
Table 21.5 The Forest Fire: Fiscal Years 2021 - 2023,,,,,,,,,
,,,,,,,,,
การจัดจำแนก,ภาค,2564 (2021) _ความถี่ (ครั้ง) (Freguency time),2564 (2021) _พื้นที่ถูกไฟไหม้ (ไร่) (Burned area rai),2565 (2022) r_ความถี่ (ครั้ง) (Freguency time),2565 (2022)r _พื้นที่ถูกไฟไหม้ (ไร่) (Burned area rai),2566 (2023)_ความถี่ (ครั้ง) (Freguency time),2566 (2023) _พื้นที่ถูกไฟไหม้ (ไร่) (Burned area rai),Classification,Region
จำนวน,ทั่วราชอาณาจักร,4311,100704.3,2367,38201.6,7229,185979.5,Number,Whole Kingdom
จำนวน,ภาคกลาง,383,5258.5,138,2032.0,623,11503.8,Number,Central Region
จำนวน,ภาคเหนือ,3172,84417.7,1634,26960.3,5163,138612.6,Number,Northern Region
จำนวน,ภาคตะวันออกเฉียงเหนือ,743,10515.6,595,9209.3,1407,25424.3,Number,Northeastern Region
จำนวน,ภาคใต้,13,512.5,-,-,36,10438.8,Number,Southern Region
อัตราการเปลี่ยนแปลง,ทั่วราชอาณาจักร,-42.9,-42.4,-45.1,-62.1,205.4,386.8,Percent change,Whole Kingdom
อัตราการเปลี่ยนแปลง,ภาคกลาง,-49.9,-75.3,-64.0,-61.4,351.4,466.1,Percent change,Central Region
อัตราการเปลี่ยนแปลง,ภาคเหนือ,-41.6,-35.4,-48.5,-68.1,216.0,414.1,Percent change,Northern Region
อัตราการเปลี่ยนแปลง,ภาคตะวันออกเฉียงเหนือ,-43.3,-52.1,-19.9,-12.4,136.5,176.1,Percent change,Northeastern Region
อัตราการเปลี่ยนแปลง,ภาคใต้,-67.5,-47.0,-100.0,-100.0,100.0,100.0,Percent change,Southern Region
,,,,,,,,,
ที่มา: สำนักป้องกัน ปราบปราม และควบคุมไฟป่า กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช  กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,,,,,,,,
"Source: Forest Protection and Fire Control Office, Department of National Park, Wildlife and Plant Conservation, Ministry of Natural Resouce and Environment",,,,,,,,,
