ตาราง 21.9 การกระทำผิดกฎหมายป่าไม้ ปีงบประมาณ  2563 - 2565,,,,,,
Table 21.9 Forest Offenses: Fiscal Years 2020 - 2022,,,,,,
,,,,,,
รายการ,หน่วย,2563 (2020),2564 (2021),2565 (2022),Item,Unit
จำนวนคดี,คดี,2519,1839,1502,Number of cases,Case
ผู้ต้องหา,คน,1336,1176,877,Accused,Person
ของกลางไม้สักท่อน,ลบ.ม.,142,65,90,Confiscated Teak Logs,Cum.
ของกลางไม้สักแปรรูป,ลบ.ม.,13,18,11,Confiscated Teak Sawn,Cum.
ของกลางไม้กระยาเลยท่อน,ลบ.ม.,1002,1877,650,Confiscated Non-teak Logs,Cum.
ของกลางไม้กระยาเลยแปรรูป,ลบ.ม.,147,316,164,Confiscated Non-teak Sawn,Cum.
ของกลางสิ่งปลูกสร้าง,หลัง,75,31,60,Confiscated Building ,Unit
ของกลางสิ่งประดิษฐ์จากไม้หวงห้าม,ชิ้น,-,-,-,Confiscated Products from restricted wood ,Piece
ของกลางของป่าหวงห้าม,รายการ,10,8,41,Confiscated Restricted minor forest products ,Item
ของกลางหินแผ่น,กก.,700,-,-,Confiscated Stone slabs ,Kg.
ของกลางสัตว์ป่ามีชีวิต,ตัว,1792,2256,6275,Confiscated Live wildlife ,Unit
ของกลางซากสัตว์ป่า,ซาก,1104,1066,1614,Confiscated Wildlife carcasses ,Unit
เนื้อที่ป่าถูกบุกรุกแผ้วถาง,ไร่,24743,5268,3461,Forest land cleared  ,Rai
อุปกรณ์ที่ใช้ในการกระทำผิดรถยนต์,คัน,71,68,74,Confiscated implements Motor vehicles ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดรถบรรทุกสิบล้อ,คัน,4,-,8,Confiscated implements Ten-wheeled trucks ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดรถแบคโฮ,คัน,7,6,5,Confiscated implements Backhoes ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดรถแทรกเตอร์,คัน,5,3,13,Confiscated implements tractors ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดรถไถ,คัน,1,17,7,Confiscated implements Tillers ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดรถจักรยานยนต์,คัน,312,217,198,Confiscated implements Motorcycles ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดรถจักรยาน,คัน,1,-,-,Confiscated implements Bicycles ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดสาลี่เข็นไม้,คัน,21,15,41,Confiscated implements Wheelbarrows ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดเรือ,ลำ,15,14,14,Confiscated implements Boats ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดเครื่องกำเนิดไฟฟ้า,เครื่อง,6,17,11,Confiscated implements Electric generators ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดเลื่อยยนต์,เครื่อง,113,226,112,Confiscated implements Chainsaws ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดเลื่อยไฟฟ้าดัดแปลง,เครื่อง,3,8,4,Confiscated implements Adapted electric saws ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดเลื่อย,ปื้น,60,134,78,Confiscated implements Saws ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดปืน,กระบอก,525,448,472,Confiscated implements Guns ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดเครื่องกระสุน,นัด,1103,4028,3788,Confiscated implements Bullets ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดมีด,ด้าม,249,487,304,Confiscated implements Knives ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดจอบ,เล่ม,24,35,26,Confiscated implements Hoes ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดขวาน,ด้าม,63,109,67,Confiscated implements Axes ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดกรงนก,กรง,285,410,609,Confiscated implements Birdcages ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดอื่น ๆ,รายการ,334,2143,1468,Confiscated implements Others ,Unit
อุปกรณ์ที่ใช้ในการกระทำผิดอื่น ๆ,ชิ้น,2240,6773,4028,Confiscated implements Others ,Piece
,,,,,,
ที่มา: กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช  กระทรวงทรัพยากรธรรมชาติ และสิ่งแวดล้อม,,,,,,
"Source: Department of National Park, Wildlife and Plant Conservation, Ministry of Natural Resource and Environment",,,,,,
