ตาราง 3.1 งบประมาณรายจ่ายด้านการศึกษา จำแนกตามลักษณะงานด้านการศึกษา ปีงบประมาณ 2557 - 2566,,,,,,,
Table 3.1 Education Expenditure by Function: Fiscal Years 2014 - 2023,,,,,,,
,,,,,,,
,,,,,,,(ล้านบาท  Million Baht)
ปีงบประมาณ (Fiscal year),รวมยอด (Total),ระดับมัธยมศึกษา (Secondary education) (1),ระดับอุดมศึกษา (Higher education),การศึกษาไม่กำหนดระดับ (Not allocated by level of education),การบริการสนับสนุนการศึกษา (Services and support to education),การวิจัยและการพัฒนาด้านการศึกษา (Research and development ),การศึกษาอื่น (Other types of education)
2557 (2014),518519.1,383557.2,87721.9,2720.3,23508.6,-,21011.1
2558 (2015),531044.8,387886.6,97725.7,2780.7,22521.1,-,20130.7
2559 (2016),549708.1,388080.8,106829.1,9214.5,25386.7,-,20197.0
2560 (2017),536732.0,376124.3,112975.0,3116.8,15219.8,1455.3,27840.8
2561 (2018),523569.4,325295.8,108340.9,3780.4,47466.3,6964.1,31721.9
2562 (2019),510427.0,347778.5,101832.7,2688.4,10365.8,3420.5,44341.1
2563 (2020),493822.7,341669.8,100653.0,2447.1,10804.4,779.0,37469.4
2564 (2021),482764.5,329732.5,102269.9,2211.0,12217.3,260.4,36073.4
2565 (2022),453891.2,306697.9,103869.2,2183.6,8795.9,192.9,32151.7
2566 (2023),451833.7,296630.9,103245.2,2334.0,10033.5,169.0,39421.1
,,,,,,,
(1) รวมระดับก่อนประถมศึกษา และประถมศึกษา,,,,,,,
(1) Including in Pre-elementary and Elementary Education,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ ,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,
