ตาราง  3.10  นักเรียน นักศึกษาประเภทอาชีวศึกษาในสถานศึกษาสังกัดกระทรวงศึกษาธิการ ในระบบโรงเรียน จำแนกตามหลักสูตร ประเภทวิชา สังกัด ชั้นเรียน และเพศ ปีการศึกษา 2563 - 2565,,,,,,,,,,,,
"Table   3.10  Students in Vocational Education under The Ministry of Education in The Formal System by Program, Type of Course, Jurisdiction, Grade and Sex: Academic Years 2020 - 2022",,,,,,,,,,,,
,,,,,,,,,,,,
หลักสูตร/ประเภทวิชา,สังกัด/ชั้นเรียน,2563 (2020)_รวมยอด (Total),2563 (2020)_ชาย (Male),2563 (2020)_หญิง (Female),2564 (2021)_รวมยอด (Total),2564 (2021)_ชาย (Male),2564 (2021)_หญิง (Female),2565 (2022)_รวมยอด (Total),2565 (2022)_ชาย (Male),2565 (2022)_หญิง (Female),Program/Type of course,Jurisdiction/Grade
รวมยอด,,1023007,603293,419714,1023004,613466,409538,997006,601474,395532,Total,
ช่างอุตสาหกรรม,รวม,505796,453045,52751,518462,460446,58016,507622,448074,59548,Industrial trades/Industrial technology,Total
ช่างอุตสาหกรรม,ปวช.,337443,300663,36780,347060,306528,40532,340132,298398,41734,Industrial trades/Industrial technology,Certificate in vocational education
ช่างอุตสาหกรรม,ปวส./อนุปริญญา/เทียบเท่า,168353,152382,15971,171402,153918,17484,167490,149676,17814,Industrial trades/Industrial technology,Diploma in vocational education
พาณิชยกรรม/บริหารธุรกิจ,รวม,377372,93230,284142,367583,94152,273431,358059,94926,263133,Commerce/Business administration,Total
พาณิชยกรรม/บริหารธุรกิจ,ปวช.,224890,58369,166521,221703,59859,161844,218865,61677,157188,Commerce/Business administration,Certificate in vocational education
พาณิชยกรรม/บริหารธุรกิจ,ปวส./อนุปริญญา/เทียบเท่า,152482,34861,117621,145880,34293,111587,139194,33249,105945,Commerce/Business administration,Diploma in vocational education
ศิลปหัตถกรรม/ศิลปกรรม,รวม,18120,12066,6054,19100,12679,6421,19444,12589,6855,Arts and crafts technology,Total
ศิลปหัตถกรรม/ศิลปกรรม,ปวช.,14642,9792,4850,15329,10223,5106,15402,9950,5452,Arts and crafts technology,Certificate in vocational education
ศิลปหัตถกรรม/ศิลปกรรม,ปวส./อนุปริญญา/เทียบเท่า,3478,2274,1204,3771,2456,1315,4042,2639,1403,Arts and crafts technology,Diploma in vocational education
คหกรรม,รวม,24107,6648,17459,23149,6492,16657,21356,5994,15362,Home economics,Total
คหกรรม,ปวช.,16032,4379,11653,15561,4366,11195,14323,3963,10360,Home economics,Certificate in vocational education
คหกรรม,ปวส./อนุปริญญา/เทียบเท่า,8075,2269,5806,7588,2126,5462,7033,2031,5002,Home economics,Diploma in vocational education
เกษตรกรรม,รวม,29439,17053,12386,30823,17808,13015,31686,17889,13797,Agricultural trades,Total
เกษตรกรรม,ปวช.,20661,11357,9304,21678,11972,9706,23094,12486,10608,Agricultural trades,Certificate in vocational education
เกษตรกรรม,ปวส./อนุปริญญา/เทียบเท่า,8778,5696,3082,9145,5836,3309,8592,5403,3189,Agricultural trades,Diploma in vocational education
ประมง,รวม,1881,1068,813,1800,1014,786,1591,893,698,Fishery,Total
ประมง,ปวช.,463,266,197,447,247,200,361,204,157,Fishery,Certificate in vocational education
ประมง,ปวส./อนุปริญญา/เทียบเท่า,1418,802,616,1353,767,586,1230,689,541,Fishery,Diploma in vocational education
เทคโนโลยีสารสนเทศและการสื่อสาร,รวม,12966,6719,6247,18062,10407,7655,19227,11505,7722,Information technology and communication,Total
เทคโนโลยีสารสนเทศและการสื่อสาร,ปวช.,7982,4089,3893,11202,6370,4832,11941,7160,4781,Information technology and communication,Certificate in vocational education
เทคโนโลยีสารสนเทศและการสื่อสาร,ปวส./อนุปริญญา/เทียบเท่า,4984,2630,2354,6860,4037,2823,7286,4345,2941,Information technology and communication,Diploma in vocational education
