ตาราง 3.11 นักศึกษาระดับอุดมศึกษา (อนุปริญญา) ประเภทอาชีวศึกษา และสาขาวิชาอื่น ในระบบโรงเรียน จำแนกตามประเภทวิชา สังกัด และเพศ ปีการศึกษา 2563 - 2565,,,,,,,,,,,,
"Table 3.11 Higher Education Students at The Diploma Level in Vocational Type and Other Types of Educational in The Formal System by Type of Course, Jurisdiction and Sex: Types of Educational in The Formal System by Type of Course, Jurisdiction and Sex: Academic Years 2020 - 2022",,,,,,,,,,,,
,,,,,,,,,,,,
ประเภทวิชา,สังกัด,2563 (2020)_รวมยอด (Total),2563 (2020)_ชาย (Male),2563 (2020)_หญิง (Female),2564 (2021)_รวมยอด (Total),2564 (2021)_ชาย (Male),2564 (2021)_หญิง (Female),2565 (2022)_รวมยอด (Total),2565 (2022)_ชาย (Male),2565 (2022)_หญิง (Female),Type of course,Jurisdictuin
รวมยอด,รวม,388915,218269,170646,376531,217942,158589,365454,211042,154412,Total,Total
ประเภทอาชีวศึกษา,รวม,387411,217863,169548,374962,217509,157453,364105,210773,153332,Vocational Education Type,Total
ประเภทอาชีวศึกษา,กระทรวงศึกษาธิการ,362161,204951,157210,356757,206115,150642,344177,200542,143635,Vocational Education Type,Ministry of Education
ประเภทอาชีวศึกษา,สำนักงานคณะกรรมการ การอาชีวศึกษา (รัฐ),243815,148744,95071,240564,149108,91456,232097,145130,86967,Vocational Education Type,Office of the Vocational Education Commission (Public)
ประเภทอาชีวศึกษา,สำนักงานคณะกรรมการ การอาชีวศึกษา (เอกชน),118346,56207,62139,116193,57007,59186,112080,55412,56668,Vocational Education Type,Office of the Vocational Education Commission (Private)
ประเภทอาชีวศึกษา,ส่วนราชการอื่น ,25250,12912,12338,18205,11394,6811,19928,10231,9697,Vocational Education Type,Other Organizations
ประเภทอาชีวศึกษา,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,18106,7744,10362,14830,8476,6354,16457,7197,9260,Vocational Education Type,"Ministry of Higher Education, Science, Research and Innovation"
ประเภทอาชีวศึกษา,กระทรวงมหาดไทย,4265,2561,1704,495,298,197,472,302,170,Vocational Education Type,Ministry of Interior
ประเภทอาชีวศึกษา,กรมส่งเสริมการปกครองท้องถิ่น,4265,2561,1704,495,298,197,472,302,170,Vocational Education Type,Department of Local Administration
ประเภทอาชีวศึกษา,กระทรวงวัฒนธรรม,112,65,47,113,78,35,111,69,42,Vocational Education Type,Ministry of Culture
ประเภทอาชีวศึกษา,วิทยาลัยช่างศิลป,112,65,47,113,78,35,111,69,42,Vocational Education Type,Colleges of Fine Arts
ประเภทอาชีวศึกษา,กระทรวงกลาโหม,2767,2542,225,2767,2542,225,2888,2663,225,Vocational Education Type,Ministry of Defence
ประเภทอาชีวศึกษา,โรงเรียนช่างฝีมือทหาร,1777,1552,225,1777,1552,225,1777,1552,225,Vocational Education Type,The Military Technical Training School
ประเภทอาชีวศึกษา,โรงเรียนแผนที่กรมแผนที่ทหาร,101,101,-,101,101,-,101,101,-,Vocational Education Type,Survey School Royal Thai Survey Depratment
ประเภทอาชีวศึกษา,โรงเรียนจ่าอากาศ,889,889,-,889,889,-,889,889,-,Vocational Education Type,The Air Force Technical Training School
ประเภทอาชีวศึกษา,โรงเรียนนาวิกเวชกิจ,-,-,-,-,-,-,121,121,-,Vocational Education Type,Naval Operational Medicine School
ประเภทสาขาวิชาอื่น,รวม,1504,406,1098,1569,433,1136,1349,269,1080,Other Types of Education,Total
ประเภทสาขาวิชาอื่น,กระทรวงสาธารณสุข,1168,168,1000,1245,186,1059,1245,186,1059,Other Types of Education,Ministry of Public Health
ประเภทสาขาวิชาอื่น,สถาบันพระบรมราชชนก,1168,168,1000,1245,186,1059,1245,186,1059,Other Types of Education,Praborommarajchanok Institute
ประเภทสาขาวิชาอื่น,กระทรวงคมนาคม,336,238,98,324,247,77,104,83,21,Other Types of Education,Ministry of Transport
ประเภทสาขาวิชาอื่น,สถาบันการบินพลเรือน,336,238,98,324,247,77,104,83,21,Other Types of Education,The Civil Aviation Training Centre
,,,,,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,,,,,
