ตาราง 3.12  นิสิต นักศึกษาระดับอุดมศึกษา (ปริญญาตรี) ในระบบโรงเรียน จำแนกตามสังกัด และเพศ ปีการศึกษา 2563 - 2565,,,,,,,,,,
Table 3.12  Higher Education Students at Undergraduate Degree Level in The Formal System by Jurisdiction and Sex: Academic Years 2020 - 2022,,,,,,,,,,
,,,,,,,,,,
สังกัด,2563 (2020)_รวมยอด (Total),2563 (2020)_ชาย (Male),2563 (2020)_หญิง (Female),2564 (2021)_รวมยอด (Total),2564 (2021)_ชาย (Male),2564 (2021)_หญิง (Female),2565 (2022)_รวมยอด (Total),2565 (2022)_ชาย (Male),2565 (2022)_หญิง (Female),Jurisdiction
รวมยอด,1546225,617732,928493,1386086,559802,826284,1551165,614389,936776,Total
กระทรวงศึกษาธิการ,9819,6361,3458,10538,6837,3701,10256,6726,3530,Ministry of Education
สำนักงานคณะกรรมการการอาชีวศึกษา (รัฐ),9819,6361,3458,10538,6837,3701,10256,6726,3530,Office of the Vocational Education Commission (Public)
ส่วนราชการอื่น ,1536406,611371,925035,1375548,552965,822583,1540909,607663,933246,Other Organizations
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,1492651,593762,898889,1331965,535210,796755,1497445,590067,907378,"Ministry of Higher Education, Science, Research and Innovation"
กระทรวงการท่องเที่ยวและกีฬา,13535,10003,3532,13336,9801,3535,12704,9275,3429,Ministry of Tourism and Sports
มหาวิทยาลัยการกีฬาแห่งชาติ,13535,10003,3532,13336,9801,3535,12704,9275,3429,Thailand National Sport University
กระทรวงวัฒนธรรม,3722,1644,2078,3530,1585,1945,3764,1672,2092,Ministry of Culture
สถาบันบัณฑิตพัฒนศิลป์,3722,1644,2078,3530,1585,1945,3764,1672,2092,Bunditpatanasilpa Institute
กระทรวงสาธารณสุข,17989,1373,16616,18031,1384,16647,18031,1384,16647,Ministry of Public Health
สถาบันพระบรมราชชนก,17989,1373,16616,18031,1384,16647,18031,1384,16647,Praborommarajchanok Institute
องค์กรในกำกับขึ้นตรงนายกรัฐมนตรี,1033,633,400,1051,721,330,1089,822,267,Organizations Under the Prime Minister
โรงเรียนนายร้อยตำรวจ,755,625,130,777,709,68,808,808,-,The Police Cadet Academy
วิทยาลัยพยาบาลตำรวจ,278,8,270,274,12,262,281,14,267,Police Nursing College
กระทรวงกลาโหม,3356,2273,1083,3242,2209,1033,3402,2393,1009,Ministry of Defence
โรงเรียนนายเรือ,373,373,-,373,373,-,373,373,-,The Royal Thai Naval Academy
โรงเรียนนายเรืออากาศ,333,333,-,333,333,-,525,525,-,The Royal Thai Air Force Academy
โรงเรียนนายร้อยพระจุลจอมเกล้า,1167,1167,-,1167,1167,-,1167,1167,-,The Chulachomklao Royal Military Academy
โรงเรียนพยาบาลกองทัพเรือ,258,-,258,240,-,240,240,-,240,The Royal Thai Navy College of Nursing
โรงเรียนพยาบาลกองทัพบก,395,17,378,397,14,383,369,15,354,The Royal Thai Army Nursing College
โรงเรียนพยาบาลทหารอากาศ,238,24,214,240,24,216,246,24,222,The Royal Thai Air Force Nursing College
วิทยาลัยแพทยศาสตร์พระมงกุฏเกล้า,592,359,233,492,298,194,482,289,193,Phramong Kutklao Hospital and College of Medicine
กระทรวงคมนาคม,2318,1582,736,2129,1502,627,2074,1433,641,Ministry of Transport
ศูนย์ฝึกพาณิชย์นาวี,870,857,13,804,784,20,763,739,24,The Merchant Marine Training Centre
สถาบันการบินพลเรือน,1448,725,723,1325,718,607,1311,694,617,The Civil Aviation Training Centre
กรุงเทพมหานคร,1802,101,1701,2264,553,1711,2400,617,1783,Bangkok
มหาวิทยาลัยนวมินทราธิราช,1802,101,1701,2264,553,1711,2400,617,1783,Navamindradhiraj University
,,,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,,,
