ตาราง 3.13  นิสิต นักศึกษาระดับอุดมศึกษา (สูงกว่าปริญญาตรี) ในสถาบันอุดมศึกษาของรัฐ และเอกชนในระบบโรงเรียน จำแนกตามสถานศึกษา และเพศ ปีการศึกษา 2563 - 2565,,,,,,,,,,
Table  3.13  Higher Education Students at Graduate Degree Level in Public and Private Institutions in The Formal School System by Institution and Sex: Academic Years 2020 - 2022,,,,,,,,,,
,,,,,,,,,,
สถานศึกษา,2563 (2020)_รวมยอด (Total),2563 (2020)_ชาย (Male),2563 (2020)_หญิง (Female),2564 (2021)_รวมยอด (Total),2564 (2021)_ชาย (Male),2564 (2021)_หญิง (Female),2565 (2022)_รวมยอด (Total),2565 (2022)_ชาย (Male),2565 (2022)_หญิง (Female),Institution
รวมยอด,138989,58203,80786,140075,60214,79861,139518,59790,79728,Total
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,138059,57636,80423,139198,59659,79539,138184,58932,79252,"Ministry of Higher Education, Science, Research and Innovation"
สถาบันอุดมศึกษาของรัฐ,112891,47401,65490,112142,48482,63660,102537,44124,58413,Public Institutions of Higher Education
มหาวิทยาลัยเทคโนโลยีราชมงคล,2445,1200,1245,3378,1597,1781,3693,1935,1758,Rajamangala Universities of technology
มหาวิทยาลัยในกำกับรัฐ,76763,33702,43061,79586,35801,43785,64356,28856,35500,Antonomous Universities
มหาวิทยาลัยรัฐจำกัดรับ,4951,2159,2792,5042,2119,2923,6041,2540,3501,Closed Public Universities
มหาวิทยาลัยรัฐไม่จำกัดรับ,14989,5466,9523,11127,4226,6901,11445,4366,7079,Open Public Universities
มหาวิทยาลัยราชภัฏ,13743,4874,8869,13009,4739,8270,17002,6427,10575,Rajabhat Universities
สถาบันอุดมศึกษาเอกชน,25168,10235,14933,27056,11177,15879,35647,14808,20839,Private Institutions of Higher Education
มหาวิทยาลัยเอกชน,20201,8225,11976,21706,8938,12768,30868,12861,18007,Private Universities
วิทยาลัยเอกชน,3473,1280,2193,3492,1389,2103,2828,1078,1750,Private Colleges
สถาบันเอกชน,1494,730,764,1858,850,1008,1951,869,1082,Private Institute
ส่วนราชการอื่น,930,567,363,877,555,322,1334,858,476,Other Organizations
กระทรวงคมนาคม,95,46,49,91,41,50,77,36,41,Ministry of Transport
สถาบันการบินพลเรือน,95,46,49,91,41,50,77,36,41,The Civil Aviation Training Centre
กระทรวงกลาโหม,176,160,16,182,166,16,51,45,6,Ministry of Defence
โรงเรียนนายเรือ,38,38,-,44,44,-,-,-,-,The Royal Thai Naval Academy
โรงเรียนเสนาธิการทหารบก,138,122,16,138,122,16,51,45,6,Command and General staff College
กระทรวงวัฒนธรรม,422,237,185,362,208,154,327,187,140,Ministry of Culture
กระทรวงการท่องเที่ยวและกีฬา,192,113,79,208,128,80,817,573,244,Ministry of Tourism and Sports
กรุงเทพมหานคร,45,11,34,34,12,22,62,17,45,Bangkok
มหาวิทยาลัยนวมินทราธิราช,45,11,34,34,12,22,62,17,45,Navamindradhiraj University
,,,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,,,
Source:  Office of the Permanent Secretary Ministry of Education,,,,,,,,,,
