ตาราง 3.14 นักเรียนพิการเรียนร่วม จำแนกตามระดับการศึกษา และประเภทความพิการ ปีการศึกษา 2562 - 2566,,,,,,,,,,,,,
Table 3.14 Students in Inclusive Schools by Level of Education and Type of Disabilities: Academic Years 2019 - 2023,,,,,,,,,,,,,
,,,,,,,,,,,,,
ปีการศึกษา,ระดับการศึกษา,รวมยอด (Total),บกพร่องทางการเห็น (Vissual impairment),บกพร่องทางการได้ยิน (Hearing impairment),บกพร่องทางสติปัญญา (Retarded children),บกพร่องทางร่างกาย/สุขภาพ (Defectively body or healthy children),บกพร่องทางการเรียนรู้ (Learning disorder children),บกพร่องทางการพูด/ภาษา (Speech impaired children),บกพร่องทางพฤติกรรม/อารมณ์ (Behavioral/emotional disorder children),ออทิสติก (Autistic),พิการซ้ำซ้อน (Mutiple-handicapped children),Academic Years,Level of education
2562,รวมยอด,406216,2264,4138,27889,8119,337083,2685,6865,7617,9556,2019,Total
2562,ก่อนประถมศึกษา,3481,80,281,746,524,419,182,186,649,414,2019,Pre-elementary education
2562,ประถมศึกษา,308017,1336,2026,18111,5214,261283,2182,5079,5245,7541,2019,Elementary education
2562,มัธยมศึกษาตอนต้น,85465,533,989,7283,1711,70828,270,1218,1283,1350,2019,Lower secondary education
2562,มัธยมศึกษาตอนปลาย,9253,315,842,1749,670,4553,51,382,440,251,2019,Upper secondary education
2563,รวมยอด,405635,1991,3925,26161,6684,340808,2610,6362,7675,9419,2020,Total
2563,ก่อนประถมศึกษา,2937,59,248,668,406,365,153,129,556,353,2020,Pre-elementary education
2563,ประถมศึกษา,309856,1211,1963,16731,4208,265956,2146,4838,5342,7461,2020,Elementary education
2563,มัธยมศึกษาตอนต้น,83618,444,929,6916,1440,69930,266,1081,1246,1366,2020,Lower secondary education
2563,มัธยมศึกษาตอนปลาย,9224,277,785,1846,630,4557,45,314,531,239,2020,Upper secondary education
2564,รวมยอด,325973,1817,4010,28047,11263,251302,2201,4667,9541,13125,2021,Total
2564,ก่อนประถมศึกษา,26457,399,710,8610,6493,257,260,145,4039,5544,2021,Pre-elementary education
2564,ประถมศึกษา,218601,905,1696,11868,3238,186118,1653,3308,3996,5819,2021,Elementary education
2564,มัธยมศึกษาตอนต้น,70598,304,863,5639,991,59328,239,868,974,1392,2021,Lower secondary education
2564,มัธยมศึกษาตอนปลาย,10255,209,738,1925,541,5553,49,339,531,370,2021,Upper secondary education
2564,ปวช,62,-,3,5,-,46,-,7,1,-,2021,Certificate in vocational education
2565,รวมยอด,379356,1750,4025,29444,11150,299522,2350,5783,11834,13498,2022,Total
2565,ก่อนประถมศึกษา,26735,364,722,8522,6013,436,349,220,4595,5514,2022,Pre-elementary education
2565,ประถมศึกษา,275369,872,1730,13276,3493,238484,1770,4335,5380,6029,2022,Elementary education
2565,มัธยมศึกษาตอนต้น,68795,315,891,5736,1188,56682,188,979,1291,1525,2022,Lower secondary education
2565,มัธยมศึกษาตอนปลาย,8457,199,682,1910,456,3920,43,249,568,430,2022,Upper secondary education
2566,รวมยอด,301235,1369,3718,25633,10091,230078,2022,4375,12078,11871,2023,Total
2566,ก่อนประถมศึกษา,26784,301,642,8486,5616,230,329,173,5598,5409,2023,Pre-elementary education
2566,ประถมศึกษา,204319,649,1564,10191,3012,175029,1455,3189,4637,4593,2023,Elementary education
2566,มัธยมศึกษาตอนต้น,60984,251,843,5066,1019,50063,200,814,1304,1424,2023,Lower secondary education
2566,มัธยมศึกษาตอนปลาย,9148,168,669,1890,444,4756,38,199,539,445,2023,Upper secondary education
,,,,,,,,,,,,,
ที่มา: สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน  กระทรวงศึกษาธิการ,,,,,,,,,,,,,
"Source: Office of the Basic Education Commission,  Ministry of Education",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,  ,,,
