ตาราง 3.15  นักเรียนด้อยโอกาส จำแนกตามระดับการศึกษา และประเภทความด้อยโอกาส ปีการศึกษา 2562 - 2566,,,,,,,,,,,,,,,,,
Table 3.15  Students with Inferior Opportunity in Schools by Level of Education and Type of Inferior Opportunity: Academic Years 2019 - 2023,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ปีการศึกษา,ระดับการศึกษา,รวมยอด (Total),เด็กถูกบังคับให้ขายแรงงาน (Labor forting students),เด็กอยู่ในธุรกิจทางเพศ (Student in sex business),เด็กถูกทอดทิ้ง (Neglected students),เด็กในสถานพินิจ (Students in confined palce),เด็กเร่รอน (Wandered students),กำพร้า (Orphan),เด็กได้รับผลกระทบจากโรคเอดส์ (Remainder from AIDS students),ชนกลุ่มน้อย (Minority students),เด็กที่ถูกทำร้ายทารุณ (To be ill increased students),เด็กยากจน (Poor students),เด็กที่มีปัญหายาเสพติด (Drug students),ทำงานรับผิดชอบตนเองและครอบครัว (Working for yourself and your family),อื่น ๆ (Others),Academic Years,Level of education
2562,รวมยอด,7250370,256,36,5408,422,534,23374,254,10500,946,7203194,540,4840,66,2019,Total
2562,ก่อนประถมศึกษา,949508,24,6,462,28,182,2756,6,1166,318,944130,120,310,-,2019,Pre-elementary education
2562,ประถมศึกษา,3985336,154,6,2264,174,252,13076,148,5484,256,3962896,140,486,-,2019,Elementary education
2562,มัธยมศึกษาตอนต้น,1740424,58,14,1752,186,84,4642,68,2484,286,1728692,206,1922,30,2019,Lower secondary education
2562,มัธยมศึกษาตอนปลาย,575102,20,10,930,34,16,2900,32,1366,86,567476,74,2122,36,2019,Upper secondary education
2563,รวมยอด,3465740,83,24,2615,228,213,9014,78,4419,246,3441773,165,1859,5023,2020,Total
2563,ก่อนประถมศึกษา,464060,7,4,199,7,48,900,5,495,46,461235,25,87,1002,2020,Pre-elementary education
2563,ประถมศึกษา,1912147,53,8,1157,106,119,5237,40,2165,96,1900112,43,188,2823,2020,Elementary education
2563,มัธยมศึกษาตอนต้น,810167,19,7,869,98,38,1778,22,1179,74,804163,70,764,1086,2020,Lower secondary education
2563,มัธยมศึกษาตอนปลาย,279366,4,5,390,17,8,1099,11,580,30,276263,27,820,112,2020,Upper secondary education
2564,รวมยอด,3490812,58,12,2415,230,140,7696,63,3454,145,3465705,136,1627,9131,2021,Total
2564,ก่อนประถมศึกษา,457118,3,2,176,4,22,514,3,331,5,454459,5,10,1584,2021,Pre-elementary education
2564,ประถมศึกษา,1885141,27,5,1118,93,81,4395,34,1712,70,1872511,47,156,4892,2021,Elementary education
2564,มัธยมศึกษาตอนต้น,840517,26,3,747,111,28,1760,20,856,44,833984,52,654,2232,2021,Lower secondary education
2564,มัธยมศึกษาตอนปลาย,306426,2,2,335,22,9,1026,5,552,25,303195,32,800,421,2021,Upper secondary education
2564,ปวช,1610,-,-,39,-,-,1,1,3,1,1556,-,7,2,2021,Certificate in vocational education
2565,รวมยอด,3634605,24,7,1972,191,92,5380,43,2907,63,3610785,91,1262,11788,2022,Total
2565,ก่อนประถมศึกษา,486767,1,-,126,2,15,347,2,269,2,484348,1,5,1649,2022,Pre-elementary education
2565,ประถมศึกษา,1911013,10,1,796,77,52,2772,21,1291,25,1899588,26,124,6230,2022,Elementary education
2565,มัธยมศึกษาตอนต้น,902418,11,5,680,87,14,1347,15,794,13,895733,39,481,3199,2022,Lower secondary education
2565,มัธยมศึกษาตอนปลาย,334407,2,1,370,25,11,914,5,553,23,331116,25,652,710,2022,Upper secondary education
2566,รวมยอด,3628307,13,9,1977,210,88,4769,35,2705,47,3603447,90,1065,13852,2023,Total
2566,ก่อนประถมศึกษา,483195,1,1,107,3,9,319,1,263,1,480758,2,5,1725,2023,Pre-elementary education
2566,ประถมศึกษา,1865276,5,1,777,89,53,2330,18,1166,20,1853466,25,125,7201,2023,Elementary education
2566,มัธยมศึกษาตอนต้น,917384,7,5,706,99,18,1332,13,712,12,910176,35,420,3849,2023,Lower secondary education
2566,มัธยมศึกษาตอนปลาย,362452,-,2,387,19,8,788,3,564,14,359047,28,515,1077,2023,Upper secondary education
,,,,,,,,,,,,,,,,,
ที่มา: สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน  กระทรวงศึกษาธิการ,,,,,,,,,,,,,,,,,
"Source:  Office of the Basic Education Commission,  Ministry of Education",,,,,,,,,,,,,,,,,
