ตาราง 3.16 นักเรียนออกกลางคัน จำแนกตามสาเหตุการออกกลางคัน ปีการศึกษา 2561 - 2565,,,,,,
Table 3.16 Students with Dropped Out in Schools by Type of Dropped Out: Academic Years 2018 - 2022,,,,,,
,,,,,,
สาเหตุการออกกลางคัน,2561 (2018),2562 (2019),2563 (2020),2564 (2021),2565 (2022),Type of dropped out
รวมยอด,9705,1466,798,802,623,Total
ฐานะยากจน,325,39,16,14,17,   Poor
มีปัญหาครอบครัว,1737,365,163,117,84,   Spit up family condition
สมรส,866,147,84,79,52,   Marriage
มีปัญหาในการปรับตัว,2227,337,127,136,147,   Maladjustment
ต้องคดี/ถูกจับ,55,9,6,3,5,   Criminal action
เจ็บป่วย/อุบัติเหตุ,167,36,11,5,6,   Sickness/Accident
อพยพตามผู้ปกครอง,2536,201,312,236,106,   Parent migration
หาเลี้ยงครอบครัว,1792,332,79,212,206,   Earning family's living
,,,,,,
ที่มา: สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน  กระทรวงศึกษาธิการ,,,,,,
"Source: Office of the Basic Education Commission,  Ministry of Education",,,,,,
