ตาราง  3.17 ผลสัมฤทธิ์ทางการเรียนระดับประถมศึกษาและมัธยมศึกษา ปีการศึกษา 2561 - 2565,,,,,,,,
Table 3.17 Learning Achievement at Elementary and Secondary Levels: Academic Years 2018 - 2022,,,,,,,,
,,,,,,,,
ชั้นเรียน,วิชา,2561 (2018)_คะแนนเฉลี่ยร้อยละ (Percentage of average scores),2562 (2019)_คะแนนเฉลี่ยร้อยละ (Percentage of average scores),2563 (2020)_คะแนนเฉลี่ยร้อยละ (Percentage of average scores),2564 (2021)_คะแนนเฉลี่ยร้อยละ (Percentage of average scores),2565 (2022)_คะแนนเฉลี่ยร้อยละ (Percentage of average scores),Grade,Subject
ประถมศึกษาปีที่ 3,ความสามารถด้านภาษา,53.18,46.46,47.46,56.14,55.86,Grade 3,Literacy
ประถมศึกษาปีที่ 3,ความสามารถด้านการคำนวณ,47.19,44.94,40.47,49.44,49.12,Grade 3,Numeracy
ประถมศึกษาปีที่ 6,ภาษาไทย,55.90,49.07,56.20,50.38,53.89,Grade 6,Thai
ประถมศึกษาปีที่ 6,คณิตศาสตร์,37.50,32.90,29.99,36.83,28.06,Grade 6,Mathematics
ประถมศึกษาปีที่ 6,ภาษาอังกฤษ,39.24,34.42,43.55,39.22,37.62,Grade 6,English
ประถมศึกษาปีที่ 6,วิทยาศาสตร์,39.93,35.55,38.78,34.31,39.34,Grade 6,Sciences
มัธยมศึกษาปีที่ 3,ภาษาไทย,54.42,55.14,54.29,51.19,52.95,Grade 9,Thai
มัธยมศึกษาปีที่ 3,คณิตศาสตร์,30.04,26.73,25.46,24.47,24.39,Grade 9,Mathematics
มัธยมศึกษาปีที่ 3,ภาษาอังกฤษ,29.45,33.25,34.38,31.11,32.05,Grade 9,English
มัธยมศึกษาปีที่ 3,วิทยาศาสตร์,36.10,30.07,29.89,31.45,33.32,Grade 9,Sciences
มัธยมศึกษาปีที่ 6,ภาษาไทย,47.31,42.21,44.36,46.40,44.09,Grade 12,Thai
มัธยมศึกษาปีที่ 6,คณิตศาสตร์,30.72,25.41,26.04,21.28,21.61,Grade 12,Mathematics
มัธยมศึกษาปีที่ 6,ภาษาอังกฤษ,31.41,29.20,29.94,25.56,23.44,Grade 12,English
มัธยมศึกษาปีที่ 6,สังคมศึกษา,35.16,35.70,35.93,36.87,33.00,Grade 12,Social Studies
มัธยมศึกษาปีที่ 6,วิทยาศาสตร์,30.51,29.20,32.68,28.65,28.08,Grade 12,Sciences
,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,
