ตาราง 3.18 อัตราการออกกลางคันของนักเรียนระดับประถมศึกษาถึงมัธยมศึกษา สังกัดสำนักงานคณะกรรมการศึกษาขั้นพื้นฐาน ปีการศึกษา 2560 - 2564,,,,,,,,
Table 3.18 Drop-Out Rates at Students of Elementary to Upper Secondary Levels Under The Office of Basic Education Commission: Academic Years 2017 - 2021,,,,,,,,
,,,,,,,,
ระดับการศึกษา,ชั้นเรียน,2560 (2017),2561 (2018),2562 (2019),2563 (2020),2564 (2021),Level of education,Grade
รวมยอด,รวมยอด,0.07,0.17,0.03,0.01,0.01,Total,Total
ประถมศึกษา,รวม,0.03,0.06,0.00,0.01,0.01,Elementary education,Total
ประถมศึกษา,ประถมศึกษาปีที่ 1,0.04,0.08,0.00,0.02,0.01,Elementary education,Grade 1
ประถมศึกษา,ประถมศึกษาปีที่ 2,0.02,0.05,0.00,0.01,0.01,Elementary education,Grade 2
ประถมศึกษา,ประถมศึกษาปีที่ 3,0.03,0.05,0.00,0.01,0.01,Elementary education,Grade 3
ประถมศึกษา,ประถมศึกษาปีที่ 4,0.02,0.05,0.00,0.01,0.00,Elementary education,Grade 4
ประถมศึกษา,ประถมศึกษาปีที่ 5,0.03,0.05,0.01,0.01,0.00,Elementary education,Grade 5
ประถมศึกษา,ประถมศึกษาปีที่ 6,0.03,0.05,0.01,0.01,0.01,Elementary education,Grade 6
มัธยมศึกษาตอนต้น,รวม,0.12,0.21,0.04,0.02,0.01,Lower secondary education,Total
มัธยมศึกษาตอนต้น,มัธยมศึกษาปีที่ 1,0.10,0.17,0.04,0.03,0.01,Lower secondary education,Grade 7
มัธยมศึกษาตอนต้น,มัธยมศึกษาปีที่ 2,0.11,0.22,0.04,0.02,0.01,Lower secondary education,Grade 8
มัธยมศึกษาตอนต้น,มัธยมศึกษาปีที่ 3,0.14,0.24,0.04,0.03,0.02,Lower secondary education,Grade 9
มัธยมศึกษาตอนปลาย,รวม,0.11,0.44,0.07,0.00,0.04,Upper secondary education,Total
มัธยมศึกษาตอนปลาย,มัธยมศึกษาปีที่ 4 ,0.15,0.44,0.09,0.00,0.05,Upper secondary education,Grade 7
มัธยมศึกษาตอนปลาย,มัธยมศึกษาปีที่ 5,0.09,0.45,0.07,0.00,0.04,Upper secondary education,Grade 8
มัธยมศึกษาตอนปลาย,มัธยมศึกษาปีที่ 6,0.08,0.44,0.05,0.00,0.03,Upper secondary education,Grade 9
,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,
