ตาราง 3.19 ตราการเลื่อนชั้น ป.2/ป.3 ป.4/ป.5 ม.1/ม.2 ม.2/ม.3 ม.4/ม.5 และ ม.5/ม.6 ปีการศึกษา 2550 - 2565,,,,,,,
"Table 3.19 Gross Promotion Rate G.2/G.3, G.4/G.5, G.7/G.8, G.8/G.9, G.10/G.11 and G.11/G.12: Academic Years 2007 - 2022",,,,,,,
,,,,,,,
ปีการศึกษา,ป.2/ป.3 (G.2/G.3),ป.4/ป.5 (G.4/G.5),ม.1/ม.2 (G.7/G.8),ม.2/ม.3 (G.8/G.9),ม.4/ม.5 (G.10/G.11),ม.5/ม.6 (G.11/G.12),Academic years
2550/2551,99.33,99.59,96.62,95.20,84.26,93.61,2007/2008
2551/2552,98.19,98.82,95.78,94.82,85.03,94.29,2008/2009
2552/2553,100.60,100.98,97.81,97.08,86.79,99.86,2009/2010
2553/2554,98.23,98.87,96.35,95.01,85.15,97.08,2010/2011
2554/2555,97.06,95.21,86.81,89.63,88.15,99.11,2011/2012
2555/2556,99.06,99.60,96.11,96.05,93.20,96.22,2012/2013
2556/2557,98.42,99.27,97.69,97.33,95.08,98.08,2013/2014
2557/2558,99.30,99.98,97.87,97.01,94.47,97.86,2014/2015
2558/2559,98.92,99.60,96.56,96.20,93.37,95.94,2015/2016
2559/2560,98.84,99.18,95.78,95.39,93.26,95.62,2016/2017
2560/2561,99.31,99.74,96.16,95.51,93.45,96.14,2017/2018
2561/2562,97.62,97.97,94.58,96.75,93.08,95.03,2018/2019
2562/2563,99.25,99.61,96.61,95.85,94.55,96.73,2019/2020
2563/2564,100.09,100.34,97.97,97.36,96.17,97.71,2020/2021
2564/2565,96.72,99.94,97.99,97.84,96.38,97.62,2021/2022
,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,
