ตาราง 3.2 สถานศึกษาในระบบโรงเรียน จำแนกตามสังกัด ในกรุงเทพมหานครและส่วนภูมิภาค ปีการศึกษา 2561 - 2565,,,,,,,,,,,
Table 3.2 Institution in The Formal School System by Jurisdiction in Bangkok and Other Provinces: Academic Years 2018 - 2022,,,,,,,,,,,
,,,,,,,,,,,
สังกัด,2561 (2018)_กทม. (Bangkok),2561 (2018)_ภูมิภาค(Other provinces),2562 (2019)_กทม. (Bangkok),2562 (2019)_ภูมิภาค(Other provinces),2563 (2020)_กทม. (Bangkok),2563 (2020)_ภูมิภาค (Other provinces),2564 (2021)_กทม.(Bangkok),2564 (2021)_ภูมิภาค(Other provinces),2565 (2022)_กทม. (Bangkok),2565 (2022)_ภูมิภาค (Other provinces),Jurisdiction
รวมยอด,1502,36854,1579,36402,1572,36234,1501,36147,1355,36169,Total
กระทรวงศึกษาธิการ,1033,34441,1062,33860,1017,33609,946,33499,798,33519,Ministry of Education
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน  (1),726,3277,804,3333,771,3342,702,3287,556,3436,Office of the Private Education Commission (1)
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,160,30245,159,29712,159,29483,159,29424,159,29290,Office of the Basic Education Commission
ประเภทสามัญศึกษา,156,30150,156,29616,156,29386,156,29327,156,29192,General education
ประเภทการศึกษาพิเศษ.,3,45,2,46,2,46,2,46,2,47,Special education
ประเภทการศึกษาสงเคราะห์,1,50,1,50,1,51,1,51,1,51,Welfare education
สำนักงานคณะกรรมการการอาชีวศึกษา,99,811,99,814,87,783,85,787,83,792,Office of Vocational Education Commission
อาชีวศึกษารัฐ,21,407,21,408,21,409,18,409,20,411,Public vocational school
อาชีวศึกษาเอกชน,78,404,78,406,66,374,67,378,63,381,Private vocational school
สำนักงานคณะกรรมการการอุดมศึกษา,48,107,-,-,-,-,-,-,-,-,Office of the Higher Education Commission
โรงเรียนสาธิต (2),-18,-72,-,-,-,-,-,-,-,-,Demonstration School (2)
สถาบันวิทยาลัยชุมชน (3),-,1 (20),-,-,-,-,-,-,-,-,Institute of Community College (3)
สถาบันอุดมศึกษาของรัฐ,38,46,-,-,-,-,-,-,-,-,Public Institutions of Higher Education
สถาบันอุดมศึกษาของเอกชน,26,45,-,-,-,-,-,-,-,-,Private Institutions of Higher Education
โรงเรียนมหิดลวิทยานุสรณ์,-,1,-,1,-,1,-,1,-,1,Mahidol Wittayanusorn School
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (4),-,-,48,107,86,170,86,170,87,155,"Ministry of Higher Education, Science, Research and Innovation (4)"
สำนักงานคณะกรรมการการอุดมศึกษา,-,-,48,107,86,170,86,170,87,155,Office of the Higher Education Commission
โรงเรียนสาธิต (2),-,-,-19,-76,22,79,22,79,23,65,Demonstration School (2)
สถาบันอุดมศึกษาของรัฐ,-,-,38,46,38,46,38,46,38,46,Public Institutions of Higher Education
สถาบันอุดมศึกษาของเอกชน,-,-,26,45,26,45,26,45,26,44,Private Institutions of Higher Education
กระทรวงมหาดไทย,-,1712,-,1733,-,1751,-,1775,-,1790,Ministry of Interior 
