ตาราง 3.20 นักเรียน นิสิต/นักศึกษาที่สำเร็จการศึกษา จำแนกตามระดับการศึกษา และเพศ ปีการศึกษา 2562 - 2564,,,,,,,,
Table 3.20 Students with Graduate in Schools by Level of Education and Sex: Academic Years 2019 - 2021,,,,,,,,
,,,,,,,,
ระดับการศึกษา,ระดับการศึกษาย่อย,เพศ,2562 (2019),2563 (2020),2564 (2021),Level of education,Sub-level of education,Sex
รวมยอด(1),รวม,รวม,1471222,1332233,1513525,Total (1),Total,Total
ประเภทสามัญศึกษา(2),รวม,รวม,904603,757386,933102,General education type(2),Total,Total
ประเภทสามัญศึกษา(2),มัธยมศึกษาตอนต้น,รวม,588405,478565,593006,General education type(2),Lower secondary education,Total
ประเภทสามัญศึกษา(2),มัธยมศึกษาตอนต้น,ชาย,277255,223065,280966,General education type(2),Lower secondary education,Male
ประเภทสามัญศึกษา(2),มัธยมศึกษาตอนต้น,หญิง,311150,255500,312040,General education type(2),Lower secondary education,Female
ประเภทสามัญศึกษา(2),มัธยมศึกษาตอนปลาย,รวม,316198,278821,340096,General education type(2),Upper secondary education,Total
ประเภทสามัญศึกษา(2),มัธยมศึกษาตอนปลาย,ชาย,118811,103301,130024,General education type(2),Upper secondary education,Male
ประเภทสามัญศึกษา(2),มัธยมศึกษาตอนปลาย,หญิง,197387,175520,210072,General education type(2),Upper secondary education,Female
ประเภทอาชีวศึกษา(3),รวม,รวม,263340,290332,294332,Vocational education type(3),Total,Total
ประเภทอาชีวศึกษา(3),ประกาศนียบัตรวิชาชีพ (ปวช.),รวม,140755,148351,158880,Vocational education type(3),Certificate in vocational education,Total
ประเภทอาชีวศึกษา(3),ประกาศนียบัตรวิชาชีพ (ปวช.),ชาย,76643,84757,90306,Vocational education type(3),Certificate in vocational education,Male
ประเภทอาชีวศึกษา(3),ประกาศนียบัตรวิชาชีพ (ปวช.),หญิง,64112,63594,68574,Vocational education type(3),Certificate in vocational education,Female
ประเภทอาชีวศึกษา(3),ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),รวม,122585,141981,135452,Vocational education type(3),Diploma in vocational education,Total
ประเภทอาชีวศึกษา(3),ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),ชาย,67975,77573,75545,Vocational education type(3),Diploma in vocational education,Male
ประเภทอาชีวศึกษา(3),ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),หญิง,54610,64408,59907,Vocational education type(3),Diploma in vocational education,Female
อุดมศึกษา,รวม,รวม,303279,284515,286091,Higher education type,Total,Total
อุดมศึกษา,ปริญญาตรี,รวม,274648,252249,256045,Higher education type,Undergraduate degree,Total
อุดมศึกษา,ปริญญาตรี,ชาย,99782,91802,93491,Higher education type,Undergraduate degree,Male
อุดมศึกษา,ปริญญาตรี,หญิง,174866,160447,162554,Higher education type,Undergraduate degree,Female
อุดมศึกษา,ประกาศนียบัตรบัณฑิต,รวม,5086,5055,4684,Higher education type,Graduate diploma,Total
อุดมศึกษา,ประกาศนียบัตรบัณฑิต,ชาย,1553,1253,1379,Higher education type,Graduate diploma,Male
อุดมศึกษา,ประกาศนียบัตรบัณฑิต,หญิง,3533,3802,3305,Higher education type,Graduate diploma,Female
อุดมศึกษา,ปริญญาโท,รวม,19957,23565,21700,Higher education type,Master degree,Total
อุดมศึกษา,ปริญญาโท,ชาย,7981,9322,8809,Higher education type,Master degree,Male
อุดมศึกษา,ปริญญาโท,หญิง,11976,14243,12891,Higher education type,Master degree,Female
อุดมศึกษา,ประกาศนียบัตรบัณฑิตชั้นสูง,รวม,339,287,344,Higher education type,Higher graduate diploma,Total
อุดมศึกษา,ประกาศนียบัตรบัณฑิตชั้นสูง,ชาย,158,108,152,Higher education type,Higher graduate diploma,Male
อุดมศึกษา,ประกาศนียบัตรบัณฑิตชั้นสูง,หญิง,181,179,192,Higher education type,Higher graduate diploma,Female
อุดมศึกษา,ปริญญาเอก,รวม,3249,3359,3318,Higher education type,Doctorate degree,Total
อุดมศึกษา,ปริญญาเอก,ชาย,1609,1614,1604,Higher education type,Doctorate degree,Male
อุดมศึกษา,ปริญญาเอก,หญิง,1640,1745,1714,Higher education type,Doctorate degree,Female
,,,,,,,,
(1) รวมสถานศึกษาของรัฐและเอกชน,,,,,,,,
(1) Including Pubilc and Private Schools,,,,,,,,
(2) ไม่รวมข้อมูลนักเรียนในสังกัดกระทรวงกลาโหม กรมส่งเสริมการปกครองท้องถิ่น และสำนักการศึกษากรุงเทพมหานคร,,,,,,,,
"(2) Excluding Schools in Ministry of Defence, Department of Local Administration, and Department of Education Bangkok Metropolitan Administration",,,,,,,,
(3) ไม่รวมข้อมูลนักเรียนในสังกัด กองบัญชาการกองทัพไทย กองทัพอากาศ สถาบันการพลศึกษา สถาบันบัณฑิตพัฒนศิลป์ และสำนักงานพระพุทธศาสนาแห่งชาติ,,,,,,,,
"(3) Excluding Department of Ministry of Defence, Office of Sports and Recreation Development, Bunditpatanasilpa Institute and The Bureau of National Buddhism data",,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,
