 ตาราง 3.3 ครูหรืออาจารย์ในระบบโรงเรียน จำแนกตามสังกัดในกรุงเทพมหานครและส่วนภูมิภาค ปีการศึกษา 2561 - 2565,,,,,,,,,,,
Table 3.3 Teachers in The Formal School System by Jurisdiction in Bangkok and Other Provinces: Academic Years 2018 - 2022,,,,,,,,,,,
,,,,,,,,,,,
สังกัด,2561 (2018)_กทม. (Bangkok),2561 (2018)_ภูมิภาค(Other provinces),2562 (2019)_กทม. (Bangkok),2562 (2019)_ภูมิภาค(Other provinces),2563 (2020)_กทม. (Bangkok),2563 (2020)_ภูมิภาค (Other provinces),2564 (2021)_กทม.(Bangkok),2564 (2021)_ภูมิภาค(Other provinces),2565 (2022)_กทม. (Bangkok),2565 (2022)_ภูมิภาค (Other provinces),Jurisdiction
รวมยอด,81808,614187,82179,674394,84869,580551,84743,549405,66799,734428,Total
กระทรวงศึกษาธิการ,65585,572554,38092,581096,40265,509757,39743,478330,28286,614890,Ministry of Education
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน (1),17297,97341,19430,89692,22405,99512,23147,83088,12834,88739,Office of the Private Education Commission (1)
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,11176,363004,14736,456140,13182,360596,13182,360596,12172,490345,Office of the Basic Education Commission
ประเภทสามัญศึกษา,11005,360577,14550,452812,12971,356122,12971,356122,11986,485765,General education
ประเภทการศึกษาพิเศษ,76,1020,78,891,70,1946,70,1946,90,2550,Special education
ประเภทการศึกษาสงเคราะห์,95,1407,108,2437,141,2528,141,2528,96,2030,Welfare education
สำนักงานคณะกรรมการการอาชีวศึกษา,5963,53847,3926,35107,4678,49495,3414,34495,3280,35727,Office of Vocational Education Commission
อาชีวศึกษารัฐ,2167,41502,1169,25851,1925,40219,1146,26098,1026,26764,Public vocational school
อาชีวศึกษาเอกชน,3796,12345,2757,9256,2753,9276,2268,8397,2254,8963,Private vocational school
สำนักงานคณะกรรมการการอุดมศึกษา,31149,58211,-,-,-,-,-,-,-,-,Office of the Higher Education Commission
โรงเรียนสาธิต,1493,1769,-,-,-,-,-,-,-,-,Demonstration School
สถาบันวิทยาลัยชุมชน (2),-,375,-,-,-,-,-,-,-,-,Institute of Community College (2)
สถาบันอุดมศึกษาของรัฐ,20287,48908,-,-,-,-,-,-,-,-,Public Institutions of Higher Education
สถาบันอุดมศึกษาของเอกชน,9369,7159,-,-,-,-,-,-,-,-,Private Institutions of Higher Education
โรงเรียนมหิดลวิทยานุสรณ์,-,151,-,157,-,154,-,151,-,79,Mahidol Wittayanusorn School
สำนักงานคณะกรรมการการอุดมศึกษา (3),-,-,28320,52935,28209,58918,28303,58922,22588,53381,"Ministry of Higher Education, Science, Research and Innovation (3)"
โรงเรียนสาธิต,-,-,1493,1769,1830,2539,1924,2543,1877,1469,Demonstration School
สถาบันอุดมศึกษาของรัฐ,-,-,19467,44243,19242,49879,19242,49879,13459,46432,Public Institutions of Higher Education
สถาบันอุดมศึกษาของเอกชน,-,-,7360,6923,7137,6500,7137,6500,7252,5480,Private Institutions of Higher Education
กระทรวงมหาดไทย,-,30527,-,29697,-,835,-,835,-,56568,Ministry of Interior 
กรมส่งเสริมการปกครองท้องถิ่น,-,29796,-,28917,-,118,-,118,-,55871,Department of Local Administration
สำนักการศึกษา เมืองพัทยา,-,731,-,780,-,717,-,717,-,697,Bureau of Pattaya Educational
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,10,13,10,15,10,7,10,7,10,7,Ministry of Social Development and Human Security:
กรมกิจการเด็กและเยาวชน,10,13,10,15,10,7,10,7,10,7,Department of Children and Youth
กรุงเทพมหานคร,14489,-,14529,-,14714,-,15024,-,14391,-,Bangkok
สำนักการศึกษา,14158,-,14088,-,14225,-,14535,-,13902,-,Department of Education
มหาวิทยาลัยนวมินทราธิราช,331,-,441,-,489,-,489,-,489,-,Navamindradhiraj University
กระทรวงสาธารณสุข,104,2268,105,2335,104,1941,104,1941,104,1941,Ministry of Public Health
สถาบันพระบรมราชชนก,104,2268,105,2335,104,1941,104,1941,104,1941,Praborommarajchanok Institute
กระทรวงคมนาคม,58,42,43,80,183,38,183,38,183,38,Ministry of Transport 
