ตาราง  3.4 นักเรียน นิสิต และนักศึกษาในระบบโรงเรียน จำแนกตามสังกัดในกรุงเทพมหานครและส่วนภูมิภาค ปีการศึกษา 2561 - 2565,,,,,,,,,,,
Table  3.4 Students in The Formal School System by Jurisdiction in Bangkok and Other Provinces: Academic Years 2018 - 2022,,,,,,,,,,,
,,,,,,,,,,,
สังกัด,2561 (2018)_กทม. (Bangkok),2561 (2018)_ภูมิภาค(Other provinces),2562 (2019)_กทม. (Bangkok),2562 (2019)_ภูมิภาค(Other provinces),2563 (2020)_กทม. (Bangkok),2563 (2020)_ภูมิภาค (Other provinces),2564 (2021)_กทม.(Bangkok),2564 (2021)_ภูมิภาค(Other provinces),2565 (2022)_กทม. (Bangkok),2565 (2022)_ภูมิภาค (Other provinces),Jurisdiction
รวมยอด,1726549,11295066,1693100,11083396,1643860,10945564,1651556,10965986,1598687,11128674,Total
กระทรวงศึกษาธิการ,1425301,10442693,724289,9168730,687323,9105310,705070,9135458,444890,9302372,Ministry of Education
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน (1),369513,1891491,353839,1872725,325750,1836443,348857,1849067,327072,1770152,Office of the Private Education Commission (1)
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,261572,6519553,256450,6396710,255874,6344871,255933,6356266,25561,6600507,Office of the Basic Education Commission
ประเภทสามัญศึกษา,259949,6474242,254935,6352294,254403,6300689,254499,6312996,23436,6558210,General education
ประเภทการศึกษาพิเศษ,338,12028,308,12120,297,11917,242,12027,930,11330,Special education
ประเภทการศึกษาสงเคราะห์,1285,33283,1207,32296,1174,32265,1192,31243,1195,30967,Welfare education
สำนักงานคณะกรรมการการอาชีวศึกษา,110341,889814,114000,898580,105699,923281,100280,929404,92257,930990,Office of Vocational Education Commission
อาชีวศึกษารัฐ,30588,656933,30490,661577,29080,666821,26905,666720,24926,664038,Public vocational school
อาชีวศึกษาเอกชน,79753,232881,83510,237003,76619,256460,73375,262684,67331,266952,Private vocational school
สำนักงานคณะกรรมการการอุดมศึกษา,683875,1141121,-,-,-,-,-,-,-,-,Office of the Higher Education Commission
โรงเรียนสาธิต,21485,35229,-,-,-,-,-,-,-,-,Demonstration School
สถาบันวิทยาลัยชุมชน (2),-,19364,-,-,-,-,-,-,-,-,Institute of Community College (2)
สถาบันอุดมศึกษาของรัฐ,472330,989000,-,-,-,-,-,-,-,-,Public Institutions of Higher Education
สถาบันอุดมศึกษาของเอกชน,190060,97528,-,-,-,-,-,-,-,-,Private Institutions of Higher Education
โรงเรียนมหิดลวิทยานุสรณ์,-,714,-,715,-,715,-,721,-,723,Mahidol Wittayanusorn School
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (3),-,-,674415,1055558,671246,979981,671246,979981,886160,902540,"Ministry of Higher Education, Science, Research and Innovation (3)"
สำนักงานคณะกรรมการการอุดมศึกษา,-,-,674415,1055558,671246,979981,671246,979981,886160,902540,Office of the Higher Education Commission
โรงเรียนสาธิต,-,-,23113,42906,24376,43896,24376,43896,23800,45932,Demonstration School
สถาบันอุดมศึกษาของรัฐ,-,-,467050,924184,467038,862558,467038,862558,680465,757375,Public Institutions of Higher Education
สถาบันอุดมศึกษาของเอกชน,-,-,184252,88468,179832,73527,179832,73527,181895,99233,Private Institutions of Higher Education
กระทรวงมหาดไทย,-,741699,-,747084,-,748956,-,742073,-,726571,Ministry of Interior 
กรมส่งเสริมการปกครองท้องถิ่น,-,725239,-,730798,-,733669,-,727874,-,712537,Department of Local Administration
สำนักการศึกษา เมืองพัทยา,-,16460,-,16286,-,15287,-,14199,-,14034,Bureau of Pattaya Educational
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,53,102,40,119,58,20,58,20,58,7,Ministry of Social Development and Human Security:
กรมกิจการเด็กและเยาวชน,53,102,40,119,58,20,58,20,58,7,Department of Children and Youth
กรุงเทพมหานคร,288352,-,282825,-,273249,-,263486,92030,255977,92030,Bangkok
สำนักการศึกษา,286719,-,281029,-,271402,-,261160,55218,253515,55218,Department of Education
มหาวิทยาลัยนวมินทราธิราช,1633,-,1796,-,1847,-,2326,36812,2462,36812,Navamindradhiraj University
กระทรวงสาธารณสุข,877,17908,704,18418,870,18287,870,18406,870,18406,Ministry of Public Health
สถาบันพระบรมราชชนก,877,17908,704,18418,870,18287,870,18406,870,18406,Praborommarajchanok Institute
กระทรวงคมนาคม,1963,857,2038,894,1879,870,1740,804,1492,763,Ministry of Transport 
กระทรวงกลาโหม,4992,2651,5171,2710,6967,3246,6863,2463,7106,2419,Ministry of Defence
กระทรวงวัฒนธรรม,3329,7419,1963,8905,864,10119,896,9439,915,8668,Ministry of Culture
สถาบันบัณฑิตพัฒนศิลป์,1181,-,1417,-,428,1059,400,1016,416,938,Bunditpatanasilpa Institute
วิทยาลัยนาฎศิลป,1529,7136,-,8663,-,8796,-,8160,-,7507,Colleges of Dramatic Arts
วิทยาลัยช่างศิลป,619,283,546,242,436,264,496,263,499,223,Colleges of Fine Arts
กระทรวงการท่องเที่ยวและกีฬา,-,19428,-,19014,-,18361,-,18208,-,17758,Ministry of Tourism and Sports
โรงเรียนกีฬา,-,4383,-,4454,-,4634,-,4664,-,4237,Sport Schools
วิทยาลัยพลศึกษา,-,15045,-,14560,-,13727,-,13544,-,13521,Physical Education Colleges
สำนักงานพระพุทธศาสนาแห่งชาติ,1420,34637,1379,34588,1126,33082,1053,31346,938,29482,National Office of Buddhism
องค์กรในกำกับขึ้นตรงนายกรัฐมนตรี,262,27672,276,27376,278,27332,274,27788,281,27658,Organizations Under the Prime Minister
กองบัญชาการตำรวจตระเวนชายแดน,-,26552,-,26417,-,26577,-,27011,-,26850,Border Patrol Police General Headquarters
โรงเรียนนายร้อยตำรวจ,-,1120,-,959,-,755,-,777,-,808,Police Cadet Academy
วิทยาลัยพยาบาลตำรวจ,262,-,276,-,278,-,274,-,281,-,Police Nursing College
,,,,,,,,,,,
(1) จำนวนโรงเรียนในประเภทสามัญศึกษาและอาชีวศึกษาของสำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชนมีการนับซ้ำ เนื่องจากมีบางโรงเรียนเปิดสอนมากกว่าหนึ่งประเภทการศึกษา  ,,,,,,       ,,,,,
(1)  There is some redundant information with the number of schools that open for both general and vocational education.,,,,,,,,,,,
(2) สถาบันวิทยาลัยชุมชนมีฐานะเป็นนิติบุคคลให้นับเป็นจำนวน 1 สถานศึกษา,,,,,,       ,,,,,
"(2)  The Community College is a juristic person, It will be considered as a institution.",,,,,,       ,,,,,
(3) ในปี 2562 ได้มีการยุบรวม สำนักงานคณะกรรมการอุดมศึกษา กระทรวงศึกษาธิการ กระทรวงวิทยาศาสตร์และเทคโนโลยีและสำนักงานคณะกรรมการวิจัยแห่งชาติ เข้าด้วยกัน และจัดตั้งเป็นกระทรวงใหม่ คือ กระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,,,,,, ,,,,,
"(3)   In 2019, there was merged Office of the Higher Education Commission, Ministry of Education, Ministry of Science and Technology and the National Research Council together and established a new ministy, namely Ministry of Higher Education, Science, Research and Innovation.",,,,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,,,,
Source:  Office of the Permanent Secretary Ministry of Education,,,,,,,,,,,
