ตาราง  3.6 นักเรียน นิสิต และนักศึกษาในระบบโรงเรียน จำแนกตามระดับการศึกษา ชั้นเรียน และประเภทการศึกษา ปีการศึกษา 2563 - 2565,,,,,,,,,,,,,,,,,
"Table  3.6 Students in The Formal School System by Level of Education, Grade and Type of Education: Academic Years 2020 - 2022",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ระดับการศึกษา,ชั้นเรียน,2563 (2020)_รวมยอด (Total),2563 (2020)_ประเภทสามัญศึกษา (General education type),2563 (2020)_ประเภทอาชีวศึกษา (Vocational education type),2563 (2020)_ประเภทสาขาวิชาอื่น (Other types of education),2563 (2020)_ปริญญาตรีและสูงกว่า (Undergraduate degree and higher),2564 (2021)_รวมยอด (Total),2564 (2021)_ประเภทสามัญศึกษา (General education type),2564 (2021)_ประเภทอาชีวศึกษา (Vocational education type),2564 (2021)_ประเภทสาขาวิชาอื่น (Other types of education),2564 (2021)_ปริญญาตรีและสูงกว่า (Undergraduate degree and higher),2565 (2022)_รวมยอด (Total),2565 (2022)_ประเภทสามัญศึกษา (General education type),2565 (2022)_ประเภทอาชีวศึกษา (Vocational education type),2565 (2022)_ประเภทสาขาวิชาอื่น (Other types of education),2565 (2022)_ปริญญาตรีและสูงกว่า (Undergraduate degree and higher),Leve of education/Gradel
รวมยอด,รวมยอด,12637313,9888529,1060398,3172,1685214,12467290,9884279,1054402,2448,1526161,12485783,9766561,1026311,2228,1690683,Total
ก่อนประถมศึกษา,ก่อนประถมศึกษา,1657428,1657428,-,-,-,1616709,1616709,-,-,-,1507912,1507912,-,-,-,Pre-elementary education
ก่อนประถมศึกษา,เตรียมอนุบาล (สช.),19503,19503,-,-,-,15882,15882,-,-,-,17737,17737,-,-,-,Pre-kindergarten (Course for private schools)
ก่อนประถมศึกษา,อนุบาล 1 (หลักสูตร 3 ปี ของ สช.),283879,283879,-,-,-,293943,293943,-,-,-,217393,217393,-,-,-,Kindergarten 1 (3 yr. course for private schools)
ก่อนประถมศึกษา,อนุบาล 2 (สช.)/อนุบาล 1,655211,655211,-,-,-,630240,630240,-,-,-,619385,619385,-,-,-,Kindergarten 2 (3 yr. course for private schools)/Kindergarten 1 (2 yr. course for public schools)
ก่อนประถมศึกษา,อนุบาล 3 (สช.)/อนุบาล 2,698793,698793,-,-,-,674763,674763,-,-,-,653279,653279,-,-,-,Kindergarten 3 (3 yr. course for private schools)/Kindergarten 2 (2 yr. course for public schools)
ก่อนประถมศึกษา,เด็กเล็ก,42,42,-,-,-,1881,1881,-,-,-,118,118,-,-,-,Pre-primary
ประถมศึกษา,ประถมศึกษา,4696270,4696270,-,-,-,4674419,4674419,-,-,-,4616041,4616041,-,-,-,Elementary education
ประถมศึกษา,ประถมศึกษาปีที่ 1,767738,767738,-,-,-,752896,752896,-,-,-,727745,727745,-,-,-,Grade 1
ประถมศึกษา,ประถมศึกษาปีที่ 2,812034,812034,-,-,-,761245,761245,-,-,-,744959,744959,-,-,-,Grade 2
