ตาราง  3.7  ห้องเรียนและนักเรียนระดับก่อนประถมศึกษาในระบบโรงเรียน จำแนกตามสังกัด ชั้นเรียน และเพศ ปีการศึกษา  2563 - 2565,,,,,,,,,,,,,,,,
"Table   3.7  Classrooms and Students at Pre-Elementary Level in The Formal School System by Jurisdiction, Grade and Sex: Academic Years 2020 - 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
สังกัด/ชั้นเรียน,2563 (2020)_ห้องเรียน (Classrooms),2563 (2020)_นักเรียนรวมยอด (Total Students),2563 (2020)_นักเรียนชาย (Male lStudents),2563 (2020)_นักเรียนหญิง (Female Students),2563 (2020)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),2564 (2021)_ห้องเรียน (Classrooms),2564 (2021)_นักเรียนรวมยอด (Total Students),2564 (2021)_นักเรียนชาย (Male lStudents),2564 (2021)_นักเรียนหญิง (Female Students),2564 (2021)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),2565 (2022)_ห้องเรียน (Classrooms),2565 (2022)_นักเรียนรวมยอด (Total Students),2565 (2022)_นักเรียนชาย (Male lStudents),2565 (2022)_นักเรียนหญิง (Female Students),2565 (2022)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),Jurisdiction/Grade
รวมยอด,97039,1657428,850166,807262,17.08,100844,1616709,830951,785758,16.03,106124,1507912,772052,735860,14.21,Total
กระทรวงศึกษาธิการ,87059,1426715,732154,694561,16.39,90903,1395535,717398,678137,15.35,95873,1298582,664805,633777,13.54,Ministry of Education
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน (1),22642,550755,279839,270916,24.32,22642,523374,265475,257899,23.12,22642,427036,213042,213994,18.86,Office of the Private Education Commission (1)
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,64417,875960,452315,423645,13.6,68261,872161,451923,420238,12.78,73231,871546,451763,419783,11.9,Office of the Basic Education Commission
ประเภทสามัญศึกษา,64271,875165,451853,423312,13.62,68099,871506,451524,419982,12.8,72972,870973,451424,419549,11.94,General education
ประเภทการศึกษาพิเศษ,119,523,318,205,4.39,131,420,271,149,3.21,131,337,207,130,2.57,Special education
ประเภทการศึกษาสงเคราะห์,27,272,144,128,10.07,31,235,128,107,7.58,128,236,132,104,1.84,Welfare education
ส่วนราชการอื่น,9980,230713,118012,112701,23.12,9941,221174,113553,107621,22.25,10251,209330,107247,102083,20.42,Other Organizations
  กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,178,10581,5485,5096,59.44,178,11190,6292,4898,62.87,178,9801,5041,4760,55.06,"Ministry of Higher Education, Science, Research and Innovation"
สำนักงานคณะกรรมการการอุดมศึกษา,178,10581,5485,5096,59.44,-,-,-,-,-,-,-,-,-,-,Office of the Higher Education Commission
กระทรวงมหาดไทย,7456,171681,87777,83904,23.03,7456,165375,84463,80912,22.18,7800,155762,79642,76120,19.97,Ministry of Interior
กรมส่งเสริมการปกครองท้องถิ่น,7326,168275,86053,82222,22.97,7326,162553,83039,79514,22.19,7689,153056,78295,74761,19.91,  Department of  Local Administration
สำนักการศึกษา เมืองพัทยา,130,3406,1724,1682,26.2,130,2822,1424,1398,21.71,118,2706,1347,1359,22.93,  Bureau of Pattaya Educational
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,1,10,-,10,10,1,10,-,10,10,1,10,-,10,10,Ministry of Social Development and Human Security
กรุงเทพมหานคร,1841,41635,21268,20367,22.62,1802,37820,19292,18528,20.99,1743,36891,18959,17932,21.17,Bangkok
สำนักงานตำรวจแห่งชาติ:  กองบัญชาการตำรวจตระเวนชายแดน,504,6806,3482,3324,13.5,504,6779,3506,3273,13.45,529,6866,3605,3261,12.98, Royal Thai Police: Border Patrol Police General Headquarters
,,,,,,,,,,,,,,,,
(1)   จำนวนนักเรียน ห้องเรียนของสำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน ไม่จำแนกประเภท (สามัญ ศึกษาทั่วไป/สามัญศึกษาการกุศล) ,,,,,,,,,,,,,,,,
"(1) Number of uncategorized students, schools (general education, general charity education) in Office of the Public Education Commission.",,,,,,,,,,,,,,,,
ที่มา:   สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,,,,,,,,,
