ตาราง 3.8 ห้องเรียนและนักเรียนระดับประถมศึกษาในระบบโรงเรียน จำแนกตามสังกัด ชั้นเรียน และเพศ ปีการศึกษา 2563 - 2565,,,,,,,,,,,,,,,,
"Table 3.8 Classrooms and Students at Elementary Level in The Formal School System by Jurisdiction, Grade and Sex: Academic Years 2020 - 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
สังกัด/ชั้นเรียน,2563 (2020)_ห้องเรียน (Classrooms),2563 (2020)_นักเรียนรวมยอด (Total Students),2563 (2020)_นักเรียนชาย (Male lStudents),2563 (2020)_นักเรียนหญิง (Female Students),2563 (2020)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),2564 (2021)_ห้องเรียน (Classrooms),2564 (2021)_นักเรียนรวมยอด (Total Students),2564 (2021)_นักเรียนชาย (Male lStudents),2564 (2021)_นักเรียนหญิง (Female Students),2564 (2021)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),2565 (2022)_ห้องเรียน (Classrooms),2565 (2022)_นักเรียนรวมยอด (Total Students),2565 (2022)_นักเรียนชาย (Male lStudents),2565 (2022)_นักเรียนหญิง (Female Students),2565 (2022)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),Jurisdiction/Grade
รวมยอด,244045,4696270,2424206,2272064,19.24,244934,4674419,2411804,2262615,19.08,244690,4616041,2380641,2235400,18.86,Total
กระทรวงศึกษาธิการ,224406,4142201,2139438,2002763,18.46,225322,4127207,2130337,1996870,18.32,224104,4080257,2105483,1974774,18.21,Ministry of Education
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน (1),36465,1079059,546502,532557,29.59,36465,1090325,552647,537678,29.90,36465,1069069,542039,527030,29.32,Office of the Private Education Commission  (1)
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,187941,3063142,1592936,1470206,16.30,188857,3036882,1577690,1459192,16.08,187639,3011188,1563444,1447744,16.05,Office of the Basic Education Commission
ประเภทสามัญศึกษา,186789,3049424,1584901,1464523,16.33,187622,3023912,1570005,1453907,16.12,186404,2998331,1555852,1442479,16.09,General education
ประเภทการศึกษาพิเศษ,672,5336,3419,1917,7.94,719,5309,3374,1935,7.38,719,5071,3249,1822,7.05,Special education
ประเภทการศึกษาสงเคราะห์,480,8382,4616,3766,17.46,516,7661,4311,3350,14.85,516,7786,4343,3443,15.09,Welfare education
ส่วนราชการอื่น,19639,554069,284768,269301,28.21,19612,547212,281467,265745,27.90,20586,535784,275158,260626,26.03,Other Organizations
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,400,22394,11588,10806,55.99,400,21257,10986,10271,53.14,400,23907,12313,11594,59.77,"Ministry of Higher Education, Science, Research and Innovation"
สำนักงานคณะกรรมการการอุดมศึกษา,400,22394,11588,10806,55.99,-,-,-,-,        -,-,-,-,-,-      ,Office of the Higher Education Commission
กระทรวงการท่องเที่ยวและกีฬา,3,31,14,17,10.33,3,30,13,17,10.00,3,23,9,14,7.67,Ministry of Tourism and Sports:
โรงเรียนกีฬา,3,31,14,17,10.33,3,30,13,17,10.00,3,23,9,14,7.67,Sport Schools
กระทรวงมหาดไทย,11489,322274,164698,157576,28.05,11489,322484,165137,157347,28.07,12353,316180,161629,154551,25.60,Ministry of Interior
กรมส่งเสริมการปกครองท้องถิ่น,11251,314689,160896,153793,27.97,11251,315466,161573,153893,28.04,12148,309310,158138,151172,25.46,Department of Local Administration
สำนักการศึกษา เมืองพัทยา,238,7585,3802,3783,31.87,238,7018,3564,3454,29.49,205,6870,3491,3379,33.51,Bureau of Pattaya Educational
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,10,55,7,48,5.50,10,55,7,48,5.50,10,43,17,26,4.30,Ministry of Social Development and Human Security
กรุงเทพมหานคร,6399,190725,98743,91982,29.81,6372,184393,95348,89045,28.94,6406,176525,91231,85294,27.56,Bangkok
สำนักงานตำรวจแห่งชาติ:  กองบัญชาการตำรวจตระเวนชายแดน,1338,18590,9718,8872,13.89,1338,18993,9976,9017,14.20,1414,19106,9959,9147,13.51,Royal Thai Police: Border Patrol Police General Headquarters
,,,,,,,,,,,,,,,,
(1)  จำนวนนักเรียน ห้องเรียนของสำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน ไม่จำแนกประเภท (สามัญ ศึกษาทั่วไป/สามัญศึกษาการกุศล) ,,,,,,,,,,,,,,,,
"(1) Number of uncategorized students, schools (general education, general charity education) in Office of the Public Education Commission.",,,,,,,,,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,,,,,,,,,
