ตาราง 3.9 ห้องเรียนและนักเรียนระดับมัธยมศึกษาตอนต้นและมัธยมศึกษาตอนปลายในระบบโรงเรียน จำแนกตามสังกัด ชั้นเรียน และเพศ ปีการศึกษา 2563 - 2565,,,,,,,,,,,,,,,,
"Table 3.9  Classrooms and Students at Lower and Upper Secondary Level  in The Formal School System by Jurisdiction, Grade and Sex: Academic Years 2020 - 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
สังกัด/ชั้นเรียน,2563 (2020)_ห้องเรียน (Classrooms),2563 (2020)_นักเรียนรวมยอด (Total Students),2563 (2020)_นักเรียนชาย (Male lStudents),2563 (2020)_นักเรียนหญิง (Female Students),2563 (2020)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),2564 (2021)_ห้องเรียน (Classrooms),2564 (2021)_นักเรียนรวมยอด (Total Students),2564 (2021)_นักเรียนชาย (Male lStudents),2564 (2021)_นักเรียนหญิง (Female Students),2564 (2021)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),2565 (2022)_ห้องเรียน (Classrooms),2565 (2022)_นักเรียนรวมยอด (Total Students),2565 (2022)_นักเรียนชาย (Male lStudents),2565 (2022)_นักเรียนหญิง (Female Students),2565 (2022)_สัดส่วนนักเรียนต่อห้องเรียน (Proportion of students per classroom),Jurisdiction/Grade
รวมยอด,144678,4209486,2071279,2138207,29.10,146308,4273470,2113294,2160176,29.21,152041,4305693,2081723,2223970,28.32,Total
ประเภทสามัญศึกษา,122184,3534831,1663268,1871563,28.93,123808,3593151,1696522,1896629,29.02,127193,3642608,1727738,1914870,28.64,General Education Type
กระทรวงศึกษาธิการ,109070,3169198,1464389,1704809,29.06,110727,3228231,1498676,1729555,29.15,113479,3274809,1529407,1745402,28.86, Ministry of Education
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน (1),16787,510705,243591,267114,30.42,16787,528391,253421,274970,31.48,16787,534767,259716,275051,31.86,Office of the Private Education Commission (1)
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,92253,2657778,1220320,1437458,28.81,93910,2699119,1244777,1454342,28.74,96662,2739319,1269225,1470094,28.34,Office of the Basic Education Commission
ประเภทสามัญศึกษา,90591,2626879,1205969,1420910,29.00,92150,2668247,1230184,1438063,28.96,94902,2708531,1254265,1454266,28.54,   General education
ประเภทการศึกษาพิเศษ,713,6299,3943,2356,8.83,811,6537,4140,2397,8.06,811,6849,4356,2493,8.45,   Special education
ประเภทการศึกษาสงเคราะห์,949,24600,10408,14192,25.92,949,24335,10453,13882,25.64,949,23939,10604,13335,25.23,   Welfare education
รร.มหิดลวิทยานุสรณ์,30,715,478,237,23.83,30,721,478,243,24.03,30,723,466,257,24.10,Mahidol Wittayanusorn School
ส่วนราชการอื่น,13114,365633,198879,166754,27.88,13081,364920,197846,167074,27.90,13714,367799,198331,169468,26.82,Other Organizations
  กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,663,35297,16278,19019,53.24,663,34284,15602,18682,51.71,663,36024,16631,19393,54.33,"   Ministry of Higher Education, Science, Research and Innovation"
สำนักงานคณะกรรมการการอุดมศึกษา,663,35297,16278,19019,53.24,-,-,-,-,-,-,-,-,-,- ,Office of the Higher Education Commission
กระทรวงการท่องเที่ยวและกีฬา,138,4603,2654,1949,33.36,138,4634,2712,1922,33.58,157,4214,2488,1726,26.84, Ministry of Tourism and Sports
โรงเรียนกีฬา,138,4603,2654,1949,33.36,138,4634,2712,1922,33.58,157,4214,2488,1726,26.84,Department of Physical Education
กระทรวงมหาดไทย,8675,247405,122889,124516,28.52,8675,250441,124479,125962,28.87,9186,254157,126319,127838,27.67, Ministry of Interior
กรมส่งเสริมการปกครองท้องถิ่น,8545,243109,120778,122331,28.45,8545,246082,122400,123682,28.80,9054,249699,124283,125416,27.58,Department of Local Administration
สำนักการศึกษา เมืองพัทยา,130,4296,2111,2185,33.05,130,4359,2079,2280,33.53,132,4458,2036,2422,33.77,Bureau of Pattaya Educational
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,2,13,4,9,6.50,2,13,4,9,6.50,2,12,9,3,6.00, Ministry of Social Development and Human Security
กรุงเทพมหานคร,1094,39042,21054,17988,35.69,1094,38947,20923,18024,35.60,1212,40099,21368,18731,33.08, Bangkok
สำนักงานตำรวจแห่งชาติ:  กองบัญชาการตำรวจตระเวนชายแดน,41,1181,525,656,28.80,41,1239,533,706,30.22,32,878,404,474,27.44,Royal Thai Police: Border Patrol Police General Headquarters
สำนักงานพระพุทธศาสนาแห่งชาติ,2381,34208,34208,-,14.37,2381,32736,32736,-,13.75,2381,30420,30420,-,12.78, National Office of Buddhism
กระทรวงวัฒนธรรม,120,3884,1267,2617,32.37,87,2626,857,1769,30.18,81,1995,692,1303,24.63, Ministry of Cuture
ประเภทอาชีวศึกษา,22446,672987,406343,266644,29.98,22476,679440,415893,263547,30.23,24824,662206,353106,309100,26.68,Vocational Education Type
กระทรวงศึกษาธิการ,22152,660846,398342,262504,29.83,22152,666426,407473,258953,30.08,24498,652829,346702,306127,26.65, Ministry of Education
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,192,3865,1818,2047,20.13,192,4037,2051,1986,21.03,296,4037,2181,1834,13.64,Office of the Basic Educatio Commission
สำนักงานคณะกรรมการการอาชีวศึกษา,21960,656981,396524,260457,29.92,21960,662389,405422,256967,30.16,24202,648814,344521,304293,26.81, Office of the Vocational Education Commission
