ตาราง 4.1 วัด พระภิกษุ และสามเณรในศาสนาพุทธ จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,
"Table  4.1  Temples, Buddhist Monks and Novices by Region and Province: 2022 - 2023",,,,,,,,,
,,,,,,,,,
ภาค,จังหวัด,2565 (2022)_วัด (Temples),2565 (2022)_พระภิกษุ (Buddhist monks),2565 (2022)_สามเณร (Novices),2566 (2023)_ วัด (Temples),2566 (2023)_ พระภิกษุ (Buddhist monks),2566 (2023)_สามเณร (Novices),Region,Province
ทั่วราชอาณาจักร,รวม,43266,253182,36810,43522,256984,33624,Whole Kingdom,Total
กรุงเทพมหานครและปริมณฑล,รวม,1309,29390,5715,1310,29040,4560,Bangkok and Vicinities,Total
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,449,14892,3428,449,12431,2959,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,127,3829,1702,127,3285,199,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,196,2900,159,196,3911,356,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,197,2970,202,198,4152,837,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,231,3123,218,231,3468,156,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,109,1676,6,109,1793,53,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,2459,16698,1483,2462,15687,1310,Central Region,Total
ภาคกลาง,พระนครศรีอยุธยา,519,4766,598,519,4139,419,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,220,1517,115,220,1468,107,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,724,4187,193,725,3779,214,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,184,1185,384,185,1313,352,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,280,1483,66,281,1502,105,Central Region,Chai Nat
ภาคกลาง,สระบุรี,532,3560,127,532,3486,113,Central Region,Saraburi
ภาคตะวันออก,รวม,2639,21956,1371,2612,21393,1357,Eastern Region,Total
ภาคตะวันออก,ชลบุรี,405,4517,281,406,5400,286,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,276,2884,283,276,2286,231,Eastern Region,Rayong
ภาคตะวันออก,จันทบุรี,383,2644,76,383,2671,64,Eastern Region,Chanthaburi
ภาคตะวันออก,ตราด,149,1137,63,150,716,79,Eastern Region,Trat
ภาคตะวันออก,ฉะเชิงเทรา,374,3673,289,374,3203,296,Eastern Region,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,419,1999,167,384,2434,244,Eastern Region,Prachin Buri
ภาคตะวันออก,นครนายก,213,1515,108,213,1573,75,Eastern Region,Nakhon Nayok
ภาคตะวันออก,สระแก้ว,420,3587,104,426,3110,82,Eastern Region,Sa Kaeo
ภาคตะวันตก,รวม,2292,19010,549,2301,18305,887,Western Region,Total
ภาคตะวันตก,ราชบุรี,451,4054,79,454,3974,135,Western Region,Ratchaburi
ภาคตะวันตก,กาญจนบุรี,599,3587,104,603,3562,366,Western Region,Kanchanaburi
ภาคตะวันตก,สุพรรณบุรี,600,4777,170,600,4982,143,Western Region,Suphan Buri
ภาคตะวันตก,สมุทรสงคราม,115,1199,13,115,1275,60,Western Region,Samut Songkhram
ภาคตะวันตก,เพชรบุรี,279,1431,78,281,2080,70,Western Region,Phetchaburi
ภาคตะวันตก,ประจวบคีรีขันธ์,248,2312,105,248,2432,113,Western Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,10128,43323,13348,10150,42274,12083,Northern Region,Total
ภาคเหนือ,เชียงใหม่,1485,5950,3872,1485,6189,3876,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,458,1323,843,458,1190,924,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,786,2158,1113,789,2266,1055,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,352,1948,72,353,1792,66,Northern Region,Uttaradit
ภาคเหนือ,แพร่,378,1191,616,378,1200,620,Northern Region,Phrae
ภาคเหนือ,น่าน,477,1118,1146,482,1097,985,Northern Region,Nan
ภาคเหนือ,พะเยา,482,1247,950,482,1275,739,Northern Region,Phayao
ภาคเหนือ,เชียงราย,1082,2302,2583,1086,1804,753,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,147,479,220,147,615,422,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,823,4464,192,823,4923,839,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,322,1764,100,323,1525,77,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,630,3592,117,630,2850,112,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,284,1581,694,284,1524,699,Northern Region,Tak
ภาคเหนือ,สุโขทัย,385,2133,113,385,2159,244,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,623,4412,253,626,3920,230,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,477,2973,79,477,3018,111,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,937,4688,385,942,4927,331,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,21781,104236,12565,22019,113393,11879,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,2203,11983,620,2215,13369,782,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,1121,5538,456,1123,7905,500,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,993,7783,577,1009,6933,455,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,1410,6018,730,1416,9194,748,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,1899,9526,1562,1929,9461,1386,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,722,2849,229,725,2828,204,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,1108,3216,212,1111,5614,457,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,407,1970,293,411,1543,355,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,476,2334,348,487,2728,312,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,525,3838,653,534,2806,306,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,1568,8650,1106,1589,8285,1039,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,1578,8738,1098,1593,9220,1393,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,764,3968,858,769,3992,750,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,698,2677,763,712,2723,673,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,1123,3344,330,1135,3990,245,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,1660,7196,609,1687,6973,455,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,979,3556,556,992,4091,483,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,1260,5960,588,1290,5822,415,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,873,3159,584,876,4000,833,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,414,1933,393,416,1916,88,Northeastern Region,Mukdahan
ภาคใต้,รวม,2658,18569,1779,2668,16892,1548,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,653,4723,426,654,3684,408,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,93,851,99,94,696,80,Southern Region,Krabi
ภาคใต้,พังงา,92,720,19,91,479,8,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,41,502,6,41,510,10,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,367,2170,260,369,2364,204,Southern Region,Surat Thani
ภาคใต้,ระนอง,44,570,56,46,484,41,Southern Region,Ranong
ภาคใต้,ชุมพร,244,1599,130,244,2045,115,Southern Region,Chumphon
ภาคใต้,สงขลา,435,3370,438,438,2840,420,Southern Region,Songkhla
ภาคใต้,สตูล,43,284,35,43,337,24,Southern Region,Satun
ภาคใต้,ตรัง,176,1288,164,178,1098,147,Southern Region,Trang
ภาคใต้,พัทลุง,252,1612,111,252,1396,48,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,86,328,7,86,375,11,Southern Region,Pattani
ภาคใต้,ยะลา,52,244,25,52,235,22,Southern Region,Yala
ภาคใต้,นราธิวาส,80,308,3,80,349,10,Southern Region,Narathiwat
,,,,,,,,,
หมายเหตุ:  ไม่รวมวัด พระภิกษุ และสามเณรในจีนนิกาย และอนัมนิกาย,,,,,,,,,
"    Note:  Excluding Temples, Buddhist monks and novices in Chinesenikaya and Anumnikaya",,,,,,,,,
      ที่มา:  สำนักงานพระพุทธศาสนาแห่งชาติ ,,,,,,,,,
  Source:  Office of National Buddhism,,,,,,,,,
