ตาราง  4.2  วัดไทยในต่างประเทศ พ.ศ. 2561 - 2565,,,,,,,,
Table  4.2  Thai Temples Abroad: 2018 - 2022,,,,,,,,
,,,,,,,,
ทวีป,ประเทศ,2561 (2018),2562 (2019),2563 (2020),2564 (2021),2565 (2022),Continent,Country
รวมยอด,,531,584,596,596,709,Total,
ทวีปเอเชีย,รวม,176,212,212,212,250,Asia,Total
ทวีปเอเชีย,ฮ่องกง,5,11,11,11,11,Asia,"Hong Kong, China"
ทวีปเอเชีย,ญี่ปุ่น,5,19,19,19,21,Asia,Japan
ทวีปเอเชีย,มาเลเซีย,93,92,92,92,98,Asia,Malaysia
ทวีปเอเชีย,เนปาล,4,4,4,4,6,Asia,Nepal
ทวีปเอเชีย,เกาหลี (ใต้),2,2,2,2,4,Asia,Korea (South)
ทวีปเอเชีย,ไต้หวัน,4,4,4,4,5,Asia,"Taiwan, China"
ทวีปเอเชีย,จีน,1,1,1,1,1,Asia,China
ทวีปเอเชีย,สิงคโปร์,16,16,16,16,17,Asia,Singapore
ทวีปเอเชีย,อินเดีย,26,37,37,37,51,Asia,India
ทวีปเอเชีย,อินโดนีเซีย,20,26,26,26,33,Asia,Indonesia
ทวีปเอเชีย,เวียดนาม,-,-,-,-,1,Asia,Vietnam
ทวีปเอเชีย,มองโกเลีย,-,-,-,-,1,Asia,Mongolia
ทวีปเอเชีย,ไซปรัส,-,-,-,-,1,Asia,Cyprus
ทวีปยุโรป,รวม,142,145,150,150,219,Europe,Total
ทวีปยุโรป,ลักเซมเบิร์ก,1,1,1,1,1,Europe,Luxembourg
ทวีปยุโรป,เดนมาร์ก,4,5,5,5,9,Europe,Denmark
ทวีปยุโรป,นอร์เวย์,8,13,13,13,19,Europe,Norway
ทวีปยุโรป,เนเธอร์แลนด์,2,3,3,3,5,Europe,Netherlands
ทวีปยุโรป,เบลเยี่ยม,4,3,3,3,4,Europe,Belgium
ทวีปยุโรป,สเปน,1,-,-,-,-,Europe,Spain
ทวีปยุโรป,สวีเดน,14,17,17,17,31,Europe,Sweden
ทวีปยุโรป,สกอตแลนด์,3,-,-,-,-,Europe,Scotland
ทวีปยุโรป,สวิตเซอร์แลนด์,4,4,4,4,5,Europe,Switzerland
ทวีปยุโรป,รัสเซีย,1,1,1,1,1,Europe,Russia
ทวีปยุโรป,เยอรมนี,51,45,45,45,71,Europe,Germany
ทวีปยุโรป,สหราชอาณาจักร,23,21,31,31,32,Europe,United Kingdom
ทวีปยุโรป,สาธารณรัฐเช็ก,-,1,2,2,2,Europe,Czech Republic
ทวีปยุโรป,โปรตุเกส,-,1,1,1,1,Europe,Portugal
ทวีปยุโรป,ฝรั่งเศส,13,13,9,9,15,Europe,France
ทวีปยุโรป,ฟินแลนด์,2,2,2,2,2,Europe,Finland
ทวีปยุโรป,สาธารณรัฐสโลวัก,-,-,1,1,1,Europe,Slovak Republic
ทวีปยุโรป,ออสเตรีย,6,6,6,6,8,Europe,Austria
ทวีปยุโรป,อิตาลี,4,5,4,4,7,Europe,Italy
ทวีปยุโรป,สาธารณรัฐไอซ์แลนด์,1,1,1,1,2,Europe,Iceland Republic
ทวีปยุโรป,ไอร์แลนด์,-,2,-,-,-,Europe,Ireland
ทวีปยุโรป,ฮังการี,-,1,1,1,1,Europe,Hungary
ทวีปยุโรป,กรีซ,-,-,-,-,1,Europe,Greece
ทวีปยุโรป,มอลตา,-,-,-,-,1,Europe,Malta
ทวีปอเมริกา,รวม,171,188,191,191,197,America,Total
ทวีปอเมริกา,สหรัฐอเมริกา,162,176,179,179,185,America,United States 
ทวีปอเมริกา,แคนาดา,9,12,11,11,11,America,Canada
ทวีปอเมริกา,อาร์เจนตินา,-,-,1,1,1,America,Argentina
ทวีปโอเชียเนีย,รวม,40,38,42,42,42,Oceania,Total
ทวีปโอเชียเนีย,ออสเตรเลีย,28,24,28,28,28,Oceania,Australia
ทวีปโอเชียเนีย,นิวซีแลนด์,11,14,13,13,13,Oceania,New Zealand
ทวีปโอเชียเนีย,หมู่เกาะโซโลมอน,1,-,1,1,1,Oceania,Solomon Islands
ทวีปแอฟริกา,รวม,2,1,1,1,1,Africa,Total
ทวีปแอฟริกา,แอฟริกาใต้,2,-,-,-,-,Africa,South Africa
ทวีปแอฟริกา,บอตสวานา,-,1,1,1,1,Africa,Botswana
,,,,,,,,
ที่มา:  สำนักงานพระพุทธศาสนาแห่งชาติ ,,,,,,,,
Source:  Office of National Buddhism,,,,,,,,
