ตาราง 4.3 การประกอบกิจกรรมทางศาสนาของประชากรอายุ 13 ปีขึ้นไป พ.ศ. 2554 2557 และ 2561,,,,,,,,
"Table 4.3 Religious Activity of Population Aged 13 Years and Over: 2011, 2014 and 2018",,,,,,,,
,,,,,,,,
ศาสนา,กิจกรรมทางศาสนา,รายการ,2554 (2011),2557 (2014),2561 (2018),Religion,Religious Activity,Item
พุทธศาสนิกชน,,,53057782,53650541,54355597,Number of buddhists,,
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,,7539173,8419012,7977656,Number of buddhists,Praying everyday,
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,เพศชาย,2765641,3026930,2751781,Number of buddhists,Praying everyday,Male
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,เพศหญิง,4773532,5392082,5225875,Number of buddhists,Praying everyday,Female
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,กลุ่มอายุ 13 - 14 (ปี),334712,408774,447623,Number of buddhists,Praying everyday,Age group 13 - 14 (year)
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,กลุ่มอายุ 15 - 24 (ปี),822635,891161,1011424,Number of buddhists,Praying everyday,Age group 15 - 24 (year)
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,กลุ่มอายุ 25 - 39 (ปี),1072282,1104192,870651,Number of buddhists,Praying everyday,Age group 25 - 39 (year)
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,กลุ่มอายุ 40 - 49 (ปี),1281164,1262506,1069107,Number of buddhists,Praying everyday,Age group 40 - 49 (year)
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,กลุ่มอายุ 50 - 59 (ปี),1486642,1571667,1539608,Number of buddhists,Praying everyday,Age group 50 - 59 (year)
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,กลุ่มอายุ 60 ปีขึ้นไป,2541738,3180711,3039243,Number of buddhists,Praying everyday,Age group 60 years and over
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,กรุงเทพมหานคร,1098288,1183769,1139339,Number of buddhists,Praying everyday,Bangkok
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,ภาคกลาง (ไม่รวม กทม),2173970,2516308,2501045,Number of buddhists,Praying everyday,Central Region (Excluding BKK.)
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,ภาคเหนือ,1507970,1739790,1495343,Number of buddhists,Praying everyday,Northern Region
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,ภาคตะวันออกเฉียงเหนือ,2070996,2135099,1987433,Number of buddhists,Praying everyday,Northeastern Region
พุทธศาสนิกชน,การสวดมนต์ทุกวัน,ภาคใต้,687950,844046,854495,Number of buddhists,Praying everyday,Southern Region
มุสลิม,,,2559744,2389757,2816972,Number of Muslim,,
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,,1413622,1231348,1571247,Number of Muslim,"Everyday, Completely 5 times",
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,เพศชาย,715493,610797,764775,Number of Muslim,"Everyday, Completely 5 times",Male
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,เพศหญิง,698129,620551,806472,Number of Muslim,"Everyday, Completely 5 times",Female
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,กลุ่มอายุ 13 - 14 (ปี),42409,34838,31089,Number of Muslim,"Everyday, Completely 5 times",Age group 13 - 14 (year)
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,กลุ่มอายุ 15 - 24 (ปี),316578,268510,252789,Number of Muslim,"Everyday, Completely 5 times",Age group 15 - 24 (year)
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,กลุ่มอายุ 25 - 39 (ปี),352546,335507,497041,Number of Muslim,"Everyday, Completely 5 times",Age group 25 - 39 (year)
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,กลุ่มอายุ 40 - 49 (ปี),265215,213580,277863,Number of Muslim,"Everyday, Completely 5 times",Age group 40 - 49 (year)
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,กลุ่มอายุ 50 - 59 (ปี),205753,175243,225109,Number of Muslim,"Everyday, Completely 5 times",Age group 50 - 59 (year)
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,กลุ่มอายุ 60 ปีขึ้นไป,231122,203672,287357,Number of Muslim,"Everyday, Completely 5 times",Age group 60 years and over
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,กรุงเทพมหานคร,186935,95501,127157,Number of Muslim,"Everyday, Completely 5 times",Bangkok
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,ภาคกลาง (ไม่รวม กทม),109602,134570,165242,Number of Muslim,"Everyday, Completely 5 times",Central Region (Excluding BKK.)
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,ภาคเหนือ,4799,1233,3249,Number of Muslim,"Everyday, Completely 5 times",Northern Region
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,ภาคตะวันออกเฉียงเหนือ,4888,3455,1369,Number of Muslim,"Everyday, Completely 5 times",Northeastern Region
มุสลิม,การทำละหมาดทุกวันครบ 5 ครั้ง,ภาคใต้,1107398,996589,1274230,Number of Muslim,"Everyday, Completely 5 times",Southern Region
คริสต์,,,409110,617492,642755,Number of christian,,
คริสต์,ไปโบสถ์ทุกสัปดาห์,,243795,340098,387776,Number of christian,Going to Church every week,
คริสต์,ไปโบสถ์ทุกสัปดาห์,เพศชาย,117725,153177,176845,Number of christian,Going to Church every week,Male
คริสต์,ไปโบสถ์ทุกสัปดาห์,เพศหญิง,126070,186921,210931,Number of christian,Going to Church every week,Female
คริสต์,ไปโบสถ์ทุกสัปดาห์,กลุ่มอายุ 13 - 14 (ปี),11628,7885,9277,Number of christian,Going to Church every week,Age group 13 - 14 (year)
คริสต์,ไปโบสถ์ทุกสัปดาห์,กลุ่มอายุ 15 - 24 (ปี),42884,40026,55717,Number of christian,Going to Church every week,Age group 15 - 24 (year)
คริสต์,ไปโบสถ์ทุกสัปดาห์,กลุ่มอายุ 25 - 39 (ปี),73387,94225,94699,Number of christian,Going to Church every week,Age group 25 - 39 (year)
คริสต์,ไปโบสถ์ทุกสัปดาห์,กลุ่มอายุ 40 - 49 (ปี),30874,74830,83653,Number of christian,Going to Church every week,Age group 40 - 49 (year)
คริสต์,ไปโบสถ์ทุกสัปดาห์,กลุ่มอายุ 50 - 59 (ปี),43842,48406,74823,Number of christian,Going to Church every week,Age group 50 - 59 (year)
คริสต์,ไปโบสถ์ทุกสัปดาห์,กลุ่มอายุ 60 ปีขึ้นไป,41180,74726,69606,Number of christian,Going to Church every week,Age group 60 years and over
คริสต์,ไปโบสถ์ทุกสัปดาห์,กรุงเทพมหานคร,46295,48269,48906,Number of christian,Going to Church every week,Bangkok
คริสต์,ไปโบสถ์ทุกสัปดาห์,ภาคกลาง (ไม่รวม กทม),30258,55124,37550,Number of christian,Going to Church every week,Central Region (Excluding BKK.)
คริสต์,ไปโบสถ์ทุกสัปดาห์,ภาคเหนือ,117850,177638,171001,Number of christian,Going to Church every week,Northern Region
คริสต์,ไปโบสถ์ทุกสัปดาห์,ภาคตะวันออกเฉียงเหนือ,35132,51682,121905,Number of christian,Going to Church every week,Northeastern Region
คริสต์,ไปโบสถ์ทุกสัปดาห์,ภาคใต้,14260,7386,8414,Number of christian,Going to Church every week,Southern Region
,,,,,,,,
"ที่มา: การสำรวจสภาวะทางสังคม วัฒนธรรม และสุขภาพจิต สำนักงานสถิติแห่งชาติ, กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม  ",,,,,,,,
"Source: The Survey on Conditions of Society, Culture and Mental Health, National Statistical Office,  Ministry of Digital of Economy and Society",,,,,,,,
