ตาราง 5.1 คะแนนเฉลี่ยสุขภาพจิตของคนไทยอายุ 15 ปีขึ้นไป จำแนกตามเพศ เขตการปกครอง กลุ่มอายุ และระดับการศึกษาที่สำเร็จ พ.ศ. 2558  2561 และ 2563     ,,,,
"Table 5.1 Average Score of Mental Health Condition of Thai People, Aged 15 Years and Over by Sex, Administration Zone, Age Group and Level of Educational Attainment: 2015, 2018 and 2020",,,,
,,,,
รายการ,2558 (2015) (1),2561 (2018) (2),2563 (2020) (3),Item
คะแนนเฉลี่ย,31.44,31.56,33.53,Average score
เพศชาย,31.79,31.58,33.80,Male
เพศหญิง,31.17,31.54,33.27,Female
เขตการปกครองในเขตเทศบาล,31.45,31.57,33.17,Administration zone (Municipal area)
เขตการปกครองนอกเขตเทศบาล,31.43,31.54,33.82,Administration zone (Non-municipal area)
กลุ่มอายุ 15 - 24 ปี,31.34,31.22,33.21,Age group 15 - 24 year
กลุ่มอายุ 25 - 59 ปี,31.50,31.60,33.43,Age group 25 - 59 year
กลุ่มอายุ 60 ปีขึ้นไป,31.32,31.71,33.76,Age group 60 years and over
ระดับการศึกษาที่สำเร็จ (ไม่เคยเรียน), -,30.13,32.49,Level of educational attainment (Not studied)
ระดับการศึกษาที่สำเร็จ (ไม่มีการศึกษา และต่ำกว่าประถม),31.04, -, -,Level of educational attainment (No education and less than elementary)
ระดับการศึกษาที่สำเร็จ (ก่อนประถมศึกษา และประถมศึกษา), -, -,33.25,Level of educational attainment (Pre-elementary education and elementary education)
ระดับการศึกษาที่สำเร็จ (ประถมศึกษา),31.12,31.28, -,Level of educational attainment (Elementary education)
ระดับการศึกษาที่สำเร็จ (มัธยมศึกษา),31.49,31.49,33.37,Level of educational attainment (Secondary education)
ระดับการศึกษาที่สำเร็จ (อุดมศึกษา),32.71,32.64, -,Level of educational attainment (Higher education)
ระดับการศึกษาที่สำเร็จ (อาชีวศึกษาและอนุปริญญา), -, -,33.63,Level of educational attainment Vocational (education and diploma)
ระดับการศึกษาที่สำเร็จ (ปริญญาตรี), -, -,34.87,Level of educational attainment (Undergraduate degree)
ระดับการศึกษาที่สำเร็จ (สูงกว่าปริญญาตรี), -, -,36.64,Level of educational attainment (Graduate degree)
,,,,
การแปลผล: คะแนนรวม  สุขภาพจิตต่ำกว่าคนทั่วไป = 0.00 - 27.00/ สุขภาพจิตเท่ากับคนทั่วไป = 27.01 - 34.00/สุขภาพจิตสูงกว่าคนทั่วไป = 34.01 - 45.00 ,,,,
Results: Score Lower than average = 0.00 - 27.00/ At average = 27.01 - 34.00/Higher than average = 34.01 - 45.00 ,,,,
(1) การสำรวจสุขภาพจิต (ความสุข) คนไทย,,,,
(1) The Mental Health Condition (Thai Happiness) Survey,,,,
(2) การสำรวจสภาวะทางสังคม วัฒนธรรม และสุขภาพจิต,,,,
"(2) The Survey on Conditions of Society, Culture and Mental Health",,,,
(3) การสำรวจสุขภาพจิต (ความสุข) ของคนในประเทศไทย,,,,
(3) The Survey on Mental Health (Happiness) of People in Thailand,,,,
ที่มา: สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,
"Source: National Statistical Office, Ministry of Digital Economy and Society",,,,
