ตาราง 5.3 ร้อยละของประชากรอายุ 6 ปีขึ้นไป จำแนกตามพฤติกรรมการบริโภคอาหาร และกลุ่มอายุ พ.ศ. 2564 ,,,,,,,,,,,,
Table 5.3 Percentage of Population Aged 6 Years and Over by Food Consumption Behaviour and Age Group: 2021,,,,,,,,,,,,
,,,,,,,,,,,,
รายการ,พฤติกรรมการบริโภคอาหาร,รวมยอด (Total),กลุ่มอายุ 6 - 14 ปี (Age group 6 - 14 year),กลุ่มอายุ 15 - 24 ปี (Age group 15 - 24 year),กลุ่มอายุ 25 - 44 ปี (Age group 25 - 44 year),กลุ่มอายุ 45 - 59 ปี (Age group 45 - 59 year),กลุ่มอายุ 60 ปีขึ้นไป (Age group 60 years and over),Item,Food consumption behaviour,,,
จำนวนประชากร (พันคน),,63878.2,6856.4,9163.6,19343.1,15484.4,13030.7,Number of population (Thousand persons),,,, 
ร้อยละ,จำนวนมื้ออาหารหลักที่รับประทานต่อวัน,100.0,100.0,100.0,100.0,100.0,100.0,Percentage,Amount of main meals consumed per day,,,
ร้อยละ,ทานมากกว่า 3 มื้อ,0.6,1.2,1.1,0.7,0.3,0.3,Percentage,More than 3 meals,,,
ร้อยละ,ทาน 3 มื้อ,89.5,95.3,88.1,87.0,89.5,91.4,Percentage,3 meals ,,,
ร้อยละ,ทาน 2 มื้อ,9.3,3.1,10.1,11.7,9.6,7.8,Percentage,2 meals,,,
ร้อยละ,ทาน 1 มื้อ,0.3,0.2,0.3,0.3,0.3,0.3,Percentage,1 meal,,,
ร้อยละ,ไม่ทราบ,0.3,0.2,0.4,0.3,0.3,0.2,Percentage,Unknown,,,
ร้อยละ,สิ่งที่คำนึงถึงเป็นอันดับแรกก่อนเลือกซื้ออาหาร,100.0,97.3,100.0,99.9,100.0,100.0,Percentage,Consideration first before choosing buy food,,,
ร้อยละ,รสชาติ,18.6,15.2,20.1,19.5,19.0,17.3,Percentage,Flavor,,,
ร้อยละ,คุณค่าทางโภชนาการ,11.1,7.8,6.5,9.5,12.2,17.1,Percentage,Nutrition,,,
ร้อยละ,ราคา,4.5,1.4,3.2,5.2,5.5,4.8,Percentage,Price,,,
ร้อยละ,ความสะอาด,16.3,8.1,12.2,17.7,19.2,18.0,Percentage,Cleanliness,,,
ร้อยละ,ความสะดวกรวดเร็ว,5.4,2.7 (r),5.8,7.1,5.5,4.1,Percentage,Convenience,,,
ร้อยละ,ความชอบ,22.3,44.0,27.9,20.1,17.4,16.4,Percentage,Liking,,,
ร้อยละ,ความอยากทาน,20.9,20.1,23.2,19.9,20.5,21.7,Percentage,Craving,,,
ร้อยละ,อื่น ๆ,0.1,--,-- (r),0.1 (r),--,0.1,Percentage,Others,,,
ร้อยละ,ไม่ทราบ,0.8,0.6,1.0,1.0,0.7,0.5,Percentage,Unknown,,,
,,,,,,,,,,,,
ที่มา: การสำรวจพฤติกรรมด้านสุขภาพของประชากร สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,
"Source: The Health Behavior of Population Survey, National Statistical Office, Ministry of Digital Economy and Society  ",,,,,,,,,,,,
