ตาราง 5.6 ร้อยละของผู้หญิงอายุ 15 - 49 ปี ที่ปัจจุบันสมรสจดทะเบียนหรืออยู่กินกับผู้ชายจำแนกตามวิธีการคุมกำเนิด พ.ศ. 2562 และ 2565 ,,,,,,,
Table 5.6 Percentage of Women Age 15 - 49 Years Currently Married or in Union who are Using (or whose partner is using) a Contraceptive Method: 2019 and 2022,,,,,,,
,,,,,,,
วิธีการคุมกำเนิด,ประเภทการคุมกำเนิด,รายการ,2562 (2019),2565 (2022),Contraception method,Types of contraception,Item
ไม่ได้คุมกำเนิด,,,27,27,No method,,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,,73,73,Contraception method (Any method),Total,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),หมันหญิง,,25.2,24.3,Contraception method (Any method),Female sterilization,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),หมันชาย,,0.3,0.2,Contraception method (Any method),Male sterilization,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),ห่วงอนามัย,,0.4,0.4,Contraception method (Any method),IUD,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),ยาฉีดคุมกำเนิด,,11.9,9.7,Contraception method (Any method),Injectables,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),ยาฝังคุมกำเนิด,,1.6,2.3,Contraception method (Any method),Implants,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),ยาเม็ดคุมกำเนิด,,29.1,31,Contraception method (Any method),Pill,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),ถุงยางอนามัยชาย,,2.1,2.7,Contraception method (Any method),Male condom,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),ยาเม็ดคุมกำเนิดฉุกเฉิน,,0.3,-,Contraception method (Any method),Emergency pill,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),นับระยะปลอดภัย,,0.7,1.2,Contraception method (Any method),Periodic abstinence,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),หลั่งนอกช่องคลอด,,0.9,0.9,Contraception method (Any method),Withdrawal,
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),อื่น ๆ (1),,0.2,0.2,Contraception method (Any method),Other (1),
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,เขตการปกครองในเขตเทศบาล,72.2,74,Contraception method (Any method),Total,Administration zone in Municipal area
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,เขตการปกครองนอกเขตเทศบาล,73.6,71.9,Contraception method (Any method),Total,Administration zone in Non-municipal area
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กรุงเทพมหานคร,74.3,73.3,Contraception method (Any method),Total,Bangkok
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,ภาคกลาง,73.5,74.1,Contraception method (Any method),Total,Central Region
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,ภาคเหนือ,74.3,78.8,Contraception method (Any method),Total,Northern Region
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,ภาคตะวันออกเฉียงเหนือ,77.8,73.8,Contraception method (Any method),Total,Northeastern Region
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,ภาคใต้,61.1,63.4,Contraception method (Any method),Total,Southern Region
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 15 - 19 (ปี),75.6,71.8,Contraception method (Any method),Total,Age group 15 - 19 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 15 - 17 (ปี),75.6,67.1,Contraception method (Any method),Total,Age group 15 - 17 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 18 - 19 (ปี),75.6,73.8,Contraception method (Any method),Total,Age group 18 - 19 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 20 - 24 (ปี),73.9,72.3,Contraception method (Any method),Total,Age group 20 - 24 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 25 - 29 (ปี),68,72.9,Contraception method (Any method),Total,Age group 25 - 29 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 30 - 34 (ปี),74.3,74.8,Contraception method (Any method),Total,Age group 30 - 34 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 35 - 39 (ปี),76.7,74.7,Contraception method (Any method),Total,Age group 35 - 39 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 40 - 44 (ปี),76.3,73.9,Contraception method (Any method),Total,Age group 40 - 44 (year)
การคุมกำเนิด (วิธีใดวิธีหนึ่ง),รวม,กลุ่มอายุ 45 - 49 (ปี),68.1,69.8,Contraception method (Any method),Total,Age group 45 - 49 (year)
,,,,,,,
(1) ถุงยางอนามัยหญิง หมวกยางสอดในช่องคลอด โฟม สารหล่อลื่น แผ่นแปะคุมกำเนิด และยาเม็ดคุมกำเนิดฉุกเฉิน,,,,,,,
"(1) Female condom, diaphragm, foam, jelly, contraceptive patch and emergency pill",,,,,,,
ที่มา: การสำรวจสถานการณ์เด็กและสตรีในประเทศไทย  สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,
"Sources: The Multiple Indicator Cluster Survey, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,
