ตาราง 5.7 การตาย จำแนกตามลำดับของกลุ่มสาเหตุการตาย 10 กลุ่มแรก (ตามบัญชี จำแนกโรคระหว่างประเทศ ฉบับแก้ไขครั้งที่ 10) พ.ศ. 2563 - 2565  ,,,,,,,
"Table 5.7 Deaths by the First 10 Leading Cause Groups of Death (According to ICD Mortality Tabulation List1, 10th Revision): 2020 - 2022  ",,,,,,,
,,,,,,,
สาเหตุการตาย,2563 (2020)_จำนวนการตาย (คน) (Number of deaths (person)),2564 (2021)_จำนวนการตาย (คน) (Number of deaths (person)),2565 (2022)_จำนวนการตาย (คน) (Number of deaths (person)),"2563 (2020)_อัตราการตายต่อประชากรแสนคน (Death rate per 100,000 population) (1)","2564 (2021)_อัตราการตายต่อประชากรแสนคน (Death rate per 100,000 population) (1)","2565 (2022)_อัตราการตายต่อประชากรแสนคน (Death rate per 100,000 population) (1)",Cause of death
โรคระบบไหลเวียนโลหิต,72922,75848,84904,111.5,116.3,130.3,Diseases of the circulatory system
มะเร็งและเนื้องอกทุกชนิด,84697,83795,83334,129.5,128.5,127.9,"Malignant neoplasms, all forms"
โรคของระบบทางเดินหายใจ,43784,43937,49068,66.9,67.4,75.3,Diseases of the respiratory system
สาเหตุตายภายนอกของการป่วยและการตาย,39247,38870,41480,60,59.6,63.7,"External cause of morbidity and mortality  other accidents, including late effect"
โรคติดเชื้อและปรสิต,34090,39773,39903,52.1,61,61.2,Certain infectious and parasitic diseases
โรคระบบประสาท,26583,28076,39019,40.6,43.1,59.9,Diseases of the nervous system
โรคของระบบสืบพันธุ์ และทางเดินปัสสาวะ,25115,26962,30323,38.4,41.3,46.5,Diseases of the genitourinary system
โรคระบบย่อยอาหาร,20303,22051,23110,31,33.8,35.5,Diseases of the digestive system
โรคของต่อมไร้ท่อ โภชนาการและเมตะบอลิซึม,18635,18786,21088,28.5,28.8,32.4,"Endocrine, nutritional and metabolic diseases"
โรคของระบบกล้ามเนื้อกระดูกและเนื้อเยื่อประสาน,3154,3417,3982,4.8,52,6.1,Diseases of the musculoskeletal system and connective tissue
,,,,,,,
(1) ประชากรกลางปี   กระทรวงสาธารณสุข ,,,,,,,
"(1) Mid-year Population, Ministry of Public Health ",,,,,,,
ที่มา: สำนักงานปลัดกระทรวงสาธารณสุข   ,,,,,,,
Source: Office of the Permanent Secretary Ministry of Public Health ,,,,,,,
