ตาราง 5.8 สถานพยาบาล ที่มีเตียงรับผู้ป่วยไว้ค้างคืน และจำนวนเตียงตามแบบการบริหาร พ.ศ. 2563 - 2565,,,,,,,,,,,
Table 5.8 Hospital and Medical Establishment with Beds by Type of Administration: 2020 - 2022,,,,,,,,,,,
,,,,,,,,,,,
ประเภทบริการ,แบบการบริหาร,กรทรวง,2563 (2020)_จำนวนสถานพยาบาล (No. of hospital),2563 (2020)_จำนวนเตียง (No. of bed),2564 (2021)_จำนวนสถานพยาบาล (No. of hospital),2564 (2021)_จำนวนเตียง (No. of bed),2565 (2023)_จำนวนสถานพยาบาล (No. of hospital),2565 (2023)_จำนวนเตียง (No. of bed),Type of Service,Type of administration,Ministry
รวมยอด,,,1356,166314,1367,167563,1385,171341,Total,,
ประเภทบริการทั่วไป,รวมยอด,,1293,155463,1305,157783,1317,161360,General services,Total,
ประเภทบริการทั่วไป,รัฐบาล,รวมยอด,971,118795,973,119865,977,121531,General services,Government,Total
ประเภทบริการทั่วไป,รัฐบาล,กระทรวงสาธารณสุข,885,101560,887,103478,890,104969,General services,Government,Ministry of Public Health
ประเภทบริการทั่วไป,รัฐบาล,กระทรวงอื่น ๆ,86,17235,86,16387,87,16562,General services,Government,Other Ministries
ประเภทบริการทั่วไป,รัฐวิสาหกิจและองค์การอิสระ,,5,1042,4,2421,3,2319,General services,State Enterprises,
ประเภทบริการทั่วไป,องค์การบริหารส่วนท้องถิ่น,,10,3249,11,3005,11,3336,General services,Local Government,
ประเภทบริการทั่วไป,เอกชน,,307,32377,317,32492,326,34174,General services,Private,
ประเภทบริการเฉพาะโรค,รวมยอด,,63,10851,62,9780,68,9981,Special services,Total,
ประเภทบริการเฉพาะโรค,รัฐบาล,รวมยอด,52,10533,52,9458,55,9459,Special services,Government,Total
ประเภทบริการเฉพาะโรค,รัฐบาล,กระทรวงสาธารณสุข,49,8997,49,9133,52,9298,Special services,Government,Ministry of Public Health
ประเภทบริการเฉพาะโรค,รัฐบาล,กระทรวงอื่น ๆ,3,1536,3,325,3,161,Special services,Government,Other Ministries
ประเภทบริการเฉพาะโรค,รัฐวิสาหกิจและองค์การอิสระ,,1,40,1,40,1,40,Special services,State Enterprises,
ประเภทบริการเฉพาะโรค,เอกชน,,10,278,9,282,12,482,Special services,Private,
,, ,,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงสาธารณสุข,,,,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Public Health,,,,,,,,,,,
