ตาราง  6.4  ผู้จำนำ จำแนกตามกลุ่มอาชีพ และทรัพย์จำนำ ปีงบประมาณ 2564 - 2566,,,,,,,,,,,
Table   6.4  Pawns by Occupation Group and Received Pawn: Fiscal Years 2021 - 2023,,,,,,,,,,,
,,,,,,,,,,,
การจำแนก,รายการ,2564 (2021) (r)_จำนวน (ราย) (Number (case)),2565 (2022)_จำนวน (ราย) (Number (case)),2566 (2023)_จำนวน (ราย) (Number (case)),2565 (2022)_อัตราการเปลี่ยนแปลง (Percent change),2566 (2023) (r)_อัตราการเปลี่ยนแปลง (Percent change),Classification,Item,,,
รวมยอด,,1102333,1154215,1187948,4.7,2.9,Total,,,, 
กลุ่มอาชีพ,รับจ้าง,945781,988411,1015640,4.5,2.8,Occupation group,Worker,,,
กลุ่มอาชีพ,พ่อบ้าน/แม่บ้าน,77909,74686,74109,-4.1,-0.8,Occupation group,House-keeper,,,
กลุ่มอาชีพ,ข้าราชการ,15269,20256,21397,32.7,5.6,Occupation group,Government official,,,
กลุ่มอาชีพ,ค้าขาย,48741,54083,54630,11.0,1.0,Occupation group,Sales worker,,,
กลุ่มอาชีพ,นิสิต/นักศึกษา,9922,10452,9490,5.3,-9.2,Occupation group,Student,,,
กลุ่มอาชีพ,พนักงานรัฐวิสาหกิจ,3290,3370,8633,2.4,156.2,Occupation group,State enterprise worker,,,
กลุ่มอาชีพ,เกษตรกร,1421,2957,4049,108.1,36.9,Occupation group,Farmer,,,
ทรัพย์จำนำ,ทอง นาก เพชร และเครื่องรูปพรรณ,1074272,1125461,1156050,4.8,2.7,Received pawn,"Gold, copper alloy and jewellery",,,
ทรัพย์จำนำ,เงินรูปพรรณ,1265,1335,1450,5.5,8.6,Received pawn,Silver accessory,,,
ทรัพย์จำนำ,นาฬิกาข้อมือ,8182,8907,9743,8.9,9.4,Received pawn,Wrist watch,,,
ทรัพย์จำนำ,เครื่องใช้ไฟฟ้า,3302,3167,3551,-4.1,12.1,Received pawn,Electronic appliance,,,
ทรัพย์จำนำ,อุปกรณ์อิเล็คทรอนิกส์ มือถือ,9217,9190,10609,-0.3,15.4,Received pawn,"Electronic device, mobile phone",,,
ทรัพย์จำนำ,เครื่องมือช่าง ปากกา กล้องถ่ายรูป ฯลฯ,5063,5174,5495,2.2,6.2,Received pawn,"Tool, pen, camera, etc.",,,
ทรัพย์จำนำ,เครื่องดนตรี,986,932,1016,-5.5,9.0,Received pawn,Musical instrument,,,
ทรัพย์จำนำ,เครื่องมือการเกษตร,46,49,34,6.5,-30.6,Received pawn,Agricultural machinery,,,
,,,,,,,,,,,
ที่มา:  สำนักงานธนานุเคราะห์  กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,,,,,,,,,,,
"Source:  Public Pawnshop Office,  Ministry of Social Development and Human Security",,,,,,,,,,,
