ตาราง  6.5  สถานประกอบการ และผู้ประกันตนตามมาตรา 33 มาตรา 39 และมาตรา 40 จำแนกตามภาค และจังหวัด พ.ศ. 2566,,,,,,,
"Table   6.5  Enterprises and Insured Persons Section 33, Section 39 and Section 40 by Region and Province: 2023",,,,,,,
,,,,,,,
ภาค,จังหวัด,สถานประกอบการ (แห่ง) (Enterprise (places)),ผู้ประกันตนมาตรา 33 (คน) (Insured person Section 33 (person)),ผู้ประกันตนมาตรา 39 (คน) (Insured person Section 39 (person)),ผู้ประกันตนมาตรา 40 (คน) (Insured person Section 40 (person)),Region,Province
ทั่วราชอาณาจักร,,520771,11890917,1797848,10958136,Whole Kingdom,
กรุงเทพมหานครและปริมณฑล,รวม,253970,6499996,820257,3107958,Bangkok and Vicinities,Total
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,160826,4124718,461299,1699962,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,27450,784268,112713,325811,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,22247,378046,75655,311904,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,20413,472407,98109,341129,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,10351,261360,35365,258834,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,12683,479197,37116,170318,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,93475,2807269,333320,3090845,Central Region,Total
ภาคกลาง,พระนครศรีอยุธยา,7029,314466,34720,229130,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,1274,14490,5131,84141,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,2783,80425,12474,210010,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,1058,19873,4059,61792,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,1115,17736,4450,28010,Central Region,Chai Nat
ภาคกลาง,สระบุรี,5074,168876,19079,161881,Central Region,Saraburi
ภาคกลาง,ชลบุรี,27075,811526,87478,542839,Central Region,Chon Buri
ภาคกลาง,ระยอง,10794,480699,37226,197831,Central Region,Rayong
ภาคกลาง,จันทบุรี,3591,35717,11173,40394,Central Region,Chanthaburi
ภาคกลาง,ตราด,1374,15500,3514,28360,Central Region,Trat 
ภาคกลาง,ฉะเชิงเทรา,5741,251653,23288,209969,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,3099,148113,11297,122340,Central Region,Prachin Buri
ภาคกลาง,นครนายก,1362,25611,5060,68633,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,1616,23044,6756,50021,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,5020,126336,19728,226391,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,3367,73545,11668,241734,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,3932,51359,13458,240824,Central Region,Suphan Buri
ภาคกลาง,สมุทรสงคราม,1548,21256,4732,54457,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,2821,65972,7695,129105,Central Region,Phetchaburi
ภาคกลาง,ประจวบคีรีขันธ์,3802,61072,10334,162983,Central Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,60796,810572,276158,1268374,Central Region,Total
ภาคเหนือ,เชียงใหม่,20099,243408,114554,104772,Central Region,Chiang Mai
ภาคเหนือ,ลำพูน,3343,82280,19596,50152,Central Region,Lamphun
ภาคเหนือ,ลำปาง,3347,47560,14803,65012,Central Region,Lampang
ภาคเหนือ,อุตรดิตถ์,1600,19829,6494,45160,Central Region,Uttaradit
ภาคเหนือ,แพร่,1834,18011,6857,46197,Central Region,Phrae
ภาคเหนือ,น่าน,1784,16819,6998,38633,Central Region,Nan
ภาคเหนือ,พะเยา,1742,18115,7537,62678,Central Region,Phayao
ภาคเหนือ,เชียงราย,6922,73405,29721,60949,Central Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,954,7940,2324,20887,Central Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,3869,58345,14625,75259,Central Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,918,11700,3596,31587,Central Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,2297,32675,6984,50035,Central Region,Kamphaeng Phet
ภาคเหนือ,ตาก,2492,35267,5582,151503,Central Region,Tak   
ภาคเหนือ,สุโขทัย,1596,18532,6496,41142,Central Region,Sukhothai
ภาคเหนือ,พิษณุโลก,3717,63830,13410,72064,Central Region,Phitsanulok
ภาคเหนือ,พิจิตร,1700,20751,7150,52194,Central Region,Phichit
ภาคเหนือ,เพชรบูรณ์,2582,42105,9431,300150,Central Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,56295,943520,214044,1725416,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,10270,256869,44230,727507,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,2938,47380,11523,67030,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,2841,43043,12031,71514,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,2419,33856,10692,71170,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,4523,75584,15897,67720,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,1115,14899,4267,37254,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,2227,31784,8589,63941,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,856,9550,3313,34427,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,741,9863,3347,26341,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,957,15518,4013,30624,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,6946,136560,22692,87954,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,4690,65123,15235,83502,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,1808,23689,6614,47614,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,1673,17464,5795,31609,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,2102,32024,8092,40402,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,2908,37484,9684,52449,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,1782,27032,6711,50890,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,2629,34074,11963,60026,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,1495,16663,5511,35292,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,1375,15061,3845,38150,Northeastern Region,Mukdahan
ภาคใต้,รวม,56235,829560,154069,1765543,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,4808,69191,20137,99334,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,3297,46298,6591,42076,Southern Region,Krabi
ภาคใต้,พังงา,1504,24039,4397,32115,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,13084,161540,30980,45363,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,8821,124679,17451,72186,Southern Region,Surat Thani
ภาคใต้,ระนอง,2247,25654,2294,21945,Southern Region,Ranong
ภาคใต้,ชุมพร,2302,35481,7597,38286,Southern Region,Chumphon
ภาคใต้,สงขลา,9745,193094,33880,502391,Southern Region,Songkhla
ภาคใต้,สตูล,958,13881,3266,31911,Southern Region,Satun
ภาคใต้,ตรัง,2844,43883,8050,49990,Southern Region,Trang
ภาคใต้,พัทลุง,1627,20039,7298,53566,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,1739,24708,4484,261972,Southern Region,Pattani
ภาคใต้,ยะลา,1646,24857,3904,213131,Southern Region,Yala
ภาคใต้,นราธิวาส,1613,22216,3740,301277,Southern Region,Narathiwat
,,,,,,,
ที่มา:  สำนักงานประกันสังคม  กระทรวงแรงงาน  ,,,,,,,
"Source:  Social Security Office,  Ministry of Labour",,,,,,,
