"ตาราง  6.6  การประสบอันตรายหรือเจ็บป่วยเนื่องจากการทำงานต่อลูกจ้าง 1,000 คน จำแนกตามความรุนแรง ภาค และจังหวัด พ.ศ. 2565",,,,,,,,,,,,,
"Table   6.6  Occupational Injuries or Diseases per 1,000 Employees by Severity, Region and Province: 2022",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,                                               ,,,,,(ราย  Case)
ภาค,จังหวัด,"จำนวนลูกจ้างในข่ายกองทุนเงินทดแทน (ณ 31 ธ.ค. 2565) (Number of employees  covered by Workmen's Compensation Fund (As of Demcember 31, 2022))",ความรุนแรง  (Severity)_ตาย (Death),ความรุนแรง  (Severity)_ทุพพลภาพ (Invalidity),ความรุนแรง (Severity)_สูญเสียอวัยวะบางส่วน (Lost of organs),ความรุนแรง  (Severity)_หยุดงานเกิน 3 วัน (> 3 Days off work),ความรุนแรง  (Severity)_หยุดงานไม่เกิน 3 วัน (≤ 3 Days off work),การประสบอันตราย (Occupational injuries)_นับทุกกรณี (All case),การประสบอันตราย (Occupational injuries)_นับกรณีร้ายแรง (Loss case),"อัตราการประสบอันตรายต่อลูกจ้าง 1,000 ราย (Rate of occupational injuries per 1,000 employees)_นับทุกกรณี (All case)","อัตราการประสบอันตรายต่อลูกจ้าง 1,000 ราย (Rate of occupational injuries per 1,000 employees)_นับกรณีร้ายแรง (Loss case)",Region,Province
ทั่วราชอาณาจักร,,11678470,594,16,871,23631,51366,76478,25112,6.55,2.15,Whole Kingdom,
กรุงเทพมหานคร และปริมณฑล,รวม,6336486,207,5,517,12384,29749,42862,13113,6.76,2.07,Bangkok and Vicinities,Total
กรุงเทพมหานคร และปริมณฑล,กรุงเทพมหานคร,3997634,113,3,122,5665,13666,19569,5903,4.90,1.48,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานคร และปริมณฑล,สมุทรปราการ,771867,37,-,121,2410,6466,9034,2568,11.70,3.33,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานคร และปริมณฑล,นนทบุรี,365917,6,-,43,660,1727,2436,709,6.66,1.94,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานคร และปริมณฑล,ปทุมธานี,463070,31,1,26,1106,2714,3878,1164,8.37,2.51,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานคร และปริมณฑล,นครปฐม,255650,8,1,47,447,1741,2244,503,8.78,1.97,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานคร และปริมณฑล,สมุทรสาคร,482348,12,-,158,2096,3435,5701,2266,11.82,4.70,Bangkok and Vicinities,Samut Sakhon
