ตาราง  6.7  การใช้บริการของผู้ประกันตนมาตรา 33 และมาตรา 39 แต่ละกรณี จำแนกตามภาค และจังหวัด พ.ศ. 2565,,,,,,,,,,,
Table   6.7  Utilization of Insured Person Section 33 and Section 39 for Each Benefit by Region and Province: 2022,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,(ราย  Case)
ภาค,จังหวัด,เจ็บป่วย (Sickness) (1),คลอดบุตร (Maternity) (2),ทุพพลภาพ (Invalidity) (3),ตาย (Death) (3),สงเคราะห์บุตร (Child allowance) (4),บำเหน็จ (Lump sum) (5),บำนาญ (Pension) (6),ว่างงาน (Unemployment) (7),Region,Province
ทั่วราชอาณาจักร,,42042456,237799,19134,34648,1292868,247795,513639,196926,Whole Kingdom,
กรุงเทพมหานครและปริมณฑล,รวม,39863111,69314,5417,11930,394424,64366,231730,87544,Bangkok and Vicinities,Total
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,39073908,30708,2801,6022,189626,34160,128374,54341,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,258916,11271,776,1963,65721,9037,39330,10112,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,154008,6383,427,1103,33394,6032,17644,5747,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,170028,8480,743,1459,48306,7640,22201,9198,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,93807,3919,390,687,21241,3789,10366,3769,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,112444,8553,280,696,36136,3708,13815,4377,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,955175,56431,4302,7609,316651,55003,111971,47710,Central Region,Total
ภาคกลาง,พระนครศรีอยุธยา,106122,4052,439,667,25218,4133,11126,8906,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,12303,833,119,177,5200,1374,3121,375,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,45986,2784,332,415,14915,4155,6770,1389,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,10403,680,55,129,4220,1199,2368,467,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,6915,596,61,175,3645,1271,2005,592,Central Region,Chai Nat
ภาคกลาง,สระบุรี,58887,3382,492,592,19899,3889,12516,2966,Central Region,Saraburi
ภาคกลาง,ชลบุรี,272396,12524,514,1406,73336,8601,19697,9446,Central Region,Chon Buri
ภาคกลาง,ระยอง,116056,7737,245,760,45237,5280,8619,7364,Central Region,Rayong
ภาคกลาง,จันทบุรี,14167,1253,95,190,6451,1387,2167,619,Central Region,Chanthaburi
ภาคกลาง,ตราด,7307,573,25,84,2808,513,738,341,Central Region,Trat 
ภาคกลาง,ฉะเชิงเทรา,75072,4660,306,589,26419,3155,7980,3318,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,45281,3167,227,354,17440,2669,5253,2417,Central Region,Prachin Buri
ภาคกลาง,นครนายก,16818,1129,120,192,5830,1310,2224,494,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,11895,1649,147,245,8543,2159,2023,795,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,42547,3006,331,466,15839,3329,7440,1773,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,25099,2250,240,327,10674,3345,4120,1825,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,30960,2191,267,327,11327,2407,4415,1520,Central Region,Suphan Buri
ภาคกลาง,สมุทรสงคราม,11993,715,72,104,3737,861,2565,374,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,19431,1530,114,199,7416,1687,3202,1370,Central Region,Phetchaburi
ภาคกลาง,ประจวบคีรีขันธ์,25537,1720,101,211,8497,2279,3622,1359,Central Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,476832,28806,3348,5133,155063,39550,59020,20085,Northern Region,Total
ภาคเหนือ,เชียงใหม่,125953,5683,514,1084,30403,6005,10650,5198,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,36002,2018,202,304,11957,2052,3884,2248,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,41468,1578,208,390,9803,3062,5957,1442,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,15814,1003,143,180,5401,1672,2827,404,Northern Region,Uttaradit
ภาคเหนือ,แพร่,16289,908,166,208,5180,1982,2447,478,Northern Region,Phrae
ภาคเหนือ,น่าน,20212,989,122,160,5406,1730,2465,535,Northern Region,Nan
ภาคเหนือ,พะเยา,15640,987,147,177,5813,1687,1859,655,Northern Region,Phayao
ภาคเหนือ,เชียงราย,33851,2864,268,465,14712,2795,4295,1947,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,3342,466,29,49,2356,370,387,211,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,32930,2580,300,431,12801,3125,5533,1445,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,7679,600,68,119,3127,939,1301,302,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,17444,1391,204,271,7214,2378,2269,772,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,15377,1432,145,162,6525,1455,1955,579,Northern Region,Tak   
ภาคเหนือ,สุโขทัย,13943,1014,165,196,5842,2071,2260,518,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,40340,2215,321,355,12676,3516,5354,1600,Northern Region,Phitsanulok
ภาคเหนือ,พิจิต,18692,1217,141,241,6263,2172,2649,620,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,21856,1861,205,341,9584,2539,2928,1131,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,442045,54688,4786,7595,269498,69290,71405,24616,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,106173,8274,840,1091,44494,9603,15875,7388,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,18014,4094,265,545,18208,4610,4020,1045,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,2826,874,63,94,2901,1307,688,335,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,24330,3676,376,200,19286,3670,3678,1112,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,18365,3207,288,464,14773,3627,2979,622,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,22133,5032,331,563,25504,4876,4916,1584,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,9080,1221,110,211,5944,1625,1453,423,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,16099,1990,217,383,10350,3505,3451,591,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,7797,1004,101,132,5152,1220,846,231,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,9219,1153,90,180,5987,2160,1146,599,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,55820,6093,421,828,27479,7840,10085,3072,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,40168,3355,440,477,14175,5513,4898,1697,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,9717,1355,98,166,7376,2295,1870,588,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,9478,1127,89,472,5358,1908,1478,620,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,16921,2140,205,294,11204,2689,2707,1365,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,33356,2816,282,430,13922,3214,2968,905,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,15968,1904,132,298,10014,2717,2616,555,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,16013,3084,239,438,15815,3841,3424,868,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,6120,1292,118,202,6188,1706,1267,459,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,4448,997,81,127,5368,1364,1040,557,Northeastern Region,Mukdahan
ภาคใต้,รวม,305293,28560,1281,2381,157232,19586,39513,16971,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,31449,3570,207,379,19918,3359,5138,1599,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,12550,1444,36,103,8348,1006,1409,883,Southern Region,Krabi
ภาคใต้,พังงา,11224,631,49,64,3702,680,956,707,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,65373,2504,118,295,15898,2122,5610,3053,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,31487,3251,128,263,17696,2475,4556,2125,Southern Region,Surat Thani
ภาคใต้,ระนอง,5895,658,29,69,2806,505,687,333,Southern Region,Ranong
ภาคใต้,ชุมพร,11212,1212,43,138,5742,1227,2221,821,Southern Region,Chumphon
ภาคใต้,สงขลา,79474,5722,343,494,32398,3702,10367,4021,Southern Region,Songkhla
ภาคใต้,สตูล,6885,819,29,55,4933,430,650,359,Southern Region,Satun
ภาคใต้,ตรัง,13025,1553,85,139,8754,1292,2533,960,Southern Region,Trang
ภาคใต้,พัทลุง,10683,1036,76,100,6362,1085,1615,583,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,7012,2084,56,92,10733,643,1236,551,Southern Region,Pattani
ภาคใต้,ยะลา,9622,2043,40,108,9935,605,1463,491,Southern Region,Yala
ภาคใต้,นราธิวาส,9402,2033,42,82,10007,455,1072,485,Southern Region,Narathiwat
,,,,,,,,,,,
(1) กรณีเจ็บป่วย คือ จำนวนครั้งที่ผู้ประกันตนมาใช้บริการ ซึ่งผู้ประกันตน 1 คน อาจใช้บริการมากกว่า 1 ครั้ง รวมข้อมูลผู้ใช้บริการกรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน คนไข้นอก คนไข้ใน แพทย์พิเศษ อุปกรณ์ ทันตกรรม ปลูกถ่ายเซลล์ต้นกำเนิด เม็ดโลหิต เอดส์ ไตวายเรื้อรังฟอกเลือด ไตวายเรื้อรังล้างช่องท้อง ปลูกถ่ายไต กระจกตา ยา Erythropoietin เจ็บป่วยฉุกเฉินวิกฤต (UCEP)  เม็ดโลหิต เอดส์ ไตวายเรื้อรังฟอกเลือด ไตวายเรื้อรังล้างช่องท้อง ปลูกถ่ายไต กระจกตา ยา Erythropoietin เจ็บป่วยฉุกเฉินวิกฤต (UCEP) ปลูกถ่ายอวัยวะ 5 รายการ บริการสาธารณสุขคนพิการ ส่งเสริมสุขภาพและป้องกันโรค เงินช่วยเหลือเบื้องต้น ส่งเสริมสุขภาพหญิงตั้งครรภ์  และเงินทดแทนการขาดรายได้,,,,,,,,,,,
"(1) Sickness counted on the number of service utilization including services for out-patient, in-patient, emergency, accidents, special medical instruments and implant materials dental care, bone marrow transplantation, AIDS, hemodialysis, chronic peritoneal dialysis kidney transplantation, erythropoietin treatment, corneal transplantation, Universal Coverage for Emergency Patients (UCEP), listed organ transplantation, public health services for the disabled, promoting health and disease prevention, Recompense for losses from medical services and treatment, promoting the health of pregnant women and cash benefits.",,,,,,,,,,,
(2) กรณีคลอดบุตร คือ จำนวนครั้งการจ่ายประโยชน์ทดแทนกรณีค่าคลอดบุตร,,,,,,,,,,,
(2) Maternity counted on the number of compensation payments in the case of maternity benefits.,,,,,,,,,,,
(3) กรณีทุพพลภาพ คือ จำนวนครั้งการจ่ายประโยชน์ทดแทนกรณีทุพพลภาพในแต่ละเดือน,,,,,,,,,,,
(3) Invalidity counted on the number of compensation payments in the case of disability in each month.,,,,,,,,,,,
(4) กรณีตาย คือ จำนวนคนที่มารับค่าทำศพ,,,,,,,,,,,
(4) Death counted on the number of claims on funeral allowance.,,,,,,,,,,,
(5) กรณีสงเคราะห์บุตร คือ จำนวนบุตรของผู้ประกันตนที่เบิกเงินสงเคราะห์บุตร ซึ่งเป็นจำนวนที่นับสะสม เนื่องจากผู้มีสิทธิบางรายยังคงได้รับประโยชน์ทดแทนในปัจจุบัน โดยบุตรแต่ละคนจะได้รับสิทธิต่อเนื่องจนอายุครบ 6 ปี,,,,,,,,,,,
(5) Child allowance counted on the number of children and the benefit will be paid until children turn 6 years old.,,,,,,,,,,,
(6) กรณีชราภาพ คือ จำนวนผู้รับบำเหน็จและบำนาญ,,,,,,,,,,,
(6) Old age benefit counted on the number of pensioners and persons who received lump sum.,,,,,,,,,,,
(7) กรณีว่างงาน คือ จำนวนผู้ประกันตนที่มารายงานตัวและรับเงินทดแทนการขาดรายได้ในแต่ละเดือน (เฉพาะผู้ประกันตนมาตรา 33) ซึ่งเป็นจำนวนที่นับสะสม  เนื่องจากผู้มีสิทธิบางราย ยังคงได้รับประโยชน์ทดแทนในปัจจุบัน,,,,,,,,,,,
(7) Unemployment counted on the number of insured persons only under section 33 who registered and claimed for unemployment benefit.,,,,,,,,,,,
ที่มา:   สำนักงานประกันสังคม  กระทรวงแรงงาน  ,,,,,,,,,,,
"Source:   Social Security Office,  Ministry of Labour",,,,,,,,,,,
