ตาราง  6.8  ผู้สูงอายุที่ได้รับเงินตามกองทุนผู้สูงอายุ จำแนกตามภาค และจังหวัด ปีงบประมาณ 2565 - 2566,,,,,,,
Table   6.8  Elderly Receiving Money from the Older Fund by Region and Province: Fiscal Years 2022 - 2023,,,,,,,
,,,,,,,
ภาค,จังหวัด,2565 (2022)_ผู้ได้รับอนุมัติ (ราย) (Number (Person)),2565  (2022)_เงินอนุมัติ (บาท) (Amount (Baht)),2566  (2023)_ผู้ได้รับอนุมัติ (ราย) (Number (Person)),2566  (2023)_เงินอนุมัติ (บาท) (Amount (Baht)),Region,Province
ทั่วราชอาณาจักร,,5858,169461919,6057,174357000,Whole Kingdom,
กรุงเทพมหานคร,,513,14520763,692,20279801,Bangkok ,
ภาคกลาง,รวม,1210,34199131,1371,38332455,Central Region,Total
ภาคกลาง,สมุทรปราการ,59,1515000,37,957000,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี,31,925000,65,1924560,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,36,1014430,64,1805695,Central Region,Pathum Thani
ภาคกลาง,นครปฐม,30,659000,49,1315160,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,29,860000,48,1425000,Central Region,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,18,421000,19,400000,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,71,1910000,53,1351000,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,83,2470000,58,1725000,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,62,1781532,40,1148105,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,92,2710000,66,1755000,Central Region,Chai Nat
ภาคกลาง,สระบุรี,37,869000,75,1735500,Central Region,Saraburi
ภาคกลาง,ชลบุรี,43,1264769,39,1166935,Central Region,Chon Buri
ภาคกลาง,ระยอง,44,1273000,75,2176000,Central Region,Rayong
ภาคกลาง,จันทบุรี,39,1151680,69,2020000,Central Region,Chanthaburi
ภาคกลาง,ตราด,41,1230000,52,1535000,Central Region,Trat 
ภาคกลาง,ฉะเชิงเทรา,98,2924000,54,1615000,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,49,1214000,67,1532000,Central Region,Prachin Buri
ภาคกลาง,นครนายก,28,840000,104,3120000,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,59,1770000,65,1950000,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,32,885800,31,815500,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,58,1457000,54,1315000,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,102,3045000,71,2110000,Central Region,Suphan Buri
ภาคกลาง,สมุทรสงคราม,13,385000,13,360000,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,10,249920,43,1275000,Central Region,Phetchaburi
ภาคกลาง,ประจวบคีรีขันธ์,46,1374000,60,1800000,Central Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,1683,49275912,1556,44630444,Northern Region,Total
ภาคเหนือ,เชียงใหม่,198,5725693,105,3117980,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,69,2043520,61,1751000,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,115,3450000,90,2700000,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,69,2006000,101,2923000,Northern Region,Uttaradit
ภาคเหนือ,แพร่,87,2560000,118,3450000,Northern Region,Phrae
ภาคเหนือ,น่าน,108,3239250,79,2370000,Northern Region,Nan
ภาคเหนือ,พะเยา,103,3090000,62,1860000,Northern Region,Phayao
ภาคเหนือ,เชียงราย,112,3360000,56,1680000,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,56,1655000,62,1820000,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,80,2380000,108,3155000,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,49,1277000,49,1280000,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,47,1310000,62,1530000,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,104,3120000,127,3810000,Northern Region,Tak   
ภาคเหนือ,สุโขทัย,64,1910000,63,1880000,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,106,3085000,87,2535000,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,69,2029849,73,2068964,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,247,7034600,253,6699500,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,1815,52913023,1680,48937300,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,69,1739214,91,2383000,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,109,3260000,110,3295000,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,137,4110000,75,2250000,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,82,2380000,84,2465000,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,67,2010000,103,3090000,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,23,546000,24,639925,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,53,1580000,48,1440000,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,75,1972500,48,1307000,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,69,2015000,123,3170000,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,86,2418800,76,2270000,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,116,3466640,182,5456000,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,127,3805000,87,2605000,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,101,3030000,77,2280000,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,111,3281000,90,2688000,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,116,3480000,86,2580000,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,170,5100000,76,2280000,Northeastern Region,Roi Et
