ตาราง 7.12 ประชาชนอายุ 6 ปีขึ้นไป จำแนกตามการใช้อินเทอร์เน็ต ภาค เขตการปกครอง และเพศ พ.ศ. 2566,,,,,,,,,,
"Table 7.12 Population Aged 6 Years and Over by Internet Using, Region, Administration Zone and Sex: 2023",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,(พันคน  Thousand persons)
ภาค,เขตการปกครอง,การจำแนก,รวมยอด (Total),ชาย (Male),หญิง (Female),สัดส่วน (Proportion)_ชาย (Male),สัดส่วน (Proportion)_หญิง (Female),Region,Administration zone,Classification
ทั่วราชอาณาจักร,รวม,ใช้อินเทอร์เน็ต ,58114.3,28241.3,29873.0,48.6,51.4,Whole Kingdom,Total,Use internet
ทั่วราชอาณาจักร,ในเขตเทศบาล,ใช้อินเทอร์เน็ต ,27575.4,13237.0,14338.3,48.0,52.0,Whole Kingdom,Municipal area,Use internet
ทั่วราชอาณาจักร,นอกเขตเทศบาล,ใช้อินเทอร์เน็ต ,30538.9,15004.2,15534.7,49.1,50.9,Whole Kingdom,Non-municipal area,Use internet
กรุงเทพมหานคร,รวม,ใช้อินเทอร์เน็ต ,8209.7,3963.2,4246.5,48.3,51.7,Bangkok,Total,Use internet
ภาคกลาง,รวม,ใช้อินเทอร์เน็ต ,18661.2,9121.0,9540.2,48.9,51.1,Central Region,Total,Use internet
ภาคกลาง,ในเขตเทศบาล,ใช้อินเทอร์เน็ต ,8961.8,4319.5,4642.2,48.2,51.8,Central Region,Municipal area,Use internet
ภาคกลาง,นอกเขตเทศบาล,ใช้อินเทอร์เน็ต ,9699.4,4801.5,4897.9,49.5,50.5,Central Region,Non-municipal area,Use internet
ภาคเหนือ,รวม,ใช้อินเทอร์เน็ต ,8615.7,4170.6,4445.1,48.4,51.6,Northern Region,Total,Use internet
ภาคเหนือ,ในเขตเทศบาล,ใช้อินเทอร์เน็ต ,3143.4,1480.2,1663.2,47.1,52.9,Northern Region,Municipal area,Use internet
ภาคเหนือ,นอกเขตเทศบาล,ใช้อินเทอร์เน็ต ,5472.3,2690.4,2781.9,49.2,50.8,Northern Region,Non-municipal area,Use internet
ภาคตะวันออกเฉียงเหนือ,รวม,ใช้อินเทอร์เน็ต ,14586.5,7034.7,7551.9,48.2,51.8,Northeastern Region,Total,Use internet
