ตาราง 7.4 จำนวนและสัดส่วนผู้สูงอายุที่ทำงาน จำแนกตามภาค เขตการปกครอง และเพศ พ.ศ. 2566,,,,,,,,,
"Table 7.4 Number and Proportion of Older Worker by Region, Administration Zone and Sex: 2023",,,,,,,,,
,,,,,,,,,
,,,,,,,,,(คน  Person)
ภาค,เขตการปกครอง,ผู้สูงอายุที่ทำงาน (Number of older worker)_รวมยอด (Total),ผู้สูงอายุที่ทำงาน (Number of older worker)_ชาย (Male),ผู้สูงอายุที่ทำงาน (Number of older worker)_หญิง (Female),สัดส่วนของผู้สูงอายุที่ทำงาน (Proportion of older worker)_รวมยอด (Total),สัดส่วนของผู้สูงอายุที่ทำงาน (Proportion of older worker)_ชาย (Male),สัดส่วนของผู้สูงอายุที่ทำงาน (Proportion of older worker)_หญิง (Female),Region,Administration zone
ทั่วราชอาณาจักร,รวม,5109470,2765817,2343654,37.5,48.1,29.7,Whole Kingdom,Total
ทั่วราชอาณาจักร,ในเขตเทศบาล,1881152,980553,900599,32.2,40.5,26.4,Whole Kingdom,Municipal area
ทั่วราชอาณาจักร, นอกเขตเทศบาล,3228318,1785264,1443054,41.4,53.7,32.2,Whole Kingdom,Non-municipal area
กรุงเทพมหานคร,รวม,350638,180868,169770,24.9,31.1,20.5,Bangkok,Total
ภาคกลาง,รวม,1208565,630502,578063,33.1,41.8,27.0,Central Region,Total
ภาคกลาง,ในเขตเทศบาล,518419,257784,260635,31.0,37.6,26.5,Central Region,Municipal area
ภาคกลาง, นอกเขตเทศบาล,690146,372718,317428,34.8,45.3,27.4,Central Region,Non-municipal area
ภาคเหนือ,รวม,1174695,636973,537721,41.2,52.5,32.9,Northern Region,Total
ภาคเหนือ,ในเขตเทศบาล,368603,191593,177011,37.2,46.5,30.6,Northern Region,Municipal area
ภาคเหนือ, นอกเขตเทศบาล,806091,445381,360711,43.4,55.6,34.2,Northern Region,Non-municipal area
ภาคตะวันออกเฉียงเหนือ,รวม,1745411,971383,774028,42.3,55.1,32.8,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,461668,257059,204609,37.7,49.7,28.9,Northeastern Region,Municipal area
ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,1283742,714324,569419,44.3,57.3,34.4,Northeastern Region,Non-municipal area
ภาคใต้,รวม,630162,346090,284072,39.2,50.8,30.6,Southern Region,Total
ภาคใต้,ในเขตเทศบาล,181823,93249,88574,33.3,41.3,27.7,Southern Region,Municipal area
ภาคใต้,นอกเขตเทศบาล,448339,252841,195498,42.1,55.6,32.1,Southern Region,Non-municipal area
,,,,,,,,,
 หมายเหตุ:  สัดส่วนของผู้สูงอายุที่ทำงาน = (ผู้สูงอายุที่ทำงาน/ผู้สูงอายุทั้งหมด) x 100,,,,,,,,,
Note:  Proportion of older worker = (Number of older worker/Number of older) x 100,,,,,,,,,
 ที่มา:  การทำงานของผู้สูงอายุในประเทศไทย  สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source:  The Work of Older Worker in Thailand,  National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,,
