ตาราง 7.7 สตรีที่ทำงาน จำแนกตามอุตสาหกรรม พ.ศ. 2564 - 2566,,,,
Table 7.7 Female Worker by Industry: 2021 - 2023,,,,
,,,,
,,,,(คน  Person)
อุตสาหกรรม,2564 (2021),2565 (2022),2566 (2023),Industry
รวมยอด,17251814,18363105,18621051,Total
เกษตรกรรม การป่าไม้ และการประมง,5239644,5123557,5194080,"Agriculture, forestry and fishing"
การทำเหมืองแร่และเหมืองหิน,17844,12126,6078,Mining and quarrying
การผลิต,2852377,3027680,3031658,Manufacturing
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,19508,20657,19952,"Electricity, gas, steam and air conditioning supply"
การจัดหาน้ำ การจัดการและบำบัดน้ำเสีย ของเสีย และสิ่งปฏิกูล,36662,27783,26665," Water supply; sewerage, waste management and remediation activities"
การก่อสร้าง,313424,298938,327108,Construction
การขายส่ง การขายปลีก การซ่อมยานยนต์  และจักรยานยนต์,3157037,3505069,3544443, Wholesale and retail trade; repair of motor  vehicles and motorcycles
การขนส่งและสถานที่เก็บสินค้า,298087,259933,249379,Transportation and storage
ที่พักแรมและบริการด้านอาหาร,1705699,1944746,2085555,Accommodation and food service activities
ข้อมูลข่าวสารและการสื่อสาร,79865,78509,66758,Information and communication
กิจกรรมทางการเงินและการประกันภัย,278622,299680,310686,Financial and insurance activities
กิจกรรมด้านอสังหาริมทรัพย์,140030,211303,177232,Real estate activities
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,184245,219594,210428,"Professional, scientific and technical activities"
กิจกรรมการบริหารและการบริการสนับสนุน,203987,283813,338617,Administrative and support service activities
การบริหารราชการ และการป้องกันประเทศ และการประกันสังคมภาคบังคับ,707707,729343,691435,Public administration defence and compulsory social security
การศึกษา,712914,796637,778562,Education
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,557070,643426,630939,Human health and social work activities
ศิลปะ ความบันเทิง และนันทนาการ,98691,145692,155749,"Arts, entertainment and recreation"
กิจกรรมบริการด้านอื่น ๆ,447066,499980,576597,Other service activities
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล กิจกรรมการผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือนซึ่งไม่สามารถจำแนก กิจกรรมได้อย่างชัดเจน,177209,189925,181376, Activities of households as employers;  undifferentiated goods and services-producing activities of households for own use
กิจกรรมขององค์การระหว่างประเทศ และภาคีสมาชิก,1728,1051,2238,Activities of extraterritorial organizations and bodies
ไม่ทราบ,22397,43664,15516,Unknown
,,,,
 ที่มา: การสำรวจแรงงานนอกระบบ สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,
"Source: Informal Employment Survey, National Statistical Office, Ministry of Digital Economy and Society",,,,
