ตาราง 7.9 ร้อยละการรู้หนังสือของประชากรอายุ 15-49 ปี จำแนกตามภาค กลุ่มอายุ กลุ่มดัชนีความมั่งคั่งและเพศ พ.ศ. 2565,,,,,
"Table  7.9  Percentage of Population Literacy Age 15-49 Years by Region, Age Group,Wealth Index Quintile and Sex: 2022",,,,,
,,,,,
รายการ,ผู้ชายอายุ 15-49 ปี (Men aged 15-49 years)_ร้อยละของผู้ชายที่รู้หนังสือ (Percentage of men  who have had literacy),ผู้ชายอายุ 15-49 ปี (Men aged 15-49 years)_จำนวนผู้ชายอายุ 15-49 ปี (No. of men aged 15-49 years ),ผู้หญิงอายุ 15-49 ปี (Women aged 15-49 years)_ร้อยละของผู้หญิงที่รู้หนังสือ (Percentage of women  who have had literacy),ผู้หญิงอายุ 15-49 ปี (Women aged 15-49 years)_จำนวนผู้หญิงอายุ 15-49 ปี (No. of women aged 15-49 years),Item
รวมยอด,94.0,9452,94.6,21089,Total
กรุงเทพมหานคร,95.7,1546,95.9,3464,Bangkok
ภาคกลาง,94.2,3201,94.3,7165,Central Region
ภาคเหนือ,93.0,1280,91.8,2837,Northern Region
ภาคตะวันออกเฉียงเหนือ,96.9,2084,96.6,4778,Northeastern Region
ภาคใต้,87.8,1340,93.1,2846,Southern Region
กลุ่มอายุ 15-24 ปี,96.0,2327,96.8,4594,Age group 15-24 years
กลุ่มอายุ 15-19 ปี,98.0,1213,98.3,2442,Age group  15-19 years
กลุ่มอายุ 15-17 ปี,98.8,775,99.0,1583,Age group  15-17 years
กลุ่มอายุ 18-19 ปี,96.6,438,97.1,860,Age group  18-19 years
กลุ่มอายุ 20-24 ปี,93.8,1114,95.1,2152,Age group  20-24 years
กลุ่มอายุ 25-34 ปี,93.2,2726,94.8,6077,Age group  25-34 years
กลุ่มอายุ 35-49 ปี,93.4,4399,93.5,10418,Age group  35-49 years
กลุ่มดัชนีความมั่งคั่ง ยากจนมาก,81.9,1855,81.8,3223,Wealth index quintile Poorest
กลุ่มดัชนีความมั่งคั่ง ยากจน,92.7,1996,91.4,4185,Wealth index quintile Second
กลุ่มดัชนีความมั่งคั่ง ปานกลาง,97.1,1925,97.3,4358,Wealth index quintile Middle
กลุ่มดัชนีความมั่งคั่ง ร่ำรวย,99.0,1824,99.0,4431,Wealth index quintile Fourth
กลุ่มดัชนีความมั่งคั่ง ร่ำรวยมาก,99.4,1852,99.2,4891,Wealth index quintile Richest
,,,,,
ที่มา: การสำรวจสถานการณ์เด็กและสตรีในประเทศไทย พ.ศ. 2565 สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,
"Source: Monitoring the Situation of Children and Women 2019,  National Statistical Office,  Ministry of Digital Economy and Society",,,,,
