ตาราง  8.3  รายได้เฉลี่ยต่อเดือนของครัวเรือน จำแนกตามสถานะทางเศรษฐสังคมของครัวเรือน และแหล่งที่มาของรายได้ พ.ศ. 2566,,,,,,,,,,,,
Table  8.3  Average Monthly Income per Household by Socio-Economic Class of Household and Source of Income: 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(บาท  Baht)
แหล่งที่มาของรายได้,รวมยอด (Total),"ผู้ถือครองทำการเกษตรเป็นเจ้าของที่ดิน (Farm operators, Mainly owning land)","ผู้ถือครองทำการเกษตร เช่าที่ดิน/ทำฟรี (Farm operators, Mainly renting Land-land occupied for free)","ประมง ป่าไม้ ล่าสัตว์หาของป่า บริการทางการเกษตร (Fishing, forestry, hunting, agricultural services)","ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร (Entrepreneurs for non-agricultural business)	","ลูกจ้างที่เป็นผู้จัดการ นักวิชาการและผู้ปฏิบัติงานวิชาชีพ (Professional, technician and manager)	","คนงานเกษตร ป่าไม้ และประมง (Labourers in agriculture, forestry and fishery)	","คนงาน ด้านการขนส่งและงานพื้นฐาน (Labourers in logistics, transportation and basic work)","เสมียน พนักงานขายและให้บริการ (Clerical, sales and services workers)","ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่ (Workers related to production, construction and mining)",ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ (Econo-mically inactive),Source of income
รายได้ทั้งสิ้นต่อเดือน,29030,25900,27575,17300,36819,53156,15394,18869,27496,26384,19423,Total monthly income
รายได้ประจำ,28706,25688,27345,17197,36530,52934,15230,18768,27304,26251,18705,Total current income
รายได้ที่เป็นตัวเงิน,24501,21683,23273,13661,32127,47078,12206,15516,23573,22997,14156,Money income
รายได้จากการทำงาน,20465,19521,21103,12428,30520,44523,11258,14346,22291,22155,2027,From work
ค่าจ้างและเงินเดือน,12605,1519,1659,833,2590,42284,10715,13693,20863,21269,1031,Wages and salaries
กำไรสุทธิจากการทำธุรกิจ,5417,707,930,486,27380,1649,177,361,1076,569,489,Net profits from business
กำไรสุทธิจากการทำการเกษตร,2443,17295,18514,11109,550,590,366,292,352,317,507,Net profits from farming
เงินที่ได้รับเป็นการช่วยเหลือ,3794,2084,2134,1209,1402,2101,931,1154,1209,812,11571,From current transfers
รายได้จากทรัพย์สิน,242,77,36,24,205,455,18,15,73,30,558,From property income
รายได้ที่ไม่เป็นตัวเงิน(1),4205,4006,4072,3537,4403,5855,3024,3252,3732,3254,4549,Non-money income(1)
รายได้ไม่ประจำ (ที่เป็นตัวเงิน),325,212,230,102,289,222,164,101,191,132,718,Non-current money income
,,,,,,,,,,,,
(1)  รายได้ที่ไม่เป็นตัวเงิน ได้แก่ อาหาร เครื่องดื่ม สินค้าและบริการ ที่ได้มาโดยไม่ได้ซื้อและค่าประเมินค่าเช่าบ้านที่ไม่เสียเงิน (รวมบ้านของตนเอง),,,,,,,,,,,,
"(1)  Non-money income are food and beverages, goods and services obtained without purchase and the value of rent received without payment (including own dwelling).",,,,,,,,,,,,
ที่มา:  การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,
"Source:  The Household Socio-Economic Survey Whole Kingdom, National Statistical Office,  Ministry of Digital Economy and Society",,,,,,,,,,,,
