ตาราง  8.4  ค่าใช้จ่ายเฉลี่ยต่อเดือนของครัวเรือน จำแนกตามประเภทของค่าใช้จ่าย และภาค พ.ศ. 2565 - 2566,,,,,,,,,,,,,
Table  8.4  Average Monthly Expenditure per Household by Type of Expenditure and Region: 2022 - 2023,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,(บาท Bath)
ประเภทของค่าใช้จ่าย,ทั่วราชอาณาจักร(Whole Kingdom)_2565 (2022),ทั่วราชอาณาจักร(Whole Kingdom)_2566 (2023),กรุงเทพมหานครและ 3 จังหวัด (Greater Bangkok) (1)_2565 (2022),กรุงเทพมหานครและ 3 จังหวัด (Greater Bangkok) (1)_2566 (2023),ภาคกลาง(Central Region)_2565 (2022),ภาคกลาง(Central Region)_2566 (2023),ภาคเหนือ(Northern Region)_2565 (2022),ภาคเหนือ(Northern Region)_2566 (2023),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2565 (2022),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2566 (2023),ภาคใต้(Southern Region)_2565 (2022),ภาคใต้(Southern Region)_2566 (2023),Type of expenditure
ค่าใช้จ่ายทั้งสิ้นต่อเดือน,22372,23695,28962,32096,23257,24635,17718,18961,18582,18676,21907,23263,Total monthly expenditures
ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,19530,20645,25174,27899,20127,21134,15613,16768,16370,16540,19161,20149,Consumption expenditures
อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),7609,8114,9325,10137,7697,8110,6390,6830,6671,7202,7661,8043,Food and beverages (excluding alcoholic)
เครื่องดื่มที่มีแอลกอฮอล์ ,267,163,291,184,313,222,266,138,256,152,158,71,Alcoholic beverages
ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ,135,94,139,126,180,118,77,58,133,75,125,80,Tobacco products
ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่างๆ,4634,5185,6781,7845,4585,5011,3628,4185,3529,3870,4160,4745,"Household operation, furnitures and equipment"
เครื่องนุ่งห่มและรองเท้า,370,424,477,594,358,448,280,345,288,246,467,533,Apparel and footwear
ค่าใช้จ่ายส่วนบุคคล,730,913,927,1290,730,940,626,765,620,683,710,846,Personal care
เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,347,311,539,423,329,328,286,299,205,178,371,361,Medical and health care
การเดินทาง และการสื่อสาร,4701,4647,5788,6213,5265,5206,3406,3364,3937,3489,4836,4790,Transport and communication 
การศึกษา,302,322,569,652,240,270,232,232,176,165,251,266,Education
การบันเทิง การอ่านและกิจกรรมทางศาสนา,307,340,301,401,349,378,249,328,310,296,315,265,Recreation reading and religious activity
การจัดงานพิธีในโอกาสพิเศษ,129,132,36,36,81,103,172,224,244,174,109,149,Special ceremony expenses
ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2842,3050,3787,4197,3129,3501,2105,2193,2212,2136,2746,3114,Non-consumption expenditures
,,,,,,,,,,,,,
(1) รวมจังหวัดนนทบุรี ปทุมธานี และสมุทรปราการ  ,,,,,,,,,,,,,
"(1) Including Nonthaburi, Pathum Thani and Samut Prakan.",,,,,,,,,,,,,
ที่มา:  การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ    กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,,
"Source:  The Household Socio-Economic Survey Whole Kingdom, National Statistical Office,  Ministry of Digital Economy and Society",,,,,,,,,,,,,
