ตาราง  8.5  ร้อยละของครัวเรือน จำแนกตามค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือน และภาค พ.ศ. 2565 - 2566,,,,,,,,,,,,,,,
Table  8.5  Percentage of Household by Average Total Monthly Expenditure and Region: 2022 - 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ประเภทค่าใช้จ่าย,ค่าใช้จ่าย,ทั่วราชอาณาจักร(Whole Kingdom)_2565 (2022),ทั่วราชอาณาจักร(Whole Kingdom)_2566 (2023),กรุงเทพมหานครและ 3 จังหวัด(Greater Bangkok) (1)_2565 (2022),กรุงเทพมหานครและ 3 จังหวัด(Greater Bangkok) (1)_2566 (2023),ภาคกลาง(Central Region)_2565 (2022),ภาคกลาง(Central Region)_2566 (2023),ภาคเหนือ(Northern Region)_2565 (2022),ภาคเหนือ(Northern Region)_2566 (2023),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2565 (2022),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2566 (2023),ภาคใต้(Southern Region)_2565 (2022),ภาคใต้(Southern Region)_2566 (2023),Type of expenditure,Expenditure
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Monthly expenditure per household (Baht),Total
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"ต่ำกว่า   3,001",0.1,0.1,-,-,0.1,0.2,0.3,0.2,0.2,0.1,0.1,--,Monthly expenditure per household (Baht),"Less than 3,001"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"3,001 -   5,000",1.8,1.3,0.2,0.1,1.3,1.0,4.2,2.5,2.2,1.8,1.9,1.3,Monthly expenditure per household (Baht),"3,001 -   5,000"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"5,001 - 10,000",15.6,13.6,5.9,3.6,12.0,11.3,26.1,21.4,21.5,19.5,15.3,13.6,Monthly expenditure per household (Baht),"5,001 - 10,000 "
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"10,001 - 15,000",21.8,21.5,16.3,15.0,19.3,18.6,25.1,24.9,26.6,28.1,22.7,21.1,Monthly expenditure per household (Baht),"10,001 - 15,000"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"15,001 - 30,000",39.0,39.3,42.8,40.2,42.9,41.5,31.9,37.0,36.1,37.0,39.5,41.1,Monthly expenditure per household (Baht),"15,001 - 30,000 "
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"30,001 - 50,000",16.1,17.4,24.4,26.9,19.4,20.6,9.3,10.5,10.2,10.8,15.0,16.8,Monthly expenditure per household (Baht),"30,001 - 50,000"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"50,001 - 100,000",5.1,6.2,9.1,12.5,4.7,6.4,2.8,3.2,3.0,2.6,5.2,5.6,Monthly expenditure per household (Baht),"50,001 -100,000"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อครัวเรือน (บาท),"มากกว่า  100,000",0.5,0.7,1.2,1.7,0.3,0.6,0.3,0.4,0.3,0.2,0.4,0.5,Monthly expenditure per household (Baht),"More than 100,000"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Monthly expenditure per capita (Baht),Total
