ตาราง 9.1  คดีแพ่งที่ขึ้นสู่การพิจารณาของศาล จำแนกตามศาล และมูลคดี พ.ศ. 2565 - 2566,,,,,,,
Table  9.1  Civil Cases Commenced by Court and Cause of Action: 2022 - 2023,,,,,,,
,,,,,,,
มูลคดี,2565 (2022)_ศาลฏีกา (Supreme Court),2565 (2022)_ศาลอุทธรณ์ (Court of  Appeals),2565 (2022)_ศาลชั้นต้น (Court of First Instance),2566 (2023)_ศาลฏีกา (Supreme Court),2566 (2023)_ศาลอุทธรณ์ (Court of  Appeals),2566 (2023)_ศาลชั้นต้น (Court of First Instance),Cause of action
รวมยอด,1223,9491,286137,1182,15045,310199,Total
ละเมิด,137,1303,32232,149,2221,37895,Wrongful
ซื้อขาย,66,335,7843,73,559,7971,Sale
แลกเปลี่ยน,1,-,14,-,-,16,Exchange
ให้,2,20,190,1,30,181,Gift
เช่าทรัพย์,23,179,971,27,258,979,Hire of property
เช่าซื้อ,2,138,3529,2,172,3397,Hire-purchase
จ้างแรงงาน,-,18,85,1,18,155,Hire of services
จ้างทำของ,61,221,2286,66,452,3962,Hire of work
รับขน,2,20,87,1,25,105,Carriage
ยืม,52,472,13171,56,738,15415,Loan
ฝากทรัพย์ เก็บของในคลังสินค้า,2,12,168,2,21,175,"Deposit, warehousing"
ค้ำประกัน,30,408,7077,25,623,6866,Suretyship
จำนอง,23,267,2375,18,345,2172,Mortgage
จำนำ,-,8,47,-,17,60,Pledge
ตัวแทน นายหน้า จัดการงานนอกสั่ง,31,134,839,25,237,12720,"Agency, brokerage, management of affairs without mandate"
ประกันภัย,-,210,5474,-,416,7943,Insurance
ตั๋วเงิน,11,105,1006,11,160,911,Bills
หุ้นส่วน บริษัท สมาคม,-,84,306,2,104,395,"Partnerships, companies and associations"
ที่ดิน ขับไล่ ภาระจำยอม,402,1717,8834,350,2846,7920,"Land, ejectment and servitudes"
มรดก,44,196,2006,29,297,1738,Succession
พินัยกรรม,2,14,82,2,24,104,Wills
คดีไม่มีข้อพิพาท,20,285,127646,21,443,122944,Non-contentious cases
อื่น ๆ,312,3345,69869,321,5039,76175,Others
,,,,,,,
ที่มา:  สำนักงานศาลยุติธรรม  กระทรวงยุติธรรม,,,,,,,
"Source:  Office of the Judiciary,  Ministry of Justice",,,,,,,
