ตาราง  9.2  คดีอาญาที่ขึ้นสู่การพิจารณาของศาล จำแนกตามศาล และมูลคดี พ.ศ. 2565 - 2566,,,,,,,
Table   9.2  Criminal Cases Commenced of Offence by Court and Cause of Action: 2022 - 2023,,,,,,,
,,,,,,,
มูลคดี ,2565 (2022)_ศาลฏีกา (Supreme Court),2565 (2022)_ศาลอุทธรณ์ (Court of Appeals),2565 (2022)_ศาลชั้นต้น (Court of First Instance),2566 (2023)_ศาลฏีกา (Supreme Court),2566 (2023)_ศาลอุทธรณ์ (Court of Appeals),2566 (2023)_ศาลชั้นต้น (Court of First Instance),Cause of action
รวมยอด,6304,25351,779377,11232,40212,675388,Total
ความผิดตามประมวลกฎหมายอาญา,3541,16057,127453,3188,25357,125640,The offences provided by the penal code
ต่อเจ้าพนักงาน,70,329,1894,81,549,1621,Against officials
ต่อเจ้าพนักงานในการยุติธรรม,112,756,2848,96,1069,2789,Against the judical officials
เกี่ยวกับเอกสาร,365,888,4010,203,1352,3756,Relating to documents
ข่มขืนกระทำชำเรา  และกระทำอนาจาร,239,823,5244,278,1491,4502,Rape and indecent act
เกี่ยวกับเพศ มาตรา 286-287,3,10,264,1,25,273,Relating to sexualty Section 286-287
"ฆ่าคนโดยเจตนา มาตรา 288-290, 292-294",448,1021,4269,434,1957,4073,"Murder section 288-290, 292-294"
ต่อชีวิต (นอกจากฆ่าคนโดยเจตนา),58,463,5115,84,601,4230,Against life (except murder)
ต่อร่างกาย,160,1196,11676,179,1722,11309,Against bodily harm
หมิ่นประมาท,45,752,6449,53,996,5880,Defamation
ลักทรัพย์ วิ่งราวทรัพย์,554,2806,31723,351,4240,32379,"Theft, snatching"
ชิงทรัพย์,30,139,651,23,255,643,Robbery
ปล้นทรัพย์,27,37,224,20,81,231,Gang-robbery
ฉ้อโกง,306,1618,14455,275,2808,15194,Cheating and fraud
ยักยอก,133,829,7067,123,1266,8170,Misappropriation
รับของโจร,65,383,2899,47,532,2872,Receiving
ทำให้เสียทรัพย์,72,377,4617,58,639,4497,Mischief
บุกรุก,113,674,7284,109,1044,6596,Trespass
อื่น ๆ,741,2956,16764,773,4730,16625,Others
ความผิดตามกฏหมายอื่น,2763,9294,651924,8044,14855,549748,The commission of offences under other laws
พ.ร.บ. ยาเสพติดให้โทษ เฮโรอีน,10,1,5842,24,2,4067,Narcotics Act: Heroin 
พ.ร.บ. ยาเสพติดให้โทษ ฝิ่น,-  ,-  ,818,1,-  ,764,Narcotics Act: Opium
พ.ร.บ. ยาเสพติดให้โทษ เมทแอมเฟตามีน,901,65,336851,4600,75,291547,Narcotics Act: Methamphetamine
พ.ร.บ. ยาเสพติดให้โทษ กัญชา,39,3,8852,107,2,13,Narcotics Act: Marijuana/Marihuana
พ.ร.บ. ยาเสพติดให้โทษอื่น ๆ,1,4,3590,2,5,4211,Narcotics Act: Other
พ.ร.บ. การพนัน,57,649,-  ,80,581,-  ,Gambling Act
พ.ร.บ. รับราชการทหาร,4,24,7310,3,21,6014,Military service Act
พ.ร.บ. อาวุธปืนเครื่องกระสุนปืน ฯลฯ.,478,2079,34368,796,3265,31158,"Firearms, Ammunition, Explosive articles and Fireworks Act"
พ.ร.บ. ป่าไม้  พ.ร.บ. ป่าสงวนแห่งชาติ และ พ.ร.บ. อุทยานแห่งชาติ,-  ,11,1476,-  ,8,804,"Forestry Act, National reserved rorests Act, and National Park Act"
พ.ร.บ. การประมง,-  ,2,-  ,-  ,-  ,-  ,Fishery Act
พ.ร.บ. จราจรทางบก,168,1265,135881,539,2874,127514,Traffic on land Act
พ.ร.บ. รถยนต์  พ.ร.บ. ล้อเลื่อน และ พ.ร.บ. การขนส่งทางบก,31,417,20736,99,865,16477,"Automobile Act, Vehicles Act and Land transportation Act"
พ.ร.บ. ปราบการค้าประเวณี,4,17,-  ,5,24,-  ,Suppression of prostitute Act
พ.ร.บ. คนเข้าเมือง,38,494,25468,89,656,22845,Immigration Act
พ.ร.บ. ว่าด้วยความผิดอันเกิดจากการใช้เช็ค,149,756,8929,136,1391,8875,Act on the offences relation to the use of cheque
ความผิดอื่น ๆ,883,3507,61803,1563,5086,35459,Others
,,,,,,,
     ที่มา:  สำนักงานศาลยุติธรรม  กระทรวงยุติธรรม,,,,,,,
"Source:  Office of the Judiciary,  Ministry of Justice",,,,,,,
