ตาราง  9.3  คดีอาญาที่น่าสนใจ จำแนกตามประเภทข้อหา พ.ศ. 2565 - 2566 ,,,,,,,
Table  9.3  Reported Interesting Crimes by Type of Accuse: 2022 - 2023,,,,,,,
,,,,,,,
ประเภทข้อหา,รายการ,2565 (2022)_ รับแจ้ง (Reported),2565 (2022)_จับกุม (Arrested),2566 (2023)_รับแจ้ง (Reported),2566 (2023)_จับกุม (Arrested),Type of accuse,Item
ฐานความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,รวม,13824,13281,18619,17411,"Life, body and sex",Total
ฐานความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,คดีฆ่าผู้อื่น,1168,1092,1369,1239,"Life, body and sex",Murder  
ฐานความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,คดีทำร้ายผู้อื่นถึงแก่ความตาย,400,388,451,439,"Life, body and sex",Hurt others to death
ฐานความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,คดีพยายามฆ่า,1638,1550,2386,2202,"Life, body and sex",Attempted murder
ฐานความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,คดีทำร้ายร่างกาย,7790,7562,9991,9474,"Life, body and sex",Assault
ฐานความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,คดีข่มขืนกระทำชำเรา,1525,1442,1956,1785,"Life, body and sex",Rape
ฐานความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,คดีอื่นๆ,1303,1247,2466,2272,"Life, body and sex",Others
ฐานความผิดเกี่ยวกับทรัพย์,รวม,41938,36119,57078,45719,Assets,Total
ฐานความผิดเกี่ยวกับทรัพย์,คดีปล้นทรัพย์ (คดีอุกฉกรรจ์),52,50,72,66,Assets,Gang robbery (Serious offense)
ฐานความผิดเกี่ยวกับทรัพย์,คดีชิงทรัพย์,468,454,474,461,Assets,Robbery
ฐานความผิดเกี่ยวกับทรัพย์,คดีวิ่งราวทรัพย์ (ม.336),667,644,802,758,Assets,Snatching (M.336)
ฐานความผิดเกี่ยวกับทรัพย์,คดีลักทรัพย์,23203,21230,29074,26481,Assets,Theft
ฐานความผิดเกี่ยวกับทรัพย์,คดีกรรโชกทรัพย์,150,136,236,204,Assets,Extortion
ฐานความผิดเกี่ยวกับทรัพย์,คดีฉ้อโกง (ยกเว้นฉ้อโกงที่กระทำผ่านระบบคอมพิวเตอร์),8018,5493,13241,6768,Assets,Fraud (Excluding computer fraud)
ฐานความผิดเกี่ยวกับทรัพย์,คดียักยอกทรัพย์,5230,4344,6479,4975,Assets,Misappropriation
ฐานความผิดเกี่ยวกับทรัพย์,คดีทำให้เสียทรัพย์,2348,2224,3636,3310,Assets,Vandalism
ฐานความผิดเกี่ยวกับทรัพย์,คดีรับของโจร,266,259,1543,1450,Assets,Possession of stolen goods
ฐานความผิดเกี่ยวกับทรัพย์,คดีลักพาเรียกค่าไถ่,3,3,6,5,Assets,Kidnapping
ฐานความผิดเกี่ยวกับทรัพย์,คดีวางเพลิง,482,471,510,495,Assets,Arson 
ฐานความผิดเกี่ยวกับทรัพย์,คดีโจรกรรมรถยนต์,106,87,108,84,Assets,Car theft
ฐานความผิดเกี่ยวกับทรัพย์,คดีโจรกรรมรถจักรยานยนต์,945,724,897,662,Assets,Motorcycle theft
ฐานความผิดเกี่ยวกับทรัพย์,คดีอื่นๆ,5164,4895,6830,6276,Assets,Others
ฐานความผิดพิเศษ,รวม,30549,16431,24840,12469,Specific offenses,Total
ฐานความผิดพิเศษ,พ.ร.บ.ลิขสิทธิ์,870,500,600,288,Specific offenses,Copyright Act
ฐานความผิดพิเศษ,พ.ร.บ.เครื่องหมายการค้า,882,760,719,607,Specific offenses,Trademark Act
ฐานความผิดพิเศษ,พ.ร.บ.ป่าไม้,1792,827,1723,917,Specific offenses,Forests Act
ฐานความผิดพิเศษ,พ.ร.บ.ป่าสงวนแห่งชาติ,666,325,898,492,Specific offenses,National Reserved Forests Act
ฐานความผิดพิเศษ,พ.ร.บ.อุทยานแห่งชาติ,1414,1356,622,589,Specific offenses,National Park Act
ฐานความผิดพิเศษ,พ.ร.บ.สงวนและคุ้มครองสัตว์ป่า,465,323,476,279,Specific offenses,Wildlife Conservation and Protection Act
ฐานความผิดพิเศษ,พ.ร.บ.ศุลกากร,2394,1960,1736,1362,Specific offenses,Customs Act
ฐานความผิดพิเศษ,พ.ร.บ.ห้ามเรียกดอกเบี้ยเกินอัตรา,722,687,1348,1263,Specific offenses,Excessive Interest Rate Prohibition Act
ฐานความผิดพิเศษ,พ.ร.บ.อื่นๆ,12385,6957,9950,4392,Specific offenses,Others
ฐานความผิดพิเศษ,ความผิดฉ้อโกงที่กระทำผ่านระบบคอมพิวเตอร์,8959,2736,6768,2280,Specific offenses,Computer fraud
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),รวม,624538,648371,517319,540787,Victimless crimes (1),Total
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),ยาเสพติด,263905,262226,304137,306658,Victimless crimes (1),Narcotics 
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),อาวุธปืนและวัตถุระเบิด,96204,93537,50019,49989,Victimless crimes (1),Offensive weapon
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),การพนัน,107979,132915,57556,77069,Victimless crimes (1),Gambling 
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),ความผิดเกี่ยวกับวัสดุ สื่อสิ่งพิมพ์ ลามกอนาจาร,279,303,242,254,Victimless crimes (1),Pornography
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),ความผิดเกี่ยวกับ พ.ร.บ.คนเข้าเมือง,93486,95958,74369,75789,Victimless crimes (1),Immigration Act
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),ความผิดเกี่ยวกับการป้องกันและปราบปรามการค้าประเวณี,38312,38139,19653,19648,Victimless crimes (1),Prevention and Suppression of Prostitution Act
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),ความผิดเกี่ยวกับสถานบริการ,5754,5767,4404,4411,Victimless crimes (1),Place of Entertainment Act
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),ความผิดเกี่ยวกับการควบคุมเครื่องดื่มแอลกอฮอล์,16160,16125,5964,5969,Victimless crimes (1),Alcohol Control Act
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),พรก.การบริหารราชการในสถานการณ์ฉุกเฉิน พ.ศ 2548,626,1526,13,10,Victimless crimes (1),"Emergency Decree on Public Administration in Emergency Situations, B.E. 2548 (2005)"
ฐานความผิดที่รัฐเป็นผู้เสียหาย (1),ความผิดการพนันที่กระทำผ่านระบบคอมพิวเตอร์,1833,1875,962,990,Victimless crimes (1),Gambling by computer
,,,,,,,
(1)  จับกุม (ราย),,,,,,,
(1)  Arrest (cases),,,,,,,
ที่มา:  สำนักงานตำรวจแห่งชาติ ,,,,,,,
Source:  Royal Thai Police,,,,,,,
