ตาราง  9.4  คดีเด็กและเยาวชนที่ถูกดำเนินคดี โดยสถานพินิจฯ จำแนกตามเพศ ระดับการศึกษา อาชีพ และฐานความผิด พ.ศ. 2564 - 2566,,,,,,,,
"Table   9.4  Juvenile Cases Handled by Juvenile Observation by Sex, Level of Education, Occupation and Offense Category: 2021 - 2023",,,,,,,,
,,,,,,,,
การจำแนก,รายการ,2564 (2021),2565 (2022),2566 (2023),อัตราการเปลี่ยนแปลง (Percent change)_2565 (2022),อัตราการเปลี่ยนแปลง (Percent change)_2566 (2023),Classification,Item
รวมยอด,,14593,12192,12602,-16.5,3.4,Total,
เพศ,ชาย,13309,11032,11472,-17.1,4.0,Sex,Male
เพศ,หญิง,1284,1160,1130,-9.7,-2.6,Sex,Female
ระดับการศึกษา,ไม่ได้รับการศึกษา,2,-,170,-100.0,100.0,Level of Education,Uneducated
ระดับการศึกษา,อนุบาล,41,3,4,-92.7,33.3,Level of Education,Kindergarten
ระดับการศึกษา,ประถมศึกษา,2776,2142,2048,-22.8,-4.4,Level of Education,Elementary education
ระดับการศึกษา,มัธยมศึกษา,7843,6306,-,-19.6,-100.0,Level of Education,Secondary education
ระดับการศึกษา,มัธยมศึกษาตอนต้น,-,-,7055,-,100.0,Level of Education,Lower secondary education
ระดับการศึกษา,มัธยมศึกษาตอนปลาย,-,-,1352,-,100.0,Level of Education,Upper secondary education and higher
ระดับการศึกษา,ประกาศนียบัตรวิชาชีพ,1828,1591,1886,-13.0,18.5,Level of Education,Certificate in vocational education
ระดับการศึกษา,ประกาศนียบัตรวิชาชีพชั้นสูง,-,-,86,-,100.0,Level of Education,Diploma in vocational education
ระดับการศึกษา,การศึกษานอกระบบ,1247,1218,-,-2.3,-100.0,Level of Education,Non-formal education
ระดับการศึกษา,ปริญญาตรี,-,-,1,-,100.0,Level of Education,Undergraduate degree
ระดับการศึกษา,ไม่ระบุ,856,932,-,8.9,-100.0,Level of Education,Unknown
อาชีพ,นักเรียน,5445,4036,4052,-25.9,0.4,Occupation,Student
อาชีพ,การประกอบสัมมาชีพเป็นกิจจะลักษณะ,1360,1346,1316,-1.0,-2.2,Occupation,Regular occupation
อาชีพ,การประกอบสัมมาชีพไม่เป็นกิจจะลักษณะ,3332,2860,2791,-14.2,-2.4,Occupation,Irregular occupation
อาชีพ,ว่างงาน,4218,3752,4443,-11.0,18.4,Occupation,Unemployed
อาชีพ,ไม่ระบุ,238,198,-,-16.8,-100.0,Occupation,Unknown
ฐานความผิด,ความผิดเกี่ยวกับทรัพย์,1857,1828,2633,-1.6,44.0,Offense category,Assets
ฐานความผิด,ความผิดเกี่ยวกับชีวิตและร่างกาย,1477,1695,3023,14.8,78.3,Offense category,Life and body
ฐานความผิด,ความผิดเกี่ยวกับเพศ,721,612,865,-15.1,41.3,Offense category,Sexuality
ฐานความผิด,ความผิดเกี่ยวกับความมั่นคง ,257,407,302,58.4,-25.8,Offense category,"Relating to the security, public peace, "
ฐานความผิด,ความผิดลหุโทษ,-,-,124,-,100.0,Offense category,Misdemeanor/Petty offense
ฐานความผิด,ความผิดเกี่ยวกับยาเสพติดให้โทษ,6943,4885,3129,-29.6,-35.9,Offense category,Drug abuse
ฐานความผิด,ความผิดเกี่ยวกับอาวุธและวัตถุระเบิด,-,-,1545,-,100.0,Offense category,Firearm and explosive 
ฐานความผิด,ความผิดอื่น ๆ,3338,2765,981,-17.2,-64.5,Offense category,Others
,,,,,,,,
ที่มา:  กรมพินิจและคุ้มครองเด็กและเยาวชน  กระทรวงยุติธรรม,,,,,,,,
"Source:  Department of Juvenile Observation and Protection,  Ministry of Justice",,,,,,,,
